,parent_line_item,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,2.0,12.0,12.0
Reserves,,9661.0,9575.0,9624.0
Borrowings,,1539.0,2291.0,2186.0
Other Liabilities,,1843.0,1939.0,2162.0
Total Liabilities,,13044.0,13818.0,13984.0
Fixed Assets,,7469.0,7727.0,7685.0
CWIP,,79.0,158.0,141.0
Investments,,900.0,966.0,1037.0
Other Assets,,4596.0,4966.0,5121.0
Total Assets,,13044.0,13818.0,13984.0
Land,Fixed Assets,385.0,384.0,384.0
Building,Fixed Assets,1150.0,1621.0,1740.0
Plant Machinery,Fixed Assets,909.0,956.0,1046.0
Equipments,Fixed Assets,8.0,12.0,14.0
Computers,Fixed Assets,0.0,0.0,0.0
Furniture n fittings,Fixed Assets,14.0,26.0,38.0
Vehicles,Fixed Assets,16.0,23.0,16.0
Intangible Assets,Fixed Assets,4025.0,4025.0,4025.0
Other fixed assets,Fixed Assets,1221.0,1221.0,1277.0
Gross Block,Fixed Assets,7728.0,8267.0,8540.0
Accumulated Depreciation,Fixed Assets,259.0,540.0,855.0
Long term Borrowings,Borrowings,210.0,373.0,363.0
Short term Borrowings,Borrowings,616.0,899.0,837.0
Lease Liabilities,Borrowings,713.0,1019.0,985.0
Trade Payables,Other Liabilities,1259.0,1324.0,1437.0
Advance from Customers,Other Liabilities,41.0,0.0,0.0
Other liability items,Other Liabilities,542.0,616.0,726.0
Inventories,Other Assets,1733.0,1757.0,1888.0
Trade receivables,Other Assets,925.0,917.0,945.0
Cash Equivalents,Other Assets,160.0,401.0,328.0
Loans n Advances,Other Assets,51.0,60.0,93.0
Other asset items,Other Assets,1727.0,1832.0,1866.0
