,parent_line_item,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,0.01,0.01,98.0,106.0,110.0,110.0
Reserves,,-107.0,88.0,239.0,1043.0,2298.0,2591.0
Borrowings,,334.0,463.0,335.0,371.0,5.0,38.0
Other Liabilities,,917.0,780.0,875.0,450.0,226.0,263.0
Total Liabilities,,1144.0,1331.0,1547.0,1970.0,2640.0,3002.0
Fixed Assets,,259.0,259.0,272.0,362.0,616.0,711.0
CWIP,,4.0,15.0,26.0,180.0,19.0,66.0
Investments,,120.0,150.0,177.0,170.0,600.0,620.0
Other Assets,,761.0,908.0,1073.0,1258.0,1406.0,1606.0
Total Assets,,1144.0,1331.0,1547.0,1970.0,2640.0,3002.0
Land,Fixed Assets,12.0,11.0,19.0,22.0,22.0,22.0
Building,Fixed Assets,81.0,81.0,71.0,56.0,79.0,99.0
Plant Machinery,Fixed Assets,162.0,175.0,204.0,301.0,523.0,611.0
Equipments,Fixed Assets,87.0,87.0,111.0,135.0,171.0,203.0
Computers,Fixed Assets,2.0,2.0,2.0,5.0,6.0,7.0
Furniture n fittings,Fixed Assets,17.0,20.0,22.0,36.0,62.0,77.0
Vehicles,Fixed Assets,5.0,5.0,9.0,10.0,12.0,13.0
Intangible Assets,Fixed Assets,0.0,0.0,0.0,0.0,0.0,0.0
Other fixed assets,Fixed Assets,0.0,0.0,1.0,20.0,12.0,11.0
Gross Block,Fixed Assets,366.0,382.0,440.0,586.0,889.0,1042.0
Accumulated Depreciation,Fixed Assets,107.0,124.0,168.0,224.0,273.0,331.0
Long term Borrowings,Borrowings,0.0,0.0,8.66,27.74,0.0,0.0
Short term Borrowings,Borrowings,322.06,452.48,317.41,335.01,0.5,34.62
Lease Liabilities,Borrowings,12.01,10.43,9.05,7.97,4.79,3.49
Other Borrowings,Borrowings,0.0,0.0,-0.01,-0.01,0.0,0.0
Non controlling int,Other Liabilities,172.0,185.0,200.0,221.0,0.0,0.0
Trade Payables,Other Liabilities,98.0,126.0,134.0,144.0,128.0,152.0
Advance from Customers,Other Liabilities,14.0,12.0,16.0,7.0,4.0,5.0
Other liability items,Other Liabilities,632.0,458.0,525.0,78.0,94.0,107.0
Inventories,Other Assets,307.0,377.0,430.0,462.0,525.0,535.0
Trade receivables,Other Assets,371.0,407.0,462.0,611.0,658.0,750.0
Cash Equivalents,Other Assets,32.0,55.0,50.0,65.0,88.0,128.0
Loans n Advances,Other Assets,20.0,26.0,24.0,25.0,26.0,48.0
Other asset items,Other Assets,30.0,44.0,107.0,95.0,110.0,146.0
