,parent_line_item,Mar 2018,Mar 2019,Mar 2023,Mar 2024,Mar 2025
Equity Capital,,783.0,786.0,791.0,793.0,796.0
Reserves,,5257.0,6393.0,10646.0,12950.0,15024.0
Borrowing,,35753.0,45105.0,54865.0,74331.0,87398.0
Other Liabilities,,3653.0,4257.0,3748.0,4483.0,5446.0
Total Liabilities,,45447.0,56540.0,70050.0,92557.0,108663.0
Fixed Assets,,137.0,123.0,387.0,511.0,735.0
CWIP,,0.0,0.0,0.0,0.0,0.0
Investments,,402.0,568.0,1243.0,3380.0,2060.0
Other Assets,,44908.0,55849.0,68420.0,88665.0,105868.0
Total Assets,,45447.0,56540.0,70050.0,92557.0,108663.0
Building,Fixed Assets,60.0,68.0,89.0,101.0,144.0
Equipments,Fixed Assets,45.0,48.0,71.0,82.0,108.0
Computers,Fixed Assets,89.0,107.0,210.0,258.0,302.0
Furniture n fittings,Fixed Assets,81.0,85.0,98.0,103.0,119.0
Vehicles,Fixed Assets,5.0,7.0,9.0,13.0,19.0
Other fixed assets,Fixed Assets,18.0,26.0,314.0,410.0,572.0
Gross Block,Fixed Assets,297.0,341.0,790.0,967.0,1264.0
Accumulated Depreciation,Fixed Assets,160.0,218.0,403.0,456.0,529.0
Trade Payables,Other Liabilities,280.0,395.0,292.0,509.0,453.0
Other liability items,Other Liabilities,3373.0,3862.0,3456.0,3974.0,4993.0
Trade receivables,Other Assets,126.0,120.0,66.0,125.0,225.0
Cash Equivalents,Other Assets,137.0,489.0,654.0,703.0,984.0
Loans n Advances,Other Assets,44291.0,54754.0,32.0,52.0,90.0
Other asset items,Other Assets,353.0,487.0,67668.0,87786.0,104568.0
