,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Sep 2020
Equity Capital,,168.0,168.0,133.0,258.0,258.0,237.0,237.0
Reserves,,3212.0,3284.0,2672.0,2537.0,2825.0,2526.0,2468.0
Borrowings,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Liabilities,,273.0,281.0,285.0,442.0,522.0,534.0,560.0
Total Liabilities,,3653.0,3733.0,3090.0,3236.0,3605.0,3298.0,3266.0
Fixed Assets,,299.0,316.0,326.0,348.0,430.0,587.0,585.0
CWIP,,54.0,82.0,116.0,238.0,297.0,242.0,257.0
Investments,,0.0,0.0,0.0,23.0,115.0,7.0,194.0
Other Assets,,3300.0,3335.0,2648.0,2627.0,2763.0,2461.0,2230.0
Total Assets,,3653.0,3733.0,3090.0,3236.0,3605.0,3298.0,3266.0
Land,Fixed Assets,40.81,18.29,12.77,14.48,19.47,24.5,
Building,Fixed Assets,140.78,164.95,177.85,228.06,294.95,337.28,
Plant Machinery,Fixed Assets,415.76,450.12,481.27,503.34,568.6,760.9,
Equipments,Fixed Assets,5.24,6.06,6.15,6.51,8.56,9.84,
Furniture n fittings,Fixed Assets,4.11,3.98,4.54,4.55,5.05,5.7,
Vehicles,Fixed Assets,10.16,11.01,12.01,12.43,12.94,13.07,
Intangible Assets,Fixed Assets,0.0,0.0,0.0,0.0,0.0,0.0,8.03
Other fixed assets,Fixed Assets,-0.01,23.6,39.97,41.1,42.5,39.6,
Gross Block,Fixed Assets,616.85,678.01,734.56,810.47,952.07,1190.89,
Accumulated Depreciation,Fixed Assets,317.88,362.25,408.36,462.7,521.71,603.55,
Trade Payables,Other Liabilities,4.0,25.0,42.0,52.0,44.0,41.0,34.0
Advance from Customers,Other Liabilities,7.0,11.0,19.0,23.0,17.0,30.0,
Other liability items,Other Liabilities,263.0,245.0,224.0,367.0,462.0,463.0,526.0
Inventories,Other Assets,144.0,163.0,122.0,97.0,103.0,178.0,126.0
Trade receivables,Other Assets,107.0,142.0,241.0,190.0,132.0,134.0,165.0
Cash Equivalents,Other Assets,2831.0,2851.0,2091.0,2139.0,2262.0,1828.0,1675.0
Loans n Advances,Other Assets,20.0,16.0,17.0,46.0,59.0,101.0,30.0
Other asset items,Other Assets,197.0,163.0,177.0,154.0,207.0,220.0,233.0
