,parent_line_item,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,4720.0,5720.0,8426.0,8426.0
Reserves,,168.0,513.0,10014.0,10539.0
Borrowings,,6137.0,13856.0,19441.0,31716.0
Other Liabilities,,7407.0,7119.0,7540.0,9700.0
Total Liabilities,,18431.0,27207.0,45421.0,60382.0
Fixed Assets,,14758.0,17573.0,21816.0,39202.0
CWIP,,1749.0,7138.0,13983.0,14193.0
Investments,,0.0,0.0,3199.0,3536.0
Other Assets,,1924.0,2495.0,6423.0,3451.0
Total Assets,,18431.0,27207.0,45421.0,60382.0
Land,Fixed Assets,1259.16,2923.96,4066.81,
Building,Fixed Assets,25.55,144.14,178.96,
Plant Machinery,Fixed Assets,15090.33,16730.6,20308.58,
Equipments,Fixed Assets,0.29,0.29,0.34,
Furniture n fittings,Fixed Assets,2.88,132.03,453.56,
Vehicles,Fixed Assets,0.0,0.0,0.9,
Intangible Assets,Fixed Assets,0.0,0.0,0.0,1.34
Other fixed assets,Fixed Assets,78.28,19.29,28.18,
Gross Block,Fixed Assets,16456.49,19950.31,25037.33,
Accumulated Depreciation,Fixed Assets,1698.37,2377.3,3221.4,
Long term Borrowings,Borrowings,5244.0,12165.0,17301.0,28637.0
Short term Borrowings,Borrowings,174.0,632.0,671.0,621.0
Lease Liabilities,Borrowings,719.0,1059.0,1469.0,2458.0
Other Borrowings,Borrowings,-0.0,0.0,0.0,
Non controlling int,Other Liabilities,0.0,0.0,92.0,224.0
Trade Payables,Other Liabilities,102.0,62.0,89.0,152.0
Advance from Customers,Other Liabilities,2.0,1.0,1.0,
Other liability items,Other Liabilities,7302.0,7056.0,7358.0,9324.0
Inventories,Other Assets,9.0,25.0,32.0,36.0
Trade receivables,Other Assets,326.0,705.0,516.0,614.0
Cash Equivalents,Other Assets,73.0,472.0,3517.0,618.0
Loans n Advances,Other Assets,5.0,4.0,8.0,140.0
Other asset items,Other Assets,1512.0,1289.0,2349.0,2042.0
