,parent_line_item,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,148.0,148.0,162.0
Reserves,,286.0,491.0,1264.0
Borrowings,,350.0,379.0,84.0
Other Liabilities,,174.0,144.0,157.0
Total Liabilities,,958.0,1160.0,1667.0
Fixed Assets,,371.0,447.0,530.0
CWIP,,3.0,10.0,50.0
Investments,,0.0,0.0,14.0
Other Assets,,584.0,704.0,1074.0
Total Assets,,958.0,1160.0,1667.0
Land,Fixed Assets,43.0,80.0,
Building,Fixed Assets,57.0,71.0,
Plant Machinery,Fixed Assets,293.0,352.0,
Equipments,Fixed Assets,11.0,14.0,
Computers,Fixed Assets,9.0,11.0,
Furniture n fittings,Fixed Assets,11.0,13.0,
Vehicles,Fixed Assets,0.0,0.0,
Intangible Assets,Fixed Assets,20.0,20.0,50.0
Other fixed assets,Fixed Assets,23.0,23.0,
Gross Block,Fixed Assets,468.0,584.0,
Accumulated Depreciation,Fixed Assets,97.0,138.0,
Long term Borrowings,Borrowings,131.99,133.37,46.56
Short term Borrowings,Borrowings,188.77,219.52,30.36
Lease Liabilities,Borrowings,29.48,25.79,6.71
Non controlling int,Other Liabilities,0.0,0.0,-0.0
Trade Payables,Other Liabilities,128.0,89.0,105.0
Advance from Customers,Other Liabilities,4.0,6.0,
Other liability items,Other Liabilities,42.0,49.0,53.0
Inventories,Other Assets,158.0,152.0,188.0
Trade receivables,Other Assets,221.0,292.0,329.0
Cash Equivalents,Other Assets,107.0,128.0,416.0
Loans n Advances,Other Assets,33.0,40.0,22.0
Other asset items,Other Assets,65.0,92.0,119.0
