,parent_line_item,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,20.0,20.0,20.0,20.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0
Reserves,,734.0,843.0,916.0,1035.0,1326.0,1555.0,1709.0,1884.0,1418.0,1702.0,1571.0
Borrowings,,899.0,647.0,723.0,1590.0,1084.0,548.0,91.0,101.0,215.0,243.0,159.0
Other Liabilities,,1305.0,1569.0,1806.0,2533.0,2135.0,2142.0,2169.0,2985.0,2177.0,2251.0,2507.0
Total Liabilities,,2957.0,3078.0,3466.0,5179.0,4567.0,4268.0,3992.0,4993.0,3833.0,4219.0,4260.0
Fixed Assets,,276.0,310.0,316.0,393.0,469.0,531.0,754.0,770.0,916.0,950.0,908.0
CWIP,,21.0,8.0,6.0,9.0,11.0,18.0,44.0,42.0,63.0,13.0,2.0
Investments,,77.0,72.0,8.0,11.0,13.0,5.0,5.0,47.0,35.0,233.0,402.0
Other Assets,,2583.0,2688.0,3136.0,4766.0,4075.0,3714.0,3189.0,4134.0,2819.0,3023.0,2948.0
Total Assets,,2957.0,3078.0,3466.0,5179.0,4567.0,4268.0,3992.0,4993.0,3833.0,4219.0,4260.0
Land,Fixed Assets,49.0,49.0,49.0,71.0,71.0,71.0,65.0,65.0,62.0,46.0,46.0
Building,Fixed Assets,135.0,155.0,158.0,166.0,290.0,240.0,267.0,290.0,417.0,447.0,373.0
Plant Machinery,Fixed Assets,56.0,68.0,76.0,94.0,92.0,101.0,128.0,97.0,105.0,110.0,112.0
Equipments,Fixed Assets,19.0,25.0,34.0,16.0,17.0,17.0,18.0,16.0,19.0,24.0,24.0
Computers,Fixed Assets,26.0,45.0,55.0,71.0,80.0,81.0,85.0,87.0,71.0,51.0,50.0
Furniture n fittings,Fixed Assets,13.0,18.0,22.0,24.0,29.0,33.0,41.0,38.0,42.0,46.0,47.0
Vehicles,Fixed Assets,4.0,5.0,6.0,9.0,10.0,10.0,8.0,4.0,4.0,4.0,5.0
Intangible Assets,Fixed Assets,0.0,0.0,0.0,44.0,46.0,46.0,210.0,210.0,210.0,210.0,342.0
Other fixed assets,Fixed Assets,0.0,0.0,4.0,37.0,43.0,181.0,209.0,249.0,310.0,425.0,436.0
Gross Block,Fixed Assets,304.0,366.0,405.0,532.0,678.0,780.0,1031.0,1056.0,1240.0,1362.0,1434.0
Accumulated Depreciation,Fixed Assets,27.0,56.0,89.0,139.0,209.0,249.0,277.0,286.0,324.0,412.0,526.0
Long term Borrowings,Borrowings,96.0,17.0,11.0,213.0,80.0,26.0,12.0,0.0,0.0,0.0,0.0
Short term Borrowings,Borrowings,725.0,529.0,706.0,1373.0,662.0,445.0,33.0,0.0,0.0,0.0,0.0
Lease Liabilities,Borrowings,0.0,0.0,0.0,0.0,99.0,39.0,46.0,101.0,215.0,243.0,159.0
Other Borrowings,Borrowings,78.0,101.0,5.0,5.0,243.0,38.0,-0.0,0.0,0.0,0.0,0.0
Non controlling int,Other Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,-26.0,0.0,0.0,0.0,0.0
Trade Payables,Other Liabilities,560.0,636.0,854.0,1104.0,910.0,960.0,1235.0,1796.0,1842.0,1913.0,1976.0
Advance from Customers,Other Liabilities,179.0,174.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other liability items,Other Liabilities,566.0,759.0,839.0,1429.0,1225.0,1182.0,960.0,1189.0,335.0,338.0,531.0
Inventories,Other Assets,507.0,571.0,579.0,830.0,699.0,986.0,998.0,976.0,757.0,717.0,534.0
Trade receivables,Other Assets,1412.0,1342.0,1749.0,2624.0,2049.0,1512.0,1140.0,1111.0,1163.0,1286.0,1141.0
Cash Equivalents,Other Assets,56.0,65.0,26.0,16.0,105.0,62.0,143.0,370.0,275.0,121.0,258.0
Loans n Advances,Other Assets,10.0,25.0,62.0,68.0,90.0,0.0,0.0,2.0,0.0,0.0,0.0
Other asset items,Other Assets,598.0,685.0,721.0,1227.0,1132.0,1154.0,909.0,1675.0,624.0,899.0,1015.0
