,parent_line_item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,2.0,2.0,2.0,2.0,2.0,11.0,12.0
Reserves,,162.0,189.0,284.0,310.0,422.0,1007.0,1865.0
Borrowings,,269.0,147.0,190.0,427.0,436.0,509.0,256.0
Other Liabilities,,342.0,364.0,738.0,970.0,784.0,1648.0,1858.0
Total Liabilities,,775.0,703.0,1214.0,1709.0,1644.0,3175.0,3991.0
Fixed Assets,,66.0,56.0,55.0,65.0,70.0,740.0,813.0
CWIP,,0.0,0.0,4.0,7.0,16.0,30.0,84.0
Investments,,0.0,17.0,30.0,30.0,1.0,1.0,1.0
Other Assets,,708.0,630.0,1126.0,1607.0,1558.0,2404.0,3093.0
Total Assets,,775.0,703.0,1214.0,1709.0,1644.0,3175.0,3991.0
Land,Fixed Assets,27.0,5.0,5.0,26.0,24.0,25.0,26.0
Building,Fixed Assets,21.0,47.0,16.0,39.0,52.0,111.0,164.0
Plant Machinery,Fixed Assets,1.0,0.0,0.0,0.0,0.0,86.0,129.0
Equipments,Fixed Assets,20.0,1.0,2.0,1.0,1.0,8.0,17.0
Computers,Fixed Assets,4.0,1.0,1.0,3.0,5.0,16.0,22.0
Furniture n fittings,Fixed Assets,4.0,2.0,2.0,2.0,2.0,8.0,11.0
Vehicles,Fixed Assets,2.0,3.0,4.0,8.0,13.0,13.0,15.0
Intangible Assets,Fixed Assets,2.0,1.0,1.0,1.0,1.0,545.0,546.0
Other fixed assets,Fixed Assets,5.0,1.0,36.0,2.0,3.0,9.0,10.0
Gross Block,Fixed Assets,86.0,61.0,67.0,83.0,100.0,820.0,940.0
Accumulated Depreciation,Fixed Assets,20.0,6.0,12.0,18.0,29.0,80.0,127.0
Long term Borrowings,Borrowings,26.0,14.0,49.0,43.0,28.0,15.0,49.0
Short term Borrowings,Borrowings,233.0,133.0,141.0,367.0,377.0,450.0,140.0
Lease Liabilities,Borrowings,0.0,0.0,0.0,17.0,31.0,44.0,67.0
Other Borrowings,Borrowings,10.0,0.0,0.0,0.0,-0.0,0.0,0.0
Non controlling int,Other Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trade Payables,Other Liabilities,300.0,315.0,665.0,909.0,600.0,1343.0,1601.0
Advance from Customers,Other Liabilities,0.0,1.0,2.0,2.0,2.0,10.0,21.0
Other liability items,Other Liabilities,42.0,48.0,71.0,59.0,182.0,295.0,236.0
Inventories,Other Assets,251.0,70.0,303.0,511.0,509.0,871.0,1104.0
Trade receivables,Other Assets,331.0,379.0,525.0,615.0,734.0,1039.0,1404.0
Cash Equivalents,Other Assets,37.0,152.0,201.0,371.0,71.0,182.0,200.0
Loans n Advances,Other Assets,6.0,3.0,10.0,8.0,12.0,17.0,29.0
Other asset items,Other Assets,83.0,26.0,88.0,102.0,231.0,295.0,356.0
