,parent_line_item,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,69.0,82.0,83.0,103.0,111.0,121.0
Reserves,,9.0,76.0,114.0,450.0,942.0,1473.0
Borrowings,,26.0,47.0,52.0,49.0,40.0,152.0
Other Liabilities,,68.0,78.0,121.0,111.0,159.0,104.0
Total Liabilities,,171.0,284.0,371.0,712.0,1252.0,1851.0
Fixed Assets,,42.0,42.0,48.0,57.0,183.0,547.0
CWIP,,0.0,7.0,7.0,130.0,417.0,277.0
Investments,,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,,129.0,235.0,316.0,525.0,652.0,1027.0
Total Assets,,171.0,284.0,371.0,712.0,1252.0,1851.0
Land,Fixed Assets,0.01,0.01,0.01,4.47,4.47,
Building,Fixed Assets,2.7,1.7,1.52,1.53,5.98,
Plant Machinery,Fixed Assets,5.83,7.37,13.98,14.47,136.61,
Equipments,Fixed Assets,0.08,0.11,0.13,0.65,2.1,
Computers,Fixed Assets,0.01,0.02,0.05,0.16,0.44,
Furniture n fittings,Fixed Assets,0.35,0.35,0.35,0.69,1.23,
Vehicles,Fixed Assets,1.46,1.46,1.83,6.4,6.74,
Intangible Assets,Fixed Assets,32.54,32.54,32.54,32.54,32.54,32.56
Other fixed assets,Fixed Assets,0.0,0.05,0.06,0.07,0.06,
Gross Block,Fixed Assets,42.98,43.61,50.47,60.98,190.17,
Accumulated Depreciation,Fixed Assets,0.57,1.25,2.17,4.22,7.18,
Long term Borrowings,Borrowings,10.0,7.0,12.0,25.0,16.0,11.0
Short term Borrowings,Borrowings,14.0,39.0,40.0,24.0,20.0,116.0
Lease Liabilities,Borrowings,2.0,1.0,1.0,0.0,4.0,25.0
Other Borrowings,Borrowings,0.0,0.0,0.0,-0.0,0.0,
Trade Payables,Other Liabilities,48.0,45.0,66.0,81.0,118.0,63.0
Advance from Customers,Other Liabilities,0.0,0.0,0.0,-0.0,0.0,
Other liability items,Other Liabilities,20.0,33.0,55.0,30.0,41.0,41.0
Inventories,Other Assets,20.0,42.0,35.0,89.0,98.0,145.0
Trade receivables,Other Assets,61.0,129.0,211.0,218.0,327.0,425.0
Cash Equivalents,Other Assets,3.0,7.0,8.0,91.0,96.0,89.0
Loans n Advances,Other Assets,30.0,33.0,21.0,79.0,32.0,4.0
Other asset items,Other Assets,15.0,24.0,42.0,47.0,98.0,364.0
