,parent_line_item,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,5.0,11.0,13.0,147.0,155.0
Reserves,,71.0,87.0,231.0,537.0,1044.0
Borrowings,,92.0,146.0,330.0,630.0,869.0
Other Liabilities,,6.0,8.0,11.0,43.0,127.0
Total Liabilities,,175.0,252.0,586.0,1357.0,2195.0
Fixed Assets,,8.0,9.0,35.0,106.0,376.0
CWIP,,0.0,0.0,1.0,1.0,0.0
Investments,,45.0,68.0,91.0,77.0,44.0
Other Assets,,122.0,175.0,459.0,1174.0,1775.0
Total Assets,,175.0,252.0,586.0,1357.0,2195.0
Land,Fixed Assets,0.0,0.0,0.0,0.0,
Building,Fixed Assets,3.0,3.0,2.0,2.0,
Plant Machinery,Fixed Assets,3.0,5.0,14.0,30.0,
Equipments,Fixed Assets,1.0,1.0,1.0,2.0,
Computers,Fixed Assets,0.0,0.0,1.0,2.0,
Furniture n fittings,Fixed Assets,1.0,1.0,13.0,14.0,
Vehicles,Fixed Assets,0.0,0.0,1.0,2.0,
Intangible Assets,Fixed Assets,0.0,0.0,0.0,42.0,257.0
Other fixed assets,Fixed Assets,4.0,4.0,13.0,34.0,
Gross Block,Fixed Assets,12.0,14.0,45.0,128.0,
Accumulated Depreciation,Fixed Assets,4.0,5.0,10.0,23.0,
Long term Borrowings,Borrowings,17.0,15.0,18.0,16.0,48.0
Short term Borrowings,Borrowings,74.0,131.0,301.0,588.0,800.0
Lease Liabilities,Borrowings,1.0,1.0,11.0,25.0,21.0
Other Borrowings,Borrowings,-0.0,-0.0,0.0,0.0,
Non controlling int,Other Liabilities,0.0,0.0,0.0,0.0,7.0
Trade Payables,Other Liabilities,1.0,1.0,4.0,26.0,91.0
Advance from Customers,Other Liabilities,0.0,0.0,0.0,0.0,
Other liability items,Other Liabilities,5.0,6.0,7.0,17.0,29.0
Inventories,Other Assets,74.0,85.0,266.0,397.0,786.0
Trade receivables,Other Assets,43.0,67.0,102.0,452.0,563.0
Cash Equivalents,Other Assets,1.0,18.0,77.0,175.0,235.0
Loans n Advances,Other Assets,1.0,1.0,1.0,7.0,24.0
Other asset items,Other Assets,2.0,3.0,13.0,143.0,166.0
