,parent_line_item,Mar 2025,Mar 2026
Equity Capital,,30.0,15.0
Reserves,,877.0,1785.0
Borrowings,,1915.0,1699.0
Other Liabilities,,711.0,1461.0
Total Liabilities,,3532.0,4961.0
Fixed Assets,,1013.0,1134.0
CWIP,,5.0,3.0
Investments,,59.0,47.0
Other Assets,,2455.0,3777.0
Total Assets,,3532.0,4961.0
Building,Fixed Assets,1101.09,
Plant Machinery,Fixed Assets,30.3,
Equipments,Fixed Assets,111.69,
Computers,Fixed Assets,15.68,
Furniture n fittings,Fixed Assets,62.95,
Vehicles,Fixed Assets,1.71,
Intangible Assets,Fixed Assets,0.01,2.56
Other fixed assets,Fixed Assets,4.91,
Gross Block,Fixed Assets,1328.34,
Accumulated Depreciation,Fixed Assets,315.39,
Long term Borrowings,Borrowings,197.0,201.0
Short term Borrowings,Borrowings,918.0,543.0
Lease Liabilities,Borrowings,800.0,955.0
Non controlling int,Other Liabilities,4.0,2.0
Trade Payables,Other Liabilities,165.0,160.0
Advance from Customers,Other Liabilities,200.0,
Other liability items,Other Liabilities,342.0,1299.0
Inventories,Other Assets,1653.0,2672.0
Trade receivables,Other Assets,6.0,8.0
Cash Equivalents,Other Assets,187.0,512.0
Loans n Advances,Other Assets,26.0,75.0
Other asset items,Other Assets,583.0,511.0
