,parent_line_item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,79.0,79.0,79.0,95.0,95.0,99.0,100.0,100.0,100.0,100.0
Reserves,,442.0,506.0,620.0,1614.0,1885.0,2817.0,3240.0,3668.0,4217.0,4960.0
Borrowing,,306.0,840.0,1603.0,2022.0,2515.0,2728.0,3796.0,5200.0,6873.0,7904.0
Other Liabilities,,18.0,40.0,61.0,16.0,26.0,39.0,41.0,37.0,54.0,84.0
Total Liabilities,,845.0,1465.0,2362.0,3747.0,4520.0,5684.0,7176.0,9005.0,11243.0,13048.0
Fixed Assets,,5.0,4.0,4.0,10.0,10.0,12.0,15.0,22.0,35.0,39.0
CWIP,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,,1.0,45.0,0.0,0.0,53.0,102.0,51.0,51.0,53.0,240.0
Other Assets,,840.0,1416.0,2358.0,3737.0,4458.0,5570.0,7110.0,8931.0,11156.0,12768.0
Total Assets,,845.0,1465.0,2362.0,3747.0,4520.0,5684.0,7176.0,9005.0,11243.0,13048.0
Land,Fixed Assets,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Building,Fixed Assets,0.0,1.0,2.0,14.0,16.0,21.0,29.0,41.0,60.0,73.0
Equipments,Fixed Assets,3.0,2.0,3.0,4.0,5.0,6.0,7.0,9.0,13.0,16.0
Furniture n fittings,Fixed Assets,0.0,0.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,4.0
Vehicles,Fixed Assets,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0
Other fixed assets,Fixed Assets,2.0,2.0,3.0,3.0,3.0,4.0,5.0,6.0,7.0,8.0
Gross Block,Fixed Assets,10.0,7.0,9.0,24.0,26.0,35.0,45.0,61.0,86.0,103.0
Accumulated Depreciation,Fixed Assets,5.0,2.0,5.0,14.0,17.0,23.0,30.0,39.0,51.0,64.0
Trade Payables,Other Liabilities,2.0,3.0,5.0,1.0,2.0,8.0,9.0,3.0,4.0,20.0
Advance from Customers,Other Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other liability items,Other Liabilities,16.0,37.0,55.0,15.0,24.0,32.0,32.0,34.0,50.0,64.0
Cash Equivalents,Other Assets,17.0,14.0,111.0,603.0,438.0,446.0,460.0,350.0,424.0,591.0
Loans n Advances,Other Assets,40.0,0.0,1.0,1.0,0.0,1.0,6.0,5.0,10.0,2.0
Other asset items,Other Assets,783.0,1403.0,2246.0,3133.0,4020.0,5124.0,6644.0,8576.0,10722.0,12176.0
