,parent_line_item,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
Reserves,,78.0,113.0,210.0,349.0,582.0,858.0,954.0,1252.0,1649.0,2084.0,2619.0,3571.0
Borrowings,,2.0,2.0,1.0,1.0,36.0,113.0,235.0,219.0,222.0,219.0,222.0,5.0
Other Liabilities,,134.0,137.0,133.0,136.0,109.0,139.0,159.0,250.0,305.0,380.0,352.0,454.0
Total Liabilities,,229.0,267.0,358.0,500.0,743.0,1126.0,1364.0,1736.0,2191.0,2698.0,3208.0,4045.0
Fixed Assets,,113.0,144.0,152.0,169.0,227.0,272.0,305.0,287.0,280.0,453.0,546.0,605.0
CWIP,,31.0,0.0,3.0,15.0,10.0,20.0,14.0,18.0,221.0,117.0,144.0,209.0
Investments,,0.0,0.0,17.0,47.0,70.0,61.0,11.0,89.0,281.0,376.0,590.0,859.0
Other Assets,,85.0,122.0,186.0,269.0,436.0,772.0,1033.0,1343.0,1410.0,1753.0,1928.0,2373.0
Total Assets,,229.0,267.0,358.0,500.0,743.0,1126.0,1364.0,1736.0,2191.0,2698.0,3208.0,4045.0
Land,Fixed Assets,9.0,9.0,9.0,12.0,12.0,15.0,33.0,34.0,38.0,38.0,57.0,
Building,Fixed Assets,48.0,59.0,60.0,68.0,82.0,99.0,108.0,107.0,114.0,145.0,164.0,
Plant Machinery,Fixed Assets,49.0,68.0,78.0,94.0,94.0,106.0,130.0,142.0,152.0,276.0,359.0,
Equipments,Fixed Assets,12.0,15.0,21.0,29.0,40.0,63.0,74.0,79.0,84.0,112.0,130.0,
Computers,Fixed Assets,2.0,2.0,3.0,4.0,4.0,8.0,9.0,10.0,11.0,13.0,16.0,
Furniture n fittings,Fixed Assets,13.0,16.0,17.0,18.0,31.0,45.0,46.0,46.0,47.0,78.0,84.0,
Vehicles,Fixed Assets,4.0,4.0,4.0,4.0,5.0,9.0,9.0,10.0,13.0,15.0,18.0,
Intangible Assets,Fixed Assets,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,54.0
Other fixed assets,Fixed Assets,1.0,1.0,2.0,3.0,3.0,10.0,13.0,15.0,19.0,23.0,28.0,
Gross Block,Fixed Assets,143.0,181.0,195.0,232.0,272.0,355.0,423.0,444.0,480.0,702.0,860.0,
Accumulated Depreciation,Fixed Assets,30.0,37.0,43.0,62.0,45.0,82.0,117.0,157.0,201.0,250.0,314.0,
Long term Borrowings,Borrowings,0.88,0.73,0.48,0.32,0.29,0.02,0.0,0.0,0.0,0.0,0.0,0.0
Short term Borrowings,Borrowings,0.05,0.0,0.0,0.0,0.0,0.0,17.07,0.5,3.41,0.28,0.55,0.57
Lease Liabilities,Borrowings,0.0,0.0,0.0,0.0,0.0,2.13,1.32,1.63,2.07,1.69,4.47,4.04
Preference Capital,Borrowings,0.0,0.0,0.0,0.0,35.92,74.58,216.57,216.57,216.57,216.57,216.6,0.0
Other Borrowings,Borrowings,1.15,1.27,0.25,0.21,0.25,36.46,0.0,0.0,0.0,0.0,0.0,
Non controlling int,Other Liabilities,0.0,0.0,0.0,0.0,0.0,9.0,18.0,26.0,27.0,31.0,36.0,44.0
Trade Payables,Other Liabilities,42.0,56.0,79.0,94.0,60.0,64.0,88.0,156.0,153.0,230.0,218.0,296.0
Advance from Customers,Other Liabilities,66.0,57.0,19.0,0.0,0.0,0.0,0.0,5.0,23.0,31.0,12.0,
Other liability items,Other Liabilities,26.0,24.0,35.0,41.0,49.0,66.0,53.0,63.0,104.0,89.0,87.0,114.0
Inventories,Other Assets,14.0,19.0,22.0,28.0,37.0,238.0,179.0,227.0,288.0,363.0,336.0,429.0
Trade receivables,Other Assets,6.0,8.0,33.0,126.0,160.0,229.0,279.0,317.0,394.0,543.0,632.0,826.0
Cash Equivalents,Other Assets,45.0,68.0,93.0,79.0,153.0,223.0,438.0,463.0,493.0,553.0,591.0,621.0
Loans n Advances,Other Assets,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,2.0,2.0,14.0,28.0
Other asset items,Other Assets,20.0,27.0,37.0,35.0,86.0,41.0,136.0,336.0,232.0,293.0,355.0,469.0
