,parent_line_item,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,9.0,9.0,9.0,9.0,9.0
Reserves,,2105.0,2400.0,2781.0,3205.0,3681.0
Borrowings,,0.0,0.0,0.0,66.0,55.0
Other Liabilities,,523.0,613.0,591.0,505.0,680.0
Total Liabilities,,2637.0,3022.0,3382.0,3785.0,4426.0
Fixed Assets,,536.0,587.0,673.0,736.0,732.0
CWIP,,20.0,77.0,84.0,68.0,61.0
Investments,,398.0,100.0,25.0,30.0,605.0
Other Assets,,1683.0,2258.0,2600.0,2950.0,3028.0
Total Assets,,2637.0,3022.0,3382.0,3785.0,4426.0
Land,Fixed Assets,101.0,101.0,104.0,104.0,101.0
Building,Fixed Assets,118.0,166.0,226.0,244.0,242.0
Plant Machinery,Fixed Assets,700.0,749.0,833.0,966.0,996.0
Equipments,Fixed Assets,78.0,94.0,121.0,133.0,137.0
Furniture n fittings,Fixed Assets,6.0,19.0,22.0,24.0,25.0
Vehicles,Fixed Assets,6.0,5.0,5.0,6.0,7.0
Other fixed assets,Fixed Assets,34.0,44.0,53.0,60.0,64.0
Gross Block,Fixed Assets,1044.0,1179.0,1365.0,1537.0,1572.0
Accumulated Depreciation,Fixed Assets,508.0,592.0,692.0,801.0,841.0
Lease Liabilities,Borrowings,0.0,0.0,0.0,66.0,55.0
Trade Payables,Other Liabilities,355.0,360.0,383.0,351.0,462.0
Advance from Customers,Other Liabilities,7.0,4.0,6.0,5.0,7.0
Other liability items,Other Liabilities,161.0,249.0,202.0,149.0,211.0
Inventories,Other Assets,145.0,157.0,175.0,191.0,282.0
Trade receivables,Other Assets,666.0,758.0,936.0,1120.0,942.0
Cash Equivalents,Other Assets,670.0,1169.0,1297.0,1468.0,1627.0
Loans n Advances,Other Assets,26.0,31.0,29.0,29.0,32.0
Other asset items,Other Assets,176.0,144.0,162.0,143.0,147.0
