,parent_line_item,Dec 2022,Dec 2023,Dec 2024,Dec 2025,Jun 2026
Equity Capital,,31.0,31.0,31.0,31.0,31.0
Reserves,,4255.0,4774.0,5303.0,6017.0,6116.0
Borrowings,,57.0,51.0,56.0,55.0,48.0
Other Liabilities,,1383.0,1410.0,1493.0,2110.0,2317.0
Total Liabilities,,5727.0,6267.0,6883.0,8213.0,8512.0
Fixed Assets,,1123.0,1441.0,1970.0,2195.0,2096.0
CWIP,,249.0,491.0,449.0,334.0,445.0
Investments,,0.0,0.0,0.0,0.0,0.0
Other Assets,,4355.0,4335.0,4464.0,5683.0,5972.0
Total Assets,,5727.0,6267.0,6883.0,8213.0,8512.0
Land,Fixed Assets,58.0,58.0,58.0,58.0,
Building,Fixed Assets,372.0,461.0,499.0,666.0,
Plant Machinery,Fixed Assets,1638.0,1868.0,2589.0,2955.0,
Equipments,Fixed Assets,32.0,47.0,61.0,65.0,
Furniture n fittings,Fixed Assets,68.0,107.0,124.0,147.0,
Vehicles,Fixed Assets,1.0,2.0,3.0,3.0,
Intangible Assets,Fixed Assets,0.0,162.0,162.0,162.0,137.0
Other fixed assets,Fixed Assets,1.0,6.0,7.0,7.0,
Gross Block,Fixed Assets,2170.0,2712.0,3502.0,4064.0,
Accumulated Depreciation,Fixed Assets,1047.0,1270.0,1533.0,1869.0,
Lease Liabilities,Borrowings,57.38,51.1,55.53,54.67,48.11
Trade Payables,Other Liabilities,1112.0,1055.0,1128.0,1683.0,1928.0
Advance from Customers,Other Liabilities,39.0,5.0,8.0,12.0,
Other liability items,Other Liabilities,232.0,350.0,357.0,415.0,389.0
Inventories,Other Assets,1243.0,1316.0,1470.0,1772.0,2250.0
Trade receivables,Other Assets,1032.0,1056.0,1293.0,1657.0,1785.0
Cash Equivalents,Other Assets,1555.0,1586.0,1350.0,1846.0,1507.0
Loans n Advances,Other Assets,28.0,35.0,50.0,61.0,20.0
Other asset items,Other Assets,496.0,343.0,301.0,348.0,410.0
