,parent_line_item,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,1919.0,1919.0,4285.0,4679.0,4679.0
Reserves,,2108.0,4288.0,2158.0,3657.0,4980.0
Borrowings,,4788.0,2896.0,2532.0,1402.0,1111.0
Other Liabilities,,1271.0,1427.0,1554.0,1179.0,1680.0
Total Liabilities,,10085.0,10529.0,10529.0,10917.0,12450.0
Fixed Assets,,8621.0,8607.0,8667.0,8997.0,9352.0
CWIP,,5.0,0.0,6.0,0.0,43.0
Investments,,0.0,0.0,0.0,0.0,336.0
Other Assets,,1459.0,1922.0,1856.0,1920.0,2719.0
Total Assets,,10085.0,10529.0,10529.0,10917.0,12450.0
Building,Fixed Assets,650.0,766.0,958.0,998.0,1053.0
Equipments,Fixed Assets,7.0,12.0,22.0,25.0,35.0
Computers,Fixed Assets,189.0,267.0,382.0,440.0,601.0
Furniture n fittings,Fixed Assets,20.0,24.0,29.0,34.0,42.0
Vehicles,Fixed Assets,0.0,1.0,1.0,2.0,2.0
Intangible Assets,Fixed Assets,5218.0,5460.0,5710.0,6048.0,6415.0
Other fixed assets,Fixed Assets,2684.0,2855.0,2985.0,2549.0,2816.0
Gross Block,Fixed Assets,8769.0,9385.0,10086.0,10096.0,10964.0
Accumulated Depreciation,Fixed Assets,148.0,778.0,1419.0,1098.0,1612.0
Long term Borrowings,Borrowings,4184.0,2324.0,1665.0,567.0,0.0
Short term Borrowings,Borrowings,55.0,24.0,269.0,250.0,578.0
Lease Liabilities,Borrowings,549.0,548.0,598.0,585.0,533.0
Other Borrowings,Borrowings,0.0,-0.0,0.0,0.0,0.0
Trade Payables,Other Liabilities,115.0,213.0,259.0,214.0,222.0
Other liability items,Other Liabilities,1156.0,1213.0,1295.0,965.0,1458.0
Trade receivables,Other Assets,926.0,1069.0,1181.0,1267.0,1839.0
Cash Equivalents,Other Assets,374.0,585.0,344.0,344.0,568.0
Loans n Advances,Other Assets,60.0,75.0,93.0,95.0,112.0
Other asset items,Other Assets,99.0,193.0,238.0,214.0,200.0
