,parent_line_item,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,16.0,16.0,16.0,16.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
Reserves,,552.0,493.0,536.0,602.0,1004.0,1035.0,1049.0,1114.0,1220.0,1477.0,1816.0,2382.0
Borrowings,,765.0,601.0,356.0,489.0,532.0,539.0,458.0,560.0,766.0,889.0,993.0,1001.0
Other Liabilities,,862.0,1336.0,973.0,1282.0,1044.0,1533.0,1669.0,1925.0,3013.0,3534.0,3026.0,3686.0
Total Liabilities,,2195.0,2445.0,1881.0,2388.0,2597.0,3125.0,3192.0,3616.0,5017.0,5917.0,5852.0,7086.0
Fixed Assets,,335.0,349.0,385.0,462.0,529.0,624.0,601.0,655.0,847.0,1081.0,1077.0,1168.0
CWIP,,3.0,3.0,6.0,38.0,7.0,5.0,53.0,2.0,117.0,10.0,21.0,22.0
Investments,,0.0,0.0,1.0,1.0,1.0,255.0,194.0,113.0,45.0,5.0,0.0,0.0
Other Assets,,1856.0,2093.0,1489.0,1887.0,2060.0,2241.0,2344.0,2847.0,4007.0,4821.0,4753.0,5897.0
Total Assets,,2195.0,2445.0,1881.0,2388.0,2597.0,3125.0,3192.0,3616.0,5017.0,5917.0,5852.0,7086.0
Land,Fixed Assets,0.0,5.0,6.0,6.0,6.0,15.0,22.0,9.0,12.0,13.0,19.0,14.0
Building,Fixed Assets,16.0,15.0,19.0,25.0,28.0,70.0,70.0,116.0,112.0,120.0,112.0,85.0
Plant Machinery,Fixed Assets,462.0,487.0,390.0,504.0,631.0,758.0,813.0,900.0,1168.0,1554.0,1627.0,1783.0
Equipments,Fixed Assets,87.0,93.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,3.0
Computers,Fixed Assets,0.0,0.0,2.0,4.0,9.0,10.0,11.0,12.0,15.0,15.0,19.0,22.0
Furniture n fittings,Fixed Assets,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0
Vehicles,Fixed Assets,6.0,6.0,3.0,4.0,4.0,3.0,4.0,6.0,8.0,8.0,8.0,7.0
Other fixed assets,Fixed Assets,0.0,-0.0,0.0,0.0,8.0,10.0,10.0,10.0,10.0,10.0,17.0,17.0
Gross Block,Fixed Assets,570.0,607.0,422.0,545.0,690.0,869.0,934.0,1058.0,1331.0,1727.0,1810.0,1934.0
Accumulated Depreciation,Fixed Assets,235.0,258.0,36.0,84.0,160.0,245.0,333.0,404.0,483.0,646.0,733.0,766.0
Long term Borrowings,Borrowings,40.0,12.0,41.0,25.0,17.0,17.0,87.0,87.0,168.0,133.0,118.0,93.0
Short term Borrowings,Borrowings,681.0,562.0,293.0,422.0,504.0,444.0,322.0,428.0,556.0,729.0,846.0,871.0
Lease Liabilities,Borrowings,0.0,0.0,0.0,0.0,0.0,65.0,48.0,45.0,41.0,27.0,28.0,38.0
Other Borrowings,Borrowings,44.0,27.0,22.0,42.0,11.0,13.0,0.0,-0.0,-0.0,0.0,0.0,0.0
Non controlling int,Other Liabilities,0.0,0.0,1.0,1.0,2.0,3.0,3.0,4.0,4.0,4.0,0.0,0.0
Trade Payables,Other Liabilities,417.0,754.0,614.0,620.0,559.0,657.0,727.0,937.0,1334.0,1433.0,2045.0,2190.0
Advance from Customers,Other Liabilities,355.0,465.0,149.0,344.0,241.0,499.0,563.0,578.0,1066.0,1178.0,637.0,1015.0
Other liability items,Other Liabilities,89.0,117.0,209.0,317.0,242.0,374.0,376.0,406.0,609.0,919.0,343.0,481.0
Inventories,Other Assets,1131.0,1175.0,111.0,157.0,246.0,289.0,337.0,400.0,577.0,684.0,644.0,751.0
Trade receivables,Other Assets,413.0,309.0,215.0,240.0,436.0,585.0,531.0,622.0,1080.0,1211.0,990.0,1295.0
Cash Equivalents,Other Assets,27.0,148.0,165.0,116.0,109.0,281.0,207.0,491.0,630.0,896.0,825.0,949.0
Loans n Advances,Other Assets,27.0,44.0,46.0,35.0,363.0,59.0,63.0,72.0,182.0,119.0,106.0,158.0
Other asset items,Other Assets,258.0,417.0,953.0,1338.0,905.0,1026.0,1205.0,1262.0,1538.0,1911.0,2189.0,2745.0
