,parent_line_item,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,31.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
Reserves,,9495.0,8760.0,9942.0,9088.0,9231.0,9783.0,10650.0,10976.0,12027.0,13784.0,14816.0
Borrowings,,50.0,0.0,0.0,0.0,74.0,54.0,73.0,53.0,39.0,118.0,119.0
Other Liabilities,,2848.0,3000.0,3946.0,3583.0,3977.0,4898.0,4650.0,5194.0,5252.0,6310.0,6716.0
Total Liabilities,,12425.0,11791.0,13919.0,12701.0,13311.0,14764.0,15402.0,16252.0,17348.0,20241.0,21680.0
Fixed Assets,,1149.0,1514.0,1318.0,1176.0,1342.0,1241.0,1212.0,1731.0,1770.0,1622.0,1654.0
CWIP,,151.0,129.0,313.0,644.0,487.0,488.0,605.0,366.0,224.0,396.0,358.0
Investments,,4620.0,3918.0,5232.0,4045.0,4033.0,5150.0,5521.0,5018.0,5121.0,7160.0,8020.0
Other Assets,,6505.0,6231.0,7056.0,6836.0,7450.0,7886.0,8064.0,9138.0,10234.0,11062.0,11648.0
Total Assets,,12425.0,11791.0,13919.0,12701.0,13311.0,14764.0,15402.0,16252.0,17348.0,20241.0,21680.0
Land,Fixed Assets,178.0,174.0,184.0,184.0,172.0,172.0,118.0,118.0,118.0,118.0,117.0
Building,Fixed Assets,404.0,462.0,464.0,472.0,780.0,800.0,953.0,953.0,984.0,1060.0,1062.0
Plant Machinery,Fixed Assets,970.0,1451.0,1658.0,1926.0,2173.0,2229.0,2346.0,2789.0,2914.0,2922.0,3216.0
Equipments,Fixed Assets,28.0,56.0,80.0,25.0,30.0,130.0,142.0,42.0,48.0,47.0,41.0
Furniture n fittings,Fixed Assets,16.0,21.0,24.0,29.0,39.0,35.0,36.0,41.0,44.0,39.0,26.0
Vehicles,Fixed Assets,21.0,33.0,40.0,47.0,50.0,51.0,58.0,66.0,57.0,60.0,44.0
Other fixed assets,Fixed Assets,0.0,221.0,222.0,227.0,224.0,222.0,220.0,683.0,874.0,884.0,883.0
Gross Block,Fixed Assets,1617.0,2418.0,2671.0,2910.0,3469.0,3639.0,3874.0,4691.0,5039.0,5129.0,5389.0
Accumulated Depreciation,Fixed Assets,468.0,904.0,1354.0,1734.0,2127.0,2398.0,2662.0,2960.0,3269.0,3506.0,3735.0
Long term Borrowings,Borrowings,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lease Liabilities,Borrowings,0.0,0.0,0.0,0.0,74.0,54.0,73.0,53.0,39.0,118.0,119.0
Other Borrowings,Borrowings,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trade Payables,Other Liabilities,1309.0,1340.0,2023.0,1578.0,1605.0,2223.0,2240.0,2725.0,2568.0,2955.0,3434.0
Advance from Customers,Other Liabilities,20.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,30.0,28.0,37.0
Other liability items,Other Liabilities,1520.0,1660.0,1923.0,2006.0,2372.0,2675.0,2409.0,2431.0,2655.0,3326.0,3244.0
Inventories,Other Assets,1192.0,1180.0,1226.0,1444.0,1116.0,1298.0,1729.0,1903.0,1893.0,1942.0,2124.0
Trade receivables,Other Assets,1322.0,1186.0,1616.0,1568.0,1413.0,1387.0,1527.0,1903.0,2182.0,2365.0,2773.0
Cash Equivalents,Other Assets,1832.0,1718.0,1888.0,1253.0,2256.0,2451.0,1706.0,2057.0,608.0,508.0,403.0
Loans n Advances,Other Assets,283.0,14.0,14.0,13.0,12.0,525.0,928.0,1187.0,1515.0,1406.0,987.0
Other asset items,Other Assets,1877.0,2132.0,2313.0,2558.0,2652.0,2224.0,2175.0,2088.0,4036.0,4842.0,5361.0
