,parent_line_item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,0.0,0.0,64.0,61.0,61.0,61.0,62.0,62.0,62.0
Reserves,,560.0,667.0,816.0,907.0,1121.0,1289.0,1725.0,2445.0,3003.0
Borrowings,,1097.0,759.0,459.0,292.0,607.0,486.0,1154.0,937.0,1821.0
Other Liabilities,,1205.0,1624.0,1095.0,2285.0,4252.0,3401.0,4934.0,4511.0,4671.0
Total Liabilities,,2862.0,3050.0,2434.0,3544.0,6041.0,5237.0,7875.0,7956.0,9558.0
Fixed Assets,,512.0,393.0,402.0,403.0,482.0,440.0,379.0,388.0,295.0
CWIP,,84.0,86.0,130.0,132.0,3.0,1.0,1.0,2.0,1.0
Investments,,159.0,140.0,231.0,74.0,228.0,90.0,159.0,486.0,390.0
Other Assets,,2107.0,2431.0,1671.0,2936.0,5329.0,4707.0,7335.0,7080.0,8872.0
Total Assets,,2862.0,3050.0,2434.0,3544.0,6041.0,5237.0,7875.0,7956.0,9558.0
Land,Fixed Assets,176.64,69.16,69.16,69.16,69.16,69.16,69.16,58.9,
Building,Fixed Assets,308.1,305.1,338.24,233.93,281.61,275.6,280.06,181.78,
Equipments,Fixed Assets,4.3,5.26,6.64,6.42,6.83,7.03,8.19,8.63,
Computers,Fixed Assets,13.12,23.79,22.56,23.22,29.2,32.66,33.64,50.17,
Furniture n fittings,Fixed Assets,30.42,46.85,52.2,51.78,53.64,54.28,71.53,80.4,
Vehicles,Fixed Assets,0.05,0.04,1.29,1.28,3.28,6.13,5.26,0.07,
Intangible Assets,Fixed Assets,0.0,0.0,0.0,112.91,113.76,113.76,113.76,113.76,9.07
Other fixed assets,Fixed Assets,14.29,15.12,21.67,23.46,96.68,102.9,105.61,186.39,
Gross Block,Fixed Assets,546.92,465.32,511.76,522.16,654.16,661.52,687.21,680.1,
Accumulated Depreciation,Fixed Assets,35.4,72.29,109.48,119.28,172.01,221.94,308.38,292.19,
Long term Borrowings,Borrowings,84.0,187.0,0.0,0.0,0.0,0.0,0.0,0.0,1821.0
Short term Borrowings,Borrowings,1013.0,572.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Borrowings,Borrowings,0.0,0.0,459.0,292.0,607.0,486.0,1154.0,937.0,
Non controlling int,Other Liabilities,0.0,0.0,-0.0,-0.0,-0.0,-1.0,2.0,3.0,5.0
Trade Payables,Other Liabilities,5.0,2.0,5.0,4.0,2.0,3.0,5.0,3.0,5.0
Advance from Customers,Other Liabilities,0.0,205.0,12.0,14.0,8.0,20.0,7.0,50.0,
Other liability items,Other Liabilities,1201.0,1416.0,1078.0,2266.0,4242.0,3379.0,4920.0,4456.0,4661.0
Inventories,Other Assets,0.0,0.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0
Trade receivables,Other Assets,25.0,25.0,32.0,34.0,28.0,22.0,48.0,45.0,62.0
Cash Equivalents,Other Assets,855.0,1065.0,1027.0,1678.0,3740.0,2837.0,4468.0,4010.0,5065.0
Loans n Advances,Other Assets,36.0,51.0,56.0,52.0,47.0,42.0,52.0,60.0,1445.0
Other asset items,Other Assets,1191.0,1290.0,542.0,1170.0,1514.0,1806.0,2768.0,2965.0,2299.0
