,parent_line_item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,9.0,9.0,9.0,9.0,12.0,12.0,12.0,12.0,12.0,12.0
Reserves,,716.0,656.0,490.0,388.0,513.0,564.0,692.0,833.0,1004.0,1243.0
Borrowings,,164.0,448.0,279.0,431.0,279.0,153.0,110.0,61.0,279.0,379.0
Other Liabilities,,406.0,617.0,824.0,501.0,432.0,469.0,493.0,529.0,654.0,841.0
Total Liabilities,,1295.0,1731.0,1602.0,1330.0,1235.0,1198.0,1307.0,1435.0,1949.0,2475.0
Fixed Assets,,739.0,834.0,699.0,731.0,642.0,612.0,597.0,632.0,871.0,1045.0
CWIP,,27.0,70.0,14.0,22.0,20.0,8.0,15.0,38.0,70.0,112.0
Investments,,0.0,2.0,3.0,5.0,1.0,2.0,5.0,6.0,14.0,14.0
Other Assets,,529.0,825.0,887.0,571.0,573.0,576.0,691.0,759.0,994.0,1304.0
Total Assets,,1295.0,1731.0,1602.0,1330.0,1235.0,1198.0,1307.0,1435.0,1949.0,2475.0
Land,Fixed Assets,121.0,109.0,101.0,112.0,111.0,125.0,123.0,151.0,175.0,264.0
Building,Fixed Assets,153.0,150.0,169.0,210.0,208.0,210.0,210.0,229.0,284.0,336.0
Plant Machinery,Fixed Assets,294.0,392.0,294.0,389.0,358.0,382.0,442.0,498.0,709.0,847.0
Equipments,Fixed Assets,5.0,5.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0
Computers,Fixed Assets,20.0,24.0,28.0,29.0,24.0,30.0,37.0,39.0,41.0,45.0
Furniture n fittings,Fixed Assets,7.0,8.0,8.0,8.0,8.0,8.0,9.0,10.0,15.0,19.0
Vehicles,Fixed Assets,3.0,3.0,3.0,3.0,3.0,5.0,6.0,7.0,9.0,13.0
Intangible Assets,Fixed Assets,352.0,409.0,418.0,408.0,345.0,356.0,356.0,350.0,352.0,352.0
Other fixed assets,Fixed Assets,24.0,36.0,26.0,32.0,28.0,29.0,17.0,18.0,34.0,35.0
Gross Block,Fixed Assets,978.0,1135.0,1052.0,1195.0,1089.0,1148.0,1203.0,1306.0,1624.0,1915.0
Accumulated Depreciation,Fixed Assets,239.0,301.0,353.0,464.0,447.0,536.0,606.0,675.0,753.0,870.0
Long term Borrowings,Borrowings,24.0,215.0,97.0,238.0,200.0,93.0,27.0,0.0,68.0,97.0
Short term Borrowings,Borrowings,94.0,215.0,165.0,133.0,48.0,35.0,62.0,47.0,201.0,266.0
Lease Liabilities,Borrowings,0.0,0.0,0.0,0.0,31.0,25.0,21.0,14.0,10.0,16.0
Other Borrowings,Borrowings,46.0,18.0,18.0,60.0,0.0,-0.0,0.0,0.0,0.0,0.0
Trade Payables,Other Liabilities,249.0,405.0,219.0,319.0,282.0,270.0,283.0,326.0,380.0,546.0
Advance from Customers,Other Liabilities,0.0,0.0,4.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0
Other liability items,Other Liabilities,157.0,213.0,601.0,174.0,140.0,199.0,210.0,203.0,274.0,295.0
Inventories,Other Assets,173.0,288.0,182.0,236.0,243.0,236.0,272.0,320.0,363.0,539.0
Trade receivables,Other Assets,214.0,296.0,195.0,196.0,188.0,239.0,269.0,287.0,473.0,578.0
Cash Equivalents,Other Assets,28.0,70.0,59.0,42.0,75.0,51.0,84.0,114.0,102.0,119.0
Loans n Advances,Other Assets,16.0,20.0,5.0,5.0,3.0,7.0,7.0,6.0,19.0,24.0
Other asset items,Other Assets,99.0,151.0,447.0,92.0,64.0,43.0,59.0,32.0,37.0,44.0
