,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019
Equity Capital,,10.0,11.0,14.0,19.0,24.0
Reserves,,61.0,81.0,211.0,573.0,1341.0
Borrowing,,88.0,129.0,455.0,546.0,955.0
Other Liabilities,,6.0,5.0,14.0,14.0,30.0
Total Liabilities,,165.0,225.0,694.0,1152.0,2350.0
Fixed Assets,,1.0,2.0,5.0,6.0,10.0
CWIP,,0.0,0.0,2.0,0.0,0.0
Investments,,0.0,4.0,4.0,0.0,0.0
Other Assets,,164.0,219.0,683.0,1145.0,2340.0
Total Assets,,165.0,225.0,694.0,1152.0,2350.0
Land,Fixed Assets,0.0,0.0,0.04,0.04,0.0
Building,Fixed Assets,0.0,0.0,2.02,2.04,3.99
Equipments,Fixed Assets,0.08,0.17,0.48,0.62,1.06
Computers,Fixed Assets,0.4,0.63,1.17,2.42,3.93
Furniture n fittings,Fixed Assets,0.81,1.52,2.19,2.84,3.84
Vehicles,Fixed Assets,0.38,0.96,0.78,0.78,0.39
Other fixed assets,Fixed Assets,0.08,0.11,0.46,2.34,3.0
Gross Block,Fixed Assets,1.75,3.39,7.14,11.08,16.21
Accumulated Depreciation,Fixed Assets,0.97,1.48,2.27,4.73,6.71
Trade Payables,Other Liabilities,0.56,0.57,3.34,4.86,2.93
Other liability items,Other Liabilities,5.28,4.56,10.88,9.09,26.84
Cash Equivalents,Other Assets,29.0,18.0,185.0,131.0,220.0
Loans n Advances,Other Assets,43.0,52.0,95.0,183.0,7.0
Other asset items,Other Assets,92.0,150.0,403.0,830.0,2114.0
