,parent_line_item,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,2.0,10.0,11.0,15.0,15.0,16.0
Reserves,,10.0,106.0,156.0,524.0,554.0,1008.0
Borrowings,,20.0,83.0,149.0,77.0,100.0,54.0
Other Liabilities,,108.0,149.0,130.0,254.0,170.0,223.0
Total Liabilities,,140.0,347.0,446.0,870.0,838.0,1300.0
Fixed Assets,,27.0,215.0,203.0,298.0,295.0,460.0
CWIP,,0.0,0.0,6.0,3.0,0.0,0.0
Investments,,0.0,0.0,0.0,70.0,0.0,136.0
Other Assets,,113.0,132.0,237.0,499.0,543.0,704.0
Total Assets,,140.0,347.0,446.0,870.0,838.0,1300.0
Building,Fixed Assets,0.0,0.0,4.0,0.0,0.0,
Equipments,Fixed Assets,0.0,4.0,0.0,0.0,0.0,
Computers,Fixed Assets,2.0,5.0,7.0,7.0,10.0,
Furniture n fittings,Fixed Assets,0.0,0.0,0.0,0.0,0.0,
Intangible Assets,Fixed Assets,1.0,156.0,156.0,322.0,330.0,448.0
Other fixed assets,Fixed Assets,42.0,92.0,117.0,110.0,113.0,
Gross Block,Fixed Assets,45.0,257.0,283.0,440.0,453.0,
Accumulated Depreciation,Fixed Assets,17.0,41.0,80.0,142.0,158.0,
Long term Borrowings,Borrowings,15.38,25.38,43.21,4.17,1.28,0.0
Short term Borrowings,Borrowings,4.56,53.56,104.27,73.0,98.81,44.72
Lease Liabilities,Borrowings,0.0,3.7,2.0,0.0,0.0,8.88
Trade Payables,Other Liabilities,33.0,66.0,59.0,73.0,51.0,74.0
Advance from Customers,Other Liabilities,-0.0,0.0,-0.0,-0.0,-0.0,
Other liability items,Other Liabilities,75.0,82.0,71.0,181.0,119.0,149.0
Trade receivables,Other Assets,55.0,57.0,80.0,146.0,161.0,181.0
Cash Equivalents,Other Assets,39.0,29.0,46.0,181.0,214.0,359.0
Loans n Advances,Other Assets,3.0,15.0,19.0,11.0,8.0,27.0
Other asset items,Other Assets,16.0,30.0,92.0,162.0,160.0,136.0
