,parent_line_item,Mar 2015,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,18.0,18.0,18.0,18.0
Reserves,,469.0,705.0,1150.0,1349.0
Borrowings,,170.0,27.0,397.0,326.0
Other Liabilities,,371.0,288.0,727.0,790.0
Total Liabilities,,1028.0,1038.0,2291.0,2483.0
Fixed Assets,,288.0,295.0,863.0,962.0
CWIP,,0.0,28.0,29.0,105.0
Investments,,0.0,58.0,20.0,97.0
Other Assets,,740.0,657.0,1379.0,1318.0
Total Assets,,1028.0,1038.0,2291.0,2483.0
Land,Fixed Assets,3.48,11.02,121.86,
Building,Fixed Assets,78.89,107.64,361.25,
Plant Machinery,Fixed Assets,522.69,410.29,991.83,
Equipments,Fixed Assets,8.24,12.28,12.84,
Furniture n fittings,Fixed Assets,4.91,4.32,65.23,
Vehicles,Fixed Assets,2.53,3.96,8.17,
Intangible Assets,Fixed Assets,22.34,0.0,8.6,11.85
Other fixed assets,Fixed Assets,0.0,0.0,6.69,
Gross Block,Fixed Assets,643.08,549.51,1576.47,
Accumulated Depreciation,Fixed Assets,355.4,254.22,713.75,
Long term Borrowings,Borrowings,0.0,10.0,204.0,0.0
Short term Borrowings,Borrowings,170.0,0.0,2.0,87.0
Lease Liabilities,Borrowings,0.0,17.0,191.0,239.0
Trade Payables,Other Liabilities,300.0,228.0,605.0,421.0
Advance from Customers,Other Liabilities,2.0,0.0,0.0,
Other liability items,Other Liabilities,70.0,60.0,122.0,369.0
Inventories,Other Assets,212.0,269.0,769.0,664.0
Trade receivables,Other Assets,265.0,297.0,440.0,429.0
Cash Equivalents,Other Assets,20.0,57.0,100.0,73.0
Loans n Advances,Other Assets,14.0,6.0,9.0,4.0
Other asset items,Other Assets,229.0,28.0,62.0,147.0
