,parent_line_item,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
Reserves,,1186.0,1290.0,1670.0,1869.0,2129.0,2236.0,3144.0,3819.0,4377.0,5083.0,5635.0,6144.0
Borrowings,,393.0,412.0,279.0,248.0,162.0,441.0,38.0,46.0,51.0,55.0,76.0,91.0
Other Liabilities,,753.0,697.0,832.0,793.0,913.0,917.0,1075.0,1106.0,1241.0,1392.0,1432.0,1535.0
Total Liabilities,,2357.0,2425.0,2807.0,2936.0,3229.0,3619.0,4282.0,4996.0,5694.0,6556.0,7168.0,7795.0
Fixed Assets,,1033.0,1185.0,1263.0,1353.0,1521.0,1608.0,1714.0,1767.0,2064.0,2322.0,2669.0,3673.0
CWIP,,100.0,68.0,47.0,75.0,90.0,93.0,51.0,156.0,84.0,149.0,407.0,136.0
Investments,,121.0,126.0,175.0,194.0,222.0,207.0,337.0,476.0,577.0,638.0,720.0,762.0
Other Assets,,1104.0,1046.0,1322.0,1314.0,1396.0,1711.0,2180.0,2597.0,2969.0,3447.0,3372.0,3223.0
Total Assets,,2357.0,2425.0,2807.0,2936.0,3229.0,3619.0,4282.0,4996.0,5694.0,6556.0,7168.0,7795.0
Land,Fixed Assets,56.0,59.0,60.0,69.0,87.0,69.0,76.0,76.0,76.0,115.0,184.0,224.0
Building,Fixed Assets,377.0,486.0,537.0,583.0,629.0,691.0,763.0,819.0,931.0,1001.0,1074.0,1338.0
Plant Machinery,Fixed Assets,1018.0,1150.0,1261.0,1395.0,1549.0,1668.0,1815.0,1958.0,2295.0,2566.0,2958.0,3673.0
Equipments,Fixed Assets,323.0,329.0,377.0,425.0,462.0,491.0,549.0,592.0,658.0,712.0,807.0,1032.0
Furniture n fittings,Fixed Assets,0.0,23.0,26.0,29.0,33.0,36.0,37.0,39.0,42.0,47.0,51.0,57.0
Vehicles,Fixed Assets,8.0,9.0,8.0,8.0,7.0,6.0,5.0,5.0,5.0,4.0,4.0,4.0
Intangible Assets,Fixed Assets,0.0,20.0,20.0,22.0,25.0,26.0,26.0,26.0,29.0,86.0,86.0,119.0
Other fixed assets,Fixed Assets,63.0,9.0,9.0,10.0,17.0,89.0,85.0,136.0,157.0,176.0,228.0,341.0
Gross Block,Fixed Assets,1845.0,2086.0,2298.0,2541.0,2809.0,3076.0,3357.0,3650.0,4193.0,4706.0,5391.0,6788.0
Accumulated Depreciation,Fixed Assets,812.0,901.0,1035.0,1187.0,1288.0,1468.0,1642.0,1883.0,2128.0,2384.0,2722.0,3115.0
Long term Borrowings,Borrowings,233.0,64.0,17.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Short term Borrowings,Borrowings,96.0,164.0,215.0,231.0,161.0,410.0,0.0,0.0,0.0,0.0,0.0,0.0
Lease Liabilities,Borrowings,0.0,0.0,0.0,0.0,0.0,29.0,37.0,46.0,51.0,55.0,76.0,91.0
Other Borrowings,Borrowings,64.0,184.0,47.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trade Payables,Other Liabilities,300.0,344.0,453.0,490.0,557.0,548.0,646.0,794.0,904.0,1016.0,893.0,1027.0
Advance from Customers,Other Liabilities,46.0,46.0,53.0,49.0,44.0,59.0,81.0,44.0,43.0,53.0,50.0,68.0
Other liability items,Other Liabilities,406.0,307.0,326.0,255.0,311.0,310.0,348.0,268.0,294.0,323.0,488.0,440.0
Inventories,Other Assets,465.0,558.0,777.0,697.0,750.0,891.0,761.0,1260.0,1386.0,1359.0,1334.0,1619.0
Trade receivables,Other Assets,238.0,236.0,275.0,382.0,387.0,313.0,390.0,467.0,492.0,511.0,540.0,488.0
Cash Equivalents,Other Assets,182.0,29.0,80.0,36.0,37.0,231.0,768.0,526.0,746.0,1187.0,952.0,658.0
Loans n Advances,Other Assets,6.0,8.0,6.0,41.0,64.0,78.0,56.0,103.0,109.0,78.0,124.0,94.0
Other asset items,Other Assets,213.0,215.0,184.0,158.0,157.0,198.0,205.0,241.0,236.0,312.0,422.0,364.0
