,parent_line_item,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,6.0,6.0,6.0,218.0,286.0
Reserves,,100.0,-189.0,-1253.0,472.0,4234.0
Borrowings,,0.0,956.0,1687.0,1831.0,1052.0
Other Liabilities,,67.0,1307.0,2040.0,1647.0,2104.0
Total Liabilities,,173.0,2080.0,2481.0,4168.0,7677.0
Fixed Assets,,27.0,1121.0,1464.0,1586.0,1833.0
CWIP,,6.0,5.0,0.0,9.0,5.0
Investments,,24.0,205.0,173.0,1401.0,2426.0
Other Assets,,116.0,748.0,844.0,1172.0,3413.0
Total Assets,,173.0,2080.0,2481.0,4168.0,7677.0
Land,Fixed Assets,0.0,22.0,0.0,0.0,
Building,Fixed Assets,0.0,35.0,118.0,1362.0,
Plant Machinery,Fixed Assets,0.0,1.0,13.0,0.0,
Equipments,Fixed Assets,2.0,52.0,113.0,159.0,
Computers,Fixed Assets,10.0,66.0,124.0,135.0,
Furniture n fittings,Fixed Assets,3.0,26.0,71.0,86.0,
Vehicles,Fixed Assets,1.0,3.0,8.0,8.0,
Intangible Assets,Fixed Assets,14.0,408.0,435.0,491.0,460.0
Other fixed assets,Fixed Assets,2.0,584.0,1005.0,126.0,
Gross Block,Fixed Assets,31.0,1198.0,1889.0,2366.0,
Accumulated Depreciation,Fixed Assets,4.0,77.0,425.0,780.0,
Long term Borrowings,Borrowings,0.0,925.0,1649.0,0.0,0.0
Short term Borrowings,Borrowings,0.0,31.0,39.0,0.0,10.0
Lease Liabilities,Borrowings,0.0,0.0,0.0,996.0,1042.0
Preference Capital,Borrowings,0.0,858.0,1615.0,834.0,0.0
Other Borrowings,Borrowings,0.0,-858.0,-1615.0,0.0,
Non controlling int,Other Liabilities,0.0,132.0,74.0,29.0,50.0
Trade Payables,Other Liabilities,2.0,52.0,124.0,187.0,249.0
Advance from Customers,Other Liabilities,0.0,0.0,0.0,834.0,
Other liability items,Other Liabilities,65.0,1122.0,1842.0,597.0,1805.0
Inventories,Other Assets,5.0,23.0,53.0,89.0,102.0
Trade receivables,Other Assets,0.0,13.0,36.0,42.0,82.0
Cash Equivalents,Other Assets,41.0,530.0,79.0,175.0,1126.0
Loans n Advances,Other Assets,0.0,18.0,27.0,47.0,121.0
Other asset items,Other Assets,69.0,165.0,649.0,820.0,1982.0
