,parent_line_item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,0.65,0.74,0.66,11.0,11.0,12.0,12.0,12.0
Reserves,,142.0,137.0,244.0,608.0,699.0,1439.0,1671.0,1994.0
Borrowings,,54.0,144.0,117.0,18.0,18.0,17.0,16.0,949.0
Other Liabilities,,87.0,116.0,78.0,140.0,208.0,255.0,198.0,605.0
Total Liabilities,,285.0,397.0,440.0,777.0,936.0,1722.0,1897.0,3560.0
Fixed Assets,,106.0,216.0,168.0,222.0,396.0,364.0,348.0,2403.0
CWIP,,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
Investments,,41.0,45.0,129.0,165.0,140.0,179.0,319.0,25.0
Other Assets,,138.0,136.0,143.0,390.0,399.0,1177.0,1230.0,1133.0
Total Assets,,285.0,397.0,440.0,777.0,936.0,1722.0,1897.0,3560.0
Building,Fixed Assets,31.0,37.0,16.0,31.0,33.0,34.0,35.0,
Equipments,Fixed Assets,3.0,4.0,4.0,3.0,4.0,4.0,4.0,
Computers,Fixed Assets,57.0,131.0,128.0,150.0,225.0,231.0,240.0,
Furniture n fittings,Fixed Assets,0.0,0.0,0.0,2.0,2.0,2.0,2.0,
Vehicles,Fixed Assets,0.0,0.0,0.0,0.0,0.0,0.0,4.0,
Intangible Assets,Fixed Assets,9.0,93.0,93.0,125.0,230.0,176.0,181.0,2366.0
Other fixed assets,Fixed Assets,34.0,80.0,77.0,95.0,130.0,132.0,136.0,
Gross Block,Fixed Assets,135.0,345.0,319.0,406.0,624.0,579.0,601.0,
Accumulated Depreciation,Fixed Assets,28.0,130.0,151.0,183.0,228.0,214.0,253.0,
Long term Borrowings,Borrowings,24.0,101.0,98.0,0.0,0.0,0.0,0.0,683.0
Short term Borrowings,Borrowings,0.0,0.0,14.0,0.0,0.0,0.0,0.0,239.0
Lease Liabilities,Borrowings,30.0,28.0,5.0,18.0,18.0,17.0,16.0,27.0
Preference Capital,Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Borrowings,Borrowings,0.0,15.0,0.0,0.0,0.0,0.0,0.0,
Trade Payables,Other Liabilities,19.0,39.0,24.0,42.0,82.0,80.0,98.0,238.0
Advance from Customers,Other Liabilities,0.0,0.0,1.0,2.0,2.0,2.0,2.0,
Other liability items,Other Liabilities,68.0,77.0,52.0,96.0,124.0,173.0,98.0,367.0
Trade receivables,Other Assets,63.0,78.0,67.0,101.0,161.0,205.0,212.0,471.0
Cash Equivalents,Other Assets,45.0,24.0,57.0,245.0,201.0,391.0,350.0,173.0
Loans n Advances,Other Assets,11.0,15.0,9.0,10.0,12.0,24.0,18.0,4.0
Other asset items,Other Assets,19.0,20.0,9.0,34.0,24.0,557.0,650.0,484.0
