,parent_line_item,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,5.0,193.0,193.0,193.0,193.0,193.0
Reserves,,-5.0,3883.0,3904.0,4032.0,4215.0,4406.0
Borrowings,,2.0,256.0,140.0,39.0,26.0,29.0
Other Liabilities,,5.0,1794.0,1792.0,1864.0,1902.0,2106.0
Total Liabilities,,7.0,6127.0,6029.0,6128.0,6337.0,6734.0
Fixed Assets,,0.0,5505.0,5481.0,5463.0,5471.0,5512.0
CWIP,,0.0,0.0,2.0,1.0,2.0,7.0
Investments,,0.0,62.0,76.0,55.0,59.0,63.0
Other Assets,,7.0,560.0,470.0,609.0,804.0,1152.0
Total Assets,,7.0,6127.0,6029.0,6128.0,6337.0,6734.0
Land,Fixed Assets,0.0,67.0,68.0,68.0,68.0,68.0
Building,Fixed Assets,0.0,160.0,178.0,182.0,208.0,233.0
Plant Machinery,Fixed Assets,0.0,46.0,53.0,65.0,72.0,100.0
Equipments,Fixed Assets,0.0,2.0,2.0,2.0,4.0,6.0
Computers,Fixed Assets,0.0,7.0,8.0,10.0,16.0,21.0
Furniture n fittings,Fixed Assets,0.0,4.0,5.0,6.0,18.0,27.0
Vehicles,Fixed Assets,0.0,9.0,11.0,10.0,6.0,6.0
Intangible Assets,Fixed Assets,0.0,4970.0,4970.0,4970.0,5215.0,5215.0
Other fixed assets,Fixed Assets,0.0,247.0,247.0,259.0,27.0,57.0
Gross Block,Fixed Assets,1.0,5512.0,5541.0,5571.0,5634.0,5732.0
Accumulated Depreciation,Fixed Assets,1.0,8.0,60.0,108.0,162.0,220.0
Long term Borrowings,Borrowings,0.0,49.56,24.71,0.0,0.0,0.0
Short term Borrowings,Borrowings,1.5,193.24,96.31,24.92,0.0,0.0
Lease Liabilities,Borrowings,0.01,13.44,18.92,13.83,25.55,28.92
Other Borrowings,Borrowings,0.0,0.0,0.0,-0.01,0.0,0.0
Non controlling int,Other Liabilities,0.0,1.0,1.0,1.0,1.0,1.0
Trade Payables,Other Liabilities,5.0,221.0,209.0,194.0,183.0,231.0
Advance from Customers,Other Liabilities,0.0,7.0,13.0,19.0,33.0,13.0
Other liability items,Other Liabilities,1.0,1565.0,1569.0,1650.0,1685.0,1861.0
Inventories,Other Assets,2.0,290.0,220.0,253.0,253.0,379.0
Trade receivables,Other Assets,2.0,150.0,124.0,138.0,180.0,233.0
Cash Equivalents,Other Assets,1.0,19.0,21.0,98.0,252.0,413.0
Loans n Advances,Other Assets,-0.0,-24.0,-24.0,-24.0,32.0,53.0
Other asset items,Other Assets,2.0,125.0,129.0,146.0,88.0,73.0
