,parent_line_item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0
Reserves,,647.0,769.0,884.0,1002.0,1098.0,1132.0,1228.0,1345.0
Borrowings,,107.0,134.0,160.0,268.0,489.0,433.0,350.0,407.0
Other Liabilities,,883.0,1306.0,1228.0,1322.0,1089.0,1154.0,1150.0,1282.0
Total Liabilities,,1825.0,2396.0,2459.0,2779.0,2863.0,2905.0,2915.0,3221.0
Fixed Assets,,425.0,441.0,429.0,938.0,1016.0,1032.0,1074.0,1066.0
CWIP,,175.0,405.0,549.0,132.0,80.0,83.0,25.0,16.0
Investments,,2.0,20.0,21.0,21.0,21.0,22.0,25.0,24.0
Other Assets,,1223.0,1530.0,1461.0,1688.0,1746.0,1769.0,1790.0,2115.0
Total Assets,,1825.0,2396.0,2459.0,2779.0,2863.0,2905.0,2915.0,3221.0
Land,Fixed Assets,22.12,22.12,17.18,17.18,17.18,17.18,17.18,
Building,Fixed Assets,46.37,48.56,51.79,93.53,119.32,133.18,151.15,
Plant Machinery,Fixed Assets,384.03,414.32,429.35,905.84,988.78,1039.73,1118.09,
Equipments,Fixed Assets,9.06,11.01,11.3,12.68,16.8,18.7,19.92,
Furniture n fittings,Fixed Assets,30.47,36.76,37.77,60.09,36.32,42.51,48.69,
Vehicles,Fixed Assets,3.92,4.78,4.8,5.0,6.11,6.17,6.41,
Intangible Assets,Fixed Assets,0.24,0.24,0.24,0.24,1.06,1.06,1.06,2.71
Other fixed assets,Fixed Assets,3.18,3.19,3.49,3.74,42.49,42.71,42.93,
Gross Block,Fixed Assets,499.39,540.98,555.92,1098.3,1228.06,1301.24,1405.43,
Accumulated Depreciation,Fixed Assets,74.44,100.23,127.01,159.82,212.56,269.73,331.39,
Long term Borrowings,Borrowings,1.0,0.0,0.0,28.0,67.0,59.0,39.0,19.0
Short term Borrowings,Borrowings,106.0,133.0,160.0,240.0,320.0,265.0,195.0,265.0
Lease Liabilities,Borrowings,0.0,0.0,0.0,0.0,101.0,108.0,116.0,123.0
Other Borrowings,Borrowings,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,
Trade Payables,Other Liabilities,128.0,129.0,86.0,176.0,146.0,120.0,93.0,114.0
Advance from Customers,Other Liabilities,214.0,359.0,276.0,242.0,162.0,201.0,203.0,
Other liability items,Other Liabilities,540.0,818.0,866.0,905.0,781.0,833.0,854.0,1169.0
Inventories,Other Assets,509.0,910.0,801.0,1091.0,1225.0,1310.0,1281.0,1333.0
Trade receivables,Other Assets,352.0,297.0,386.0,306.0,316.0,323.0,410.0,554.0
Cash Equivalents,Other Assets,198.0,111.0,94.0,63.0,14.0,17.0,51.0,192.0
Loans n Advances,Other Assets,9.0,5.0,4.0,4.0,5.0,7.0,9.0,0.0
Other asset items,Other Assets,155.0,206.0,176.0,224.0,186.0,113.0,39.0,36.0
