,parent_line_item,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,21.0,22.0,22.0,22.0,22.0,25.0,32.0,32.0,40.0,40.0,41.0
Reserves,,954.0,983.0,1048.0,1116.0,1005.0,1116.0,1298.0,1360.0,2493.0,2757.0,2333.0
Borrowings,,432.0,433.0,522.0,575.0,760.0,779.0,710.0,984.0,631.0,948.0,895.0
Other Liabilities,,584.0,540.0,656.0,979.0,1099.0,721.0,624.0,1009.0,1021.0,1092.0,1785.0
Total Liabilities,,1991.0,1978.0,2249.0,2693.0,2887.0,2642.0,2664.0,3385.0,4185.0,4837.0,5054.0
Fixed Assets,,329.0,370.0,372.0,393.0,437.0,406.0,389.0,431.0,460.0,993.0,1023.0
CWIP,,4.0,2.0,5.0,14.0,7.0,4.0,2.0,9.0,22.0,66.0,165.0
Investments,,432.0,390.0,253.0,143.0,101.0,131.0,77.0,104.0,425.0,246.0,373.0
Other Assets,,1226.0,1217.0,1618.0,2144.0,2342.0,2100.0,2195.0,2840.0,3278.0,3532.0,3494.0
Total Assets,,1991.0,1978.0,2249.0,2693.0,2887.0,2642.0,2664.0,3385.0,4185.0,4837.0,5054.0
Land,Fixed Assets,13.0,38.0,40.0,40.0,39.0,39.0,39.0,74.0,76.0,337.0,
Building,Fixed Assets,116.0,129.0,133.0,142.0,113.0,114.0,115.0,132.0,150.0,228.0,
Plant Machinery,Fixed Assets,193.0,207.0,224.0,259.0,327.0,328.0,341.0,360.0,394.0,536.0,
Equipments,Fixed Assets,3.0,4.0,6.0,9.0,10.0,10.0,11.0,10.0,8.0,10.0,
Furniture n fittings,Fixed Assets,10.0,13.0,13.0,14.0,14.0,15.0,14.0,15.0,18.0,23.0,
Railway sidings,Fixed Assets,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,5.0,
Vehicles,Fixed Assets,7.0,7.0,8.0,9.0,10.0,9.0,10.0,10.0,11.0,14.0,
Intangible Assets,Fixed Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,60.0
Other fixed assets,Fixed Assets,3.0,5.0,5.0,5.0,42.0,42.0,42.0,44.0,47.0,71.0,
Gross Block,Fixed Assets,346.0,405.0,431.0,478.0,557.0,560.0,574.0,647.0,709.0,1280.0,
Accumulated Depreciation,Fixed Assets,17.0,35.0,59.0,86.0,120.0,154.0,185.0,216.0,248.0,287.0,
Long term Borrowings,Borrowings,38.0,33.0,33.0,50.0,53.0,53.0,48.0,164.0,242.0,356.0,318.0
Short term Borrowings,Borrowings,387.0,394.0,482.0,524.0,697.0,727.0,662.0,819.0,388.0,569.0,555.0
Lease Liabilities,Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,23.0,22.0
Other Borrowings,Borrowings,7.0,6.0,6.0,1.0,11.0,-0.0,0.0,0.0,0.0,-0.0,
Non controlling int,Other Liabilities,17.0,20.0,0.0,0.0,-0.0,-2.0,-2.0,-2.0,-3.0,33.0,38.0
Trade Payables,Other Liabilities,370.0,298.0,329.0,556.0,554.0,430.0,312.0,569.0,676.0,639.0,603.0
Advance from Customers,Other Liabilities,129.0,145.0,243.0,126.0,102.0,48.0,78.0,240.0,160.0,185.0,
Other liability items,Other Liabilities,68.0,78.0,84.0,296.0,443.0,246.0,236.0,203.0,188.0,235.0,1144.0
Inventories,Other Assets,353.0,232.0,291.0,450.0,537.0,309.0,361.0,676.0,724.0,852.0,868.0
Trade receivables,Other Assets,480.0,548.0,680.0,815.0,644.0,611.0,570.0,785.0,882.0,1367.0,1248.0
Cash Equivalents,Other Assets,67.0,51.0,35.0,47.0,84.0,105.0,173.0,153.0,407.0,211.0,232.0
Loans n Advances,Other Assets,41.0,52.0,58.0,115.0,119.0,107.0,145.0,163.0,123.0,130.0,20.0
Other asset items,Other Assets,284.0,333.0,554.0,717.0,958.0,968.0,946.0,1063.0,1142.0,973.0,1126.0
