,parent_line_item,Mar 2020,Mar 2021
Equity Capital,,14.0,14.0
Reserves,,11.0,30.0
Borrowings,,125.0,142.0
Other Liabilities,,46.0,55.0
Total Liabilities,,195.0,241.0
Fixed Assets,,89.0,83.0
CWIP,,0.0,0.0
Investments,,0.0,0.0
Other Assets,,106.0,158.0
Total Assets,,195.0,241.0
Land,Fixed Assets,6.0,6.0
Building,Fixed Assets,0.0,7.0
Equipments,Fixed Assets,1.0,1.0
Computers,Fixed Assets,0.0,0.0
Furniture n fittings,Fixed Assets,0.0,0.0
Intangible Assets,Fixed Assets,109.0,109.0
Other fixed assets,Fixed Assets,0.0,-0.0
Gross Block,Fixed Assets,116.0,124.0
Accumulated Depreciation,Fixed Assets,27.0,40.0
Long term Borrowings,Borrowings,5.0,3.0
Short term Borrowings,Borrowings,10.0,30.0
Preference Capital,Borrowings,109.0,109.0
Other Borrowings,Borrowings,1.0,1.0
Non controlling int,Other Liabilities,0.01,0.01
Trade Payables,Other Liabilities,29.62,37.32
Advance from Customers,Other Liabilities,6.4,6.79
Other liability items,Other Liabilities,9.92,10.95
Inventories,Other Assets,42.0,73.0
Trade receivables,Other Assets,36.0,45.0
Cash Equivalents,Other Assets,8.0,7.0
Loans n Advances,Other Assets,6.0,4.0
Other asset items,Other Assets,13.0,29.0
