,parent_line_item,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,845.0,845.0,845.0,845.0,845.0,845.0
Reserves,,31468.0,33436.0,12087.0,14350.0,12481.0,21784.0
Borrowings,,7201.0,2844.0,11881.0,8722.0,10967.0,8728.0
Other Liabilities,,6213.0,7545.0,10654.0,9978.0,10197.0,11013.0
Total Liabilities,,45727.0,44670.0,35467.0,33895.0,34490.0,42370.0
Fixed Assets,,16808.0,17396.0,17622.0,18151.0,18608.0,19937.0
CWIP,,1922.0,2075.0,2237.0,1696.0,2606.0,3409.0
Investments,,12957.0,15052.0,10107.0,10452.0,9972.0,14468.0
Other Assets,,14040.0,10147.0,5501.0,3596.0,3304.0,4556.0
Total Assets,,45727.0,44670.0,35467.0,33895.0,34490.0,42370.0
Land,Fixed Assets,331.0,291.0,294.0,516.0,523.0,562.0
Building,Fixed Assets,2086.0,2130.0,2250.0,2399.0,2558.0,2822.0
Plant Machinery,Fixed Assets,20146.0,21191.0,22260.0,23876.0,25617.0,28025.0
Equipments,Fixed Assets,363.0,393.0,402.0,438.0,410.0,419.0
Furniture n fittings,Fixed Assets,36.0,36.0,36.0,37.0,35.0,36.0
Railway sidings,Fixed Assets,94.0,94.0,94.0,94.0,94.0,102.0
Vehicles,Fixed Assets,42.0,53.0,52.0,54.0,66.0,61.0
Other fixed assets,Fixed Assets,9208.0,11190.0,12801.0,14574.0,16516.0,18474.0
Gross Block,Fixed Assets,32306.0,35378.0,38189.0,41988.0,45819.0,50501.0
Accumulated Depreciation,Fixed Assets,15498.0,17982.0,20567.0,23837.0,27211.0,30564.0
Long term Borrowings,Borrowings,4312.0,2111.0,1500.0,4246.0,5990.0,4614.0
Short term Borrowings,Borrowings,2865.0,712.0,10341.0,4210.0,4661.0,3638.0
Lease Liabilities,Borrowings,24.0,21.0,40.0,266.0,316.0,476.0
Trade Payables,Other Liabilities,1545.0,2318.0,2395.0,2505.0,2773.0,3178.0
Advance from Customers,Other Liabilities,1219.0,252.0,461.0,1538.0,1155.0,536.0
Other liability items,Other Liabilities,3449.0,4975.0,7798.0,5935.0,6269.0,7299.0
Inventories,Other Assets,1425.0,1953.0,1862.0,1926.0,1889.0,2054.0
Trade receivables,Other Assets,406.0,716.0,380.0,155.0,117.0,399.0
Cash Equivalents,Other Assets,9376.0,5763.0,1412.0,175.0,177.0,319.0
Loans n Advances,Other Assets,119.0,140.0,923.0,97.0,113.0,130.0
Other asset items,Other Assets,2714.0,1575.0,924.0,1243.0,1008.0,1654.0
