,parent_line_item,Nov 2006,Nov 2007,Nov 2008
Equity Capital,,30.0,30.0,30.0
Reserves,,376.0,620.0,871.0
Borrowings,,0.0,0.0,0.0
Other Liabilities,,240.0,218.0,197.0
Total Liabilities,,646.0,867.0,1098.0
Fixed Assets,,65.0,60.0,51.0
CWIP,,2.0,10.0,32.0
Investments,,0.0,0.0,0.0
Other Assets,,579.0,797.0,1014.0
Total Assets,,646.0,867.0,1098.0
Land,Fixed Assets,0.0,0.0,0.0
Building,Fixed Assets,36.0,37.0,36.0
Plant Machinery,Fixed Assets,56.0,55.0,55.0
Equipments,Fixed Assets,44.0,42.0,42.0
Vehicles,Fixed Assets,10.0,7.0,6.0
Intangible Assets,Fixed Assets,0.0,0.0,0.0
Gross Block,Fixed Assets,147.0,142.0,140.0
Accumulated Depreciation,Fixed Assets,82.0,81.0,89.0
Trade Payables,Other Liabilities,129.0,92.0,108.0
Other liability items,Other Liabilities,111.0,125.0,88.0
Inventories,Other Assets,99.0,96.0,125.0
Trade receivables,Other Assets,69.0,62.0,60.0
Cash Equivalents,Other Assets,307.0,480.0,544.0
Loans n Advances,Other Assets,-2.0,-3.0,-3.0
Other asset items,Other Assets,105.0,162.0,288.0
