,parent_line_item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,16.0,16.0,16.0,16.0,19.0,19.0,23.0,23.0,23.0
Reserves,,181.0,825.0,1065.0,646.0,898.0,-244.0,946.0,984.0,626.0
Borrowings,,184.0,2228.0,1234.0,479.0,446.0,2030.0,516.0,936.0,1191.0
Other Liabilities,,4540.0,2323.0,2719.0,2568.0,2137.0,1386.0,2816.0,3687.0,3476.0
Total Liabilities,,4920.0,5392.0,5034.0,3709.0,3500.0,3190.0,4301.0,5630.0,5317.0
Fixed Assets,,21.0,31.0,45.0,46.0,42.0,44.0,56.0,46.0,41.0
CWIP,,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,,4896.0,5360.0,4985.0,3663.0,3457.0,3146.0,4244.0,5584.0,5276.0
Total Assets,,4920.0,5392.0,5034.0,3709.0,3500.0,3190.0,4301.0,5630.0,5317.0
Land,Fixed Assets,0.0,0.0,15.0,17.0,16.0,23.0,0.0,0.0,0.0
Building,Fixed Assets,0.0,4.0,6.0,6.0,6.0,10.0,63.0,52.0,49.0
Plant Machinery,Fixed Assets,20.0,30.0,34.0,40.0,42.0,46.0,45.0,39.0,25.0
Computers,Fixed Assets,3.0,5.0,7.0,8.0,9.0,11.0,11.0,11.0,14.0
Furniture n fittings,Fixed Assets,2.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0
Vehicles,Fixed Assets,0.0,5.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0
Intangible Assets,Fixed Assets,0.0,3.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0
Other fixed assets,Fixed Assets,2.0,3.0,4.0,11.0,11.0,10.0,10.0,10.0,11.0
Gross Block,Fixed Assets,27.0,51.0,73.0,86.0,88.0,105.0,132.0,114.0,101.0
Accumulated Depreciation,Fixed Assets,6.0,19.0,28.0,39.0,46.0,61.0,76.0,68.0,60.0
Long term Borrowings,Borrowings,,0.0,0.0,0.0,0.0,700.0,246.0,524.0,497.0
Short term Borrowings,Borrowings,,2228.0,1224.0,468.0,435.0,1315.0,230.0,378.0,666.0
Lease Liabilities,Borrowings,,0.0,10.0,11.0,11.0,15.0,39.0,35.0,28.0
Other Borrowings,Borrowings,184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Non controlling int,Other Liabilities,-3.0,-3.0,-8.0,-4.0,-11.0,-15.0,-14.0,-13.0,1.0
Trade Payables,Other Liabilities,3740.0,1913.0,2221.0,1857.0,1403.0,650.0,1508.0,2750.0,2502.0
Advance from Customers,Other Liabilities,693.0,231.0,242.0,325.0,425.0,589.0,1125.0,699.0,524.0
Other liability items,Other Liabilities,109.0,183.0,265.0,391.0,320.0,162.0,197.0,250.0,449.0
Inventories,Other Assets,19.0,13.0,15.0,3.0,4.0,2.0,1.0,3.0,2.0
Trade receivables,Other Assets,1821.0,1900.0,2030.0,849.0,784.0,790.0,832.0,1254.0,1799.0
Cash Equivalents,Other Assets,104.0,455.0,499.0,291.0,504.0,95.0,339.0,711.0,534.0
Loans n Advances,Other Assets,513.0,139.0,183.0,255.0,173.0,126.0,147.0,437.0,162.0
Other asset items,Other Assets,2439.0,2854.0,2258.0,2265.0,1993.0,2133.0,2925.0,3180.0,2779.0
