,parent_line_item,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,20.0,20.0,20.0,44.0,49.0
Reserves,,6.0,27.0,150.0,889.0,1862.0
Borrowings,,324.0,309.0,429.0,124.0,131.0
Other Liabilities,,21.0,85.0,138.0,162.0,309.0
Total Liabilities,,370.0,441.0,736.0,1219.0,2351.0
Fixed Assets,,2.0,2.0,4.0,5.0,4.0
CWIP,,0.0,0.0,0.0,0.0,0.0
Investments,,0.0,0.0,0.0,0.0,0.0
Other Assets,,368.0,438.0,732.0,1213.0,2347.0
Total Assets,,370.0,441.0,736.0,1219.0,2351.0
Equipments,Fixed Assets,1.16,1.16,0.0,0.0,
Computers,Fixed Assets,0.14,0.19,0.12,0.55,
Furniture n fittings,Fixed Assets,0.07,0.07,0.0,0.0,
Vehicles,Fixed Assets,1.51,2.17,2.21,3.0,
Intangible Assets,Fixed Assets,0.06,0.16,2.67,1.8,2.06
Other fixed assets,Fixed Assets,0.05,0.05,1.95,3.77,
Gross Block,Fixed Assets,2.99,3.8,6.95,9.12,
Accumulated Depreciation,Fixed Assets,1.03,1.5,2.47,3.95,
Long term Borrowings,Borrowings,324.0,308.0,32.0,25.0,27.0
Short term Borrowings,Borrowings,0.0,0.0,397.0,97.0,104.0
Lease Liabilities,Borrowings,0.0,0.0,1.0,2.0,1.0
Preference Capital,Borrowings,0.0,0.0,2.0,2.0,0.0
Other Borrowings,Borrowings,0.0,0.0,-2.0,-2.0,
Non controlling int,Other Liabilities,-0.0,-1.0,1.0,1.0,8.0
Trade Payables,Other Liabilities,4.0,10.0,14.0,12.0,38.0
Advance from Customers,Other Liabilities,4.0,1.0,1.0,4.0,
Other liability items,Other Liabilities,13.0,75.0,122.0,145.0,263.0
Inventories,Other Assets,212.0,216.0,479.0,526.0,824.0
Trade receivables,Other Assets,10.0,10.0,43.0,205.0,329.0
Cash Equivalents,Other Assets,18.0,67.0,124.0,381.0,849.0
Loans n Advances,Other Assets,6.0,12.0,48.0,44.0,34.0
Other asset items,Other Assets,123.0,134.0,37.0,58.0,312.0
