,parent_line_item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,39.0,47.0,51.0,51.0,51.0,55.0,105.0,105.0,105.0
Reserves,,1490.0,476.0,843.0,926.0,999.0,1472.0,3473.0,4013.0,4328.0
Deposits,,0.0,4199.0,9652.0,12386.0,13540.0,16334.0,22571.0,29120.0,35784.0
Borrowing,,7662.0,4236.0,3049.0,4965.0,4660.0,6547.0,5211.0,3867.0,5497.0
Other Liabilities,,558.0,487.0,550.0,763.0,938.0,1235.0,1350.0,1359.0,1733.0
Total Liabilities,,9749.0,9446.0,14145.0,19091.0,20189.0,25644.0,32710.0,38464.0,47448.0
Fixed Assets,,385.0,332.0,259.0,211.0,170.0,123.0,139.0,150.0,199.0
CWIP,,0.0,2.0,1.0,1.0,1.0,5.0,3.0,3.0,0.0
Investments,,1997.0,1468.0,2650.0,4698.0,5065.0,5221.0,6738.0,5945.0,9812.0
Other Assets,,7367.0,7644.0,11234.0,14181.0,14952.0,20295.0,25831.0,32366.0,37437.0
Total Assets,,9749.0,9446.0,14145.0,19091.0,20189.0,25644.0,32710.0,38464.0,47448.0
Other fixed assets,Fixed Assets,,603.24,617.38,644.03,668.62,633.86,688.05,722.81,
Gross Block,Fixed Assets,,603.24,617.38,644.03,668.62,633.86,688.05,722.81,
Accumulated Depreciation,Fixed Assets,,271.22,357.96,433.22,498.15,511.25,549.41,572.84,
Trade Payables,Other Liabilities,0.0,36.0,61.0,214.0,426.0,496.0,383.0,511.0,0.0
Other liability items,Other Liabilities,558.0,452.0,490.0,549.0,512.0,739.0,967.0,848.0,1733.0
Cash Equivalents,Other Assets,198.0,1051.0,376.0,401.0,522.0,961.0,965.0,2749.0,2492.0
Loans n Advances,Other Assets,6028.0,50.0,62.0,58.0,61.0,70.0,88.0,105.0,33828.0
Other asset items,Other Assets,1141.0,6544.0,10796.0,13722.0,14369.0,19263.0,24777.0,29512.0,1117.0
