,parent_line_item,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,595.0,598.0,600.0,603.0,694.0,773.0,775.0,776.0,778.0,779.0,779.0
Reserves,,17102.0,20049.0,23243.0,26085.0,34054.0,42727.0,47252.0,54229.0,62429.0,64057.0,64809.0
Deposits,,93000.0,127572.0,151639.0,194868.0,202027.0,255870.0,293349.0,336120.0,384586.0,410862.0,399931.0
Borrowing,,24996.0,21454.0,38289.0,47321.0,60754.0,51323.0,47323.0,49011.0,47611.0,53704.0,42789.0
Other Liabilities,,7205.0,8976.0,7856.0,8944.0,9700.0,12210.0,13268.0,17701.0,19689.0,24706.0,35086.0
Total Liabilities,,142898.0,178650.0,221628.0,277821.0,307229.0,362903.0,401967.0,457837.0,515094.0,554107.0,543394.0
Fixed Assets,,1218.0,1307.0,1313.0,1688.0,1792.0,1801.0,1834.0,1944.0,2127.0,2309.0,2546.0
CWIP,,37.0,28.0,25.0,22.0,79.0,75.0,95.0,135.0,197.0,188.0,0.0
Investments,,34056.0,36704.0,50078.0,59268.0,59938.0,69653.0,70930.0,83076.0,106486.0,114457.0,125007.0
Other Assets,,107587.0,140611.0,170211.0,216843.0,245419.0,291374.0,329109.0,372682.0,406283.0,437154.0,415841.0
Total Assets,,142898.0,178650.0,221628.0,277821.0,307229.0,362903.0,401967.0,457837.0,515094.0,554107.0,543394.0
Building,Fixed Assets,590.02,586.59,575.64,874.16,874.16,869.98,869.98,869.98,872.05,872.05,
Other fixed assets,Fixed Assets,1465.63,1735.37,1945.1,2222.34,2602.58,2908.47,3242.46,3652.75,4151.76,4746.74,
Gross Block,Fixed Assets,2055.65,2321.96,2520.74,3096.5,3476.74,3778.45,4112.44,4522.73,5023.81,5618.79,
Accumulated Depreciation,Fixed Assets,837.8,1015.16,1207.43,1408.44,1684.7,1977.94,2278.21,2579.23,2896.74,3310.05,
Trade Payables,Other Liabilities,520.0,600.0,668.0,574.0,477.0,662.0,844.0,1145.0,1394.0,1340.0,0.0
Other liability items,Other Liabilities,6685.0,8376.0,7189.0,8371.0,9223.0,11548.0,12424.0,16556.0,18295.0,23366.0,35086.0
Cash Equivalents,Other Assets,3782.0,6613.0,9893.0,8997.0,12274.0,16522.0,14371.0,41736.0,17334.0,49711.0,29946.0
Loans n Advances,Other Assets,457.0,687.0,819.0,1241.0,1575.0,874.0,1264.0,240.0,844.0,2428.0,315871.0
Other asset items,Other Assets,103349.0,133311.0,159498.0,206605.0,231570.0,273978.0,313473.0,330707.0,388106.0,385015.0,70024.0
