,parent_line_item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,125.0,125.0,125.0,126.0,127.0,127.0,129.0,129.0,129.0
Reserves,,664.0,972.0,1343.0,1806.0,2326.0,2533.0,2871.0,3261.0,2838.0
Borrowings,,649.0,649.0,350.0,518.0,1686.0,1005.0,683.0,479.0,199.0
Other Liabilities,,987.0,923.0,934.0,1148.0,2310.0,1989.0,2399.0,2461.0,2917.0
Total Liabilities,,2425.0,2670.0,2752.0,3597.0,6449.0,5654.0,6082.0,6330.0,6083.0
Fixed Assets,,862.0,863.0,909.0,915.0,3273.0,3250.0,3197.0,3295.0,2578.0
CWIP,,1.0,1.0,20.0,11.0,13.0,27.0,58.0,34.0,9.0
Investments,,368.0,541.0,541.0,770.0,624.0,548.0,689.0,721.0,971.0
Other Assets,,1195.0,1264.0,1282.0,1902.0,2538.0,1830.0,2137.0,2279.0,2525.0
Total Assets,,2425.0,2670.0,2752.0,3597.0,6449.0,5654.0,6082.0,6330.0,6083.0
Land,Fixed Assets,7.0,7.0,7.0,7.0,181.0,182.0,182.0,182.0,
Building,Fixed Assets,30.0,30.0,35.0,46.0,100.0,104.0,104.0,129.0,
Plant Machinery,Fixed Assets,44.0,54.0,66.0,82.0,150.0,174.0,187.0,202.0,
Equipments,Fixed Assets,7.0,8.0,11.0,15.0,21.0,27.0,32.0,47.0,
Furniture n fittings,Fixed Assets,5.0,5.0,5.0,5.0,14.0,15.0,16.0,17.0,
Vehicles,Fixed Assets,3.0,4.0,4.0,4.0,11.0,9.0,16.0,19.0,
Intangible Assets,Fixed Assets,782.0,782.0,782.0,782.0,2484.0,2483.0,2483.0,2483.0,1956.0
Other fixed assets,Fixed Assets,8.0,8.0,60.0,65.0,428.0,472.0,498.0,628.0,
Gross Block,Fixed Assets,885.0,899.0,971.0,1006.0,3389.0,3466.0,3518.0,3706.0,
Accumulated Depreciation,Fixed Assets,23.0,36.0,62.0,91.0,116.0,216.0,322.0,411.0,
Long term Borrowings,Borrowings,649.0,349.0,180.0,299.0,5.0,597.0,299.0,0.0,0.0
Short term Borrowings,Borrowings,0.0,0.0,0.0,0.0,1603.0,325.0,300.0,300.0,0.0
Lease Liabilities,Borrowings,0.0,0.0,0.0,39.0,78.0,83.0,84.0,179.0,199.0
Other Borrowings,Borrowings,0.0,300.0,170.0,180.0,0.0,0.0,0.0,0.0,
Non controlling int,Other Liabilities,0.0,0.0,0.0,0.0,782.0,448.0,449.0,458.0,469.0
Trade Payables,Other Liabilities,768.0,665.0,644.0,820.0,1010.0,1035.0,1314.0,1395.0,1850.0
Advance from Customers,Other Liabilities,10.0,9.0,8.0,6.0,10.0,7.0,10.0,10.0,
Other liability items,Other Liabilities,209.0,249.0,282.0,322.0,508.0,499.0,625.0,598.0,598.0
Inventories,Other Assets,303.0,352.0,464.0,519.0,721.0,744.0,830.0,882.0,744.0
Trade receivables,Other Assets,554.0,566.0,463.0,461.0,594.0,671.0,721.0,691.0,1085.0
Cash Equivalents,Other Assets,177.0,143.0,48.0,604.0,915.0,109.0,261.0,353.0,184.0
Loans n Advances,Other Assets,12.0,38.0,109.0,74.0,73.0,79.0,81.0,56.0,37.0
Other asset items,Other Assets,149.0,165.0,198.0,245.0,235.0,227.0,245.0,297.0,474.0
