,parent_line_item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,114.0,114.0,114.0,130.0,130.0,130.0,130.0,129.0
Reserves,,1997.0,2456.0,3185.0,7476.0,8036.0,8186.0,9294.0,10311.0
Borrowings,,1829.0,2300.0,3051.0,2701.0,2396.0,2628.0,1937.0,1109.0
Other Liabilities,,7662.0,6915.0,6978.0,11010.0,10417.0,8833.0,11051.0,13186.0
Total Liabilities,,11603.0,11786.0,13328.0,21317.0,20979.0,19777.0,22412.0,24736.0
Fixed Assets,,3027.0,3758.0,3702.0,4601.0,4793.0,4921.0,5481.0,7143.0
CWIP,,570.0,325.0,531.0,275.0,324.0,879.0,1060.0,443.0
Investments,,147.0,206.0,332.0,362.0,392.0,312.0,624.0,1082.0
Other Assets,,7858.0,7497.0,8763.0,16079.0,15469.0,13665.0,15248.0,16069.0
Total Assets,,11603.0,11786.0,13328.0,21317.0,20979.0,19777.0,22412.0,24736.0
Land,Fixed Assets,354.0,396.0,408.0,491.0,523.0,533.0,574.0,689.0
Building,Fixed Assets,171.0,206.0,978.0,1179.0,1252.0,1358.0,1557.0,1965.0
Plant Machinery,Fixed Assets,2352.0,2922.0,2997.0,4052.0,4271.0,4573.0,5191.0,6190.0
Equipments,Fixed Assets,512.0,732.0,33.0,59.0,64.0,75.0,77.0,90.0
Computers,Fixed Assets,16.0,17.0,25.0,32.0,38.0,41.0,34.0,43.0
Furniture n fittings,Fixed Assets,148.0,246.0,270.0,20.0,23.0,25.0,27.0,31.0
Vehicles,Fixed Assets,4.0,5.0,6.0,20.0,19.0,18.0,10.0,13.0
Intangible Assets,Fixed Assets,0.0,0.0,0.0,57.0,176.0,175.0,180.0,681.0
Other fixed assets,Fixed Assets,33.0,38.0,37.0,39.0,39.0,41.0,56.0,60.0
Gross Block,Fixed Assets,3590.0,4561.0,4753.0,5949.0,6405.0,6839.0,7705.0,9763.0
Accumulated Depreciation,Fixed Assets,563.0,803.0,1051.0,1348.0,1612.0,1919.0,2224.0,2620.0
Long term Borrowings,Borrowings,965.0,1146.0,1024.0,45.0,0.0,0.0,186.0,392.0
Short term Borrowings,Borrowings,776.0,1015.0,1926.0,2523.0,2226.0,2415.0,1526.0,426.0
Lease Liabilities,Borrowings,0.0,0.0,101.0,133.0,171.0,212.0,225.0,291.0
Other Borrowings,Borrowings,89.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0
Non controlling int,Other Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Trade Payables,Other Liabilities,6650.0,5697.0,5193.0,9191.0,8538.0,6958.0,8688.0,10282.0
Advance from Customers,Other Liabilities,36.0,78.0,58.0,93.0,86.0,69.0,140.0,255.0
Other liability items,Other Liabilities,976.0,1140.0,1727.0,1725.0,1792.0,1805.0,2223.0,2646.0
Inventories,Other Assets,4042.0,3826.0,4778.0,7717.0,7681.0,7204.0,8641.0,8191.0
Trade receivables,Other Assets,1258.0,921.0,1515.0,2219.0,1931.0,1783.0,2416.0,2624.0
Cash Equivalents,Other Assets,1215.0,1432.0,1188.0,4494.0,3724.0,2810.0,1023.0,1719.0
Loans n Advances,Other Assets,365.0,102.0,179.0,145.0,96.0,155.0,104.0,105.0
Other asset items,Other Assets,978.0,1215.0,1102.0,1505.0,2037.0,1714.0,3065.0,3430.0
