,parent_line_item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,6.0,9.0,28.0,29.0,29.0,30.0,30.0,30.0
Reserves,,-94.0,220.0,518.0,637.0,810.0,1450.0,1545.0,1659.0
Borrowings,,144.0,150.0,193.0,250.0,534.0,512.0,1244.0,1494.0
Other Liabilities,,358.0,129.0,176.0,205.0,256.0,242.0,505.0,402.0
Total Liabilities,,414.0,508.0,915.0,1120.0,1628.0,2235.0,3323.0,3586.0
Fixed Assets,,61.0,38.0,128.0,158.0,432.0,413.0,1211.0,1172.0
CWIP,,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0
Investments,,98.0,83.0,391.0,472.0,13.0,0.0,350.0,504.0
Other Assets,,254.0,387.0,395.0,491.0,1181.0,1822.0,1761.0,1909.0
Total Assets,,414.0,508.0,915.0,1120.0,1628.0,2235.0,3323.0,3586.0
Land,Fixed Assets,0.0,0.0,0.0,0.0,44.0,44.0,44.0,44.0
Building,Fixed Assets,36.0,24.0,14.0,39.0,126.0,142.0,152.0,147.0
Equipments,Fixed Assets,1.0,1.0,1.0,1.0,4.0,7.0,8.0,8.0
Computers,Fixed Assets,9.0,11.0,16.0,27.0,37.0,54.0,68.0,70.0
Furniture n fittings,Fixed Assets,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0
Vehicles,Fixed Assets,1.0,0.0,0.0,0.0,2.0,3.0,9.0,9.0
Intangible Assets,Fixed Assets,30.0,30.0,96.0,99.0,159.0,159.0,791.0,806.0
Other fixed assets,Fixed Assets,9.0,6.0,30.0,31.0,116.0,115.0,312.0,317.0
Gross Block,Fixed Assets,87.0,73.0,158.0,197.0,488.0,526.0,1386.0,1403.0
Accumulated Depreciation,Fixed Assets,26.0,35.0,29.0,40.0,57.0,113.0,175.0,231.0
Long term Borrowings,Borrowings,0.0,1.0,37.0,17.0,113.0,104.0,335.0,343.0
Short term Borrowings,Borrowings,0.0,69.0,110.0,173.0,355.0,338.0,826.0,1070.0
Lease Liabilities,Borrowings,0.0,35.0,26.0,59.0,66.0,70.0,83.0,74.0
Preference Capital,Borrowings,22.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Borrowings,Borrowings,121.0,8.0,20.0,0.0,0.0,0.0,0.0,8.0
Trade Payables,Other Liabilities,29.0,34.0,41.0,61.0,71.0,79.0,105.0,97.0
Other liability items,Other Liabilities,329.0,95.0,135.0,144.0,185.0,163.0,400.0,306.0
Trade receivables,Other Assets,129.0,115.0,122.0,167.0,213.0,254.0,358.0,390.0
Cash Equivalents,Other Assets,26.0,190.0,145.0,168.0,692.0,1337.0,1058.0,913.0
Loans n Advances,Other Assets,2.0,4.0,9.0,12.0,21.0,28.0,34.0,39.0
Other asset items,Other Assets,96.0,79.0,119.0,143.0,255.0,203.0,311.0,567.0
