,parent_line_item,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,0.25,0.25,45.0,45.0,45.0,45.0
Reserves,,-0.0,1386.0,1513.0,1712.0,1945.0,2079.0
Borrowings,,0.0,341.0,215.0,285.0,413.0,754.0
Other Liabilities,,0.0,312.0,470.0,540.0,503.0,603.0
Total Liabilities,,0.0,2040.0,2244.0,2582.0,2906.0,3482.0
Fixed Assets,,0.0,782.0,926.0,1033.0,1137.0,1525.0
CWIP,,0.0,187.0,102.0,137.0,374.0,305.0
Investments,,0.0,32.0,87.0,107.0,77.0,194.0
Other Assets,,0.0,1038.0,1130.0,1305.0,1319.0,1457.0
Total Assets,,0.0,2040.0,2244.0,2582.0,2906.0,3482.0
Land,Fixed Assets,0.0,64.0,67.0,78.0,84.0,
Building,Fixed Assets,0.0,127.0,164.0,195.0,213.0,
Plant Machinery,Fixed Assets,0.0,973.0,1138.0,1252.0,1390.0,
Equipments,Fixed Assets,0.0,2.0,2.0,2.0,2.0,
Computers,Fixed Assets,0.0,6.0,6.0,7.0,9.0,
Furniture n fittings,Fixed Assets,0.0,7.0,7.0,8.0,10.0,
Vehicles,Fixed Assets,0.0,6.0,7.0,9.0,11.0,
Intangible Assets,Fixed Assets,0.0,2.0,2.0,19.0,38.0,124.0
Other fixed assets,Fixed Assets,0.0,38.0,38.0,38.0,38.0,
Gross Block,Fixed Assets,0.0,1225.0,1431.0,1609.0,1796.0,
Accumulated Depreciation,Fixed Assets,0.0,443.0,505.0,576.0,659.0,
Long term Borrowings,Borrowings,0.0,1.0,0.0,0.0,104.0,186.0
Short term Borrowings,Borrowings,0.0,338.0,214.0,264.0,293.0,500.0
Lease Liabilities,Borrowings,0.0,3.0,1.0,21.0,17.0,69.0
Other Borrowings,Borrowings,0.0,0.0,0.0,0.0,-0.0,
Trade Payables,Other Liabilities,0.0,215.0,340.0,378.0,278.0,335.0
Advance from Customers,Other Liabilities,0.0,0.0,10.0,6.0,14.0,
Other liability items,Other Liabilities,0.0,97.0,121.0,156.0,212.0,268.0
Inventories,Other Assets,0.0,475.0,602.0,643.0,588.0,640.0
Trade receivables,Other Assets,0.0,377.0,450.0,519.0,575.0,583.0
Cash Equivalents,Other Assets,0.0,83.0,12.0,24.0,9.0,10.0
Loans n Advances,Other Assets,0.0,10.0,7.0,17.0,22.0,44.0
Other asset items,Other Assets,0.0,92.0,59.0,101.0,125.0,180.0
