,parent_line_item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,51.0,51.0,51.0,57.0,66.0,66.0,66.0
Reserves,,186.0,188.0,243.0,309.0,1103.0,1291.0,1479.0
Borrowings,,272.0,426.0,495.0,469.0,0.0,393.0,584.0
Other Liabilities,,94.0,124.0,120.0,151.0,112.0,168.0,235.0
Total Liabilities,,603.0,789.0,909.0,986.0,1281.0,1917.0,2363.0
Fixed Assets,,435.0,630.0,684.0,720.0,718.0,978.0,1384.0
CWIP,,10.0,26.0,27.0,29.0,74.0,185.0,129.0
Investments,,2.0,7.0,3.0,2.0,17.0,507.0,486.0
Other Assets,,156.0,126.0,195.0,235.0,473.0,247.0,364.0
Total Assets,,603.0,789.0,909.0,986.0,1281.0,1917.0,2363.0
Land,Fixed Assets,36.0,45.0,97.0,97.0,98.0,257.0,281.0
Building,Fixed Assets,214.0,329.0,333.0,350.0,351.0,414.0,640.0
Plant Machinery,Fixed Assets,63.0,100.0,101.0,107.0,115.0,114.0,200.0
Equipments,Fixed Assets,198.0,252.0,274.0,312.0,337.0,367.0,481.0
Computers,Fixed Assets,5.0,7.0,8.0,9.0,11.0,12.0,17.0
Furniture n fittings,Fixed Assets,55.0,65.0,71.0,80.0,85.0,113.0,144.0
Vehicles,Fixed Assets,3.0,3.0,2.0,4.0,5.0,7.0,7.0
Other fixed assets,Fixed Assets,1.0,1.0,5.0,5.0,4.0,6.0,11.0
Gross Block,Fixed Assets,576.0,802.0,891.0,965.0,1005.0,1290.0,1781.0
Accumulated Depreciation,Fixed Assets,141.0,172.0,207.0,245.0,288.0,312.0,397.0
Long term Borrowings,Borrowings,244.0,421.0,465.0,453.0,0.0,322.0,501.0
Short term Borrowings,Borrowings,28.0,4.0,31.0,16.0,0.0,4.0,8.0
Lease Liabilities,Borrowings,0.0,0.0,0.0,0.0,0.0,67.0,76.0
Other Borrowings,Borrowings,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
Non controlling int,Other Liabilities,0.0,7.0,-5.0,-2.0,-0.0,0.0,0.0
Trade Payables,Other Liabilities,59.0,59.0,61.0,71.0,62.0,69.0,96.0
Advance from Customers,Other Liabilities,0.0,5.0,6.0,8.0,10.0,15.0,20.0
Other liability items,Other Liabilities,36.0,54.0,58.0,74.0,40.0,83.0,120.0
Inventories,Other Assets,14.0,13.0,15.0,19.0,21.0,26.0,38.0
Trade receivables,Other Assets,45.0,22.0,28.0,46.0,57.0,43.0,76.0
Cash Equivalents,Other Assets,7.0,19.0,103.0,134.0,301.0,95.0,58.0
Loans n Advances,Other Assets,28.0,33.0,22.0,7.0,7.0,17.0,20.0
Other asset items,Other Assets,62.0,38.0,27.0,29.0,86.0,65.0,173.0
