,parent_line_item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,0.1,0.1,4.0,4.0,43.0,44.0,44.0
Reserves,,-16.0,-32.0,-62.0,-73.0,1595.0,1681.0,1645.0
Borrowings,,603.0,720.0,974.0,1101.0,338.0,385.0,677.0
Other Liabilities,,162.0,147.0,210.0,275.0,369.0,593.0,1234.0
Total Liabilities,,749.0,836.0,1125.0,1308.0,2345.0,2703.0,3600.0
Fixed Assets,,186.0,189.0,262.0,268.0,289.0,559.0,958.0
CWIP,,2.0,2.0,1.0,0.0,0.0,0.0,2.0
Investments,,0.0,0.0,0.0,0.0,0.0,58.0,130.0
Other Assets,,560.0,645.0,863.0,1040.0,2056.0,2085.0,2510.0
Total Assets,,749.0,836.0,1125.0,1308.0,2345.0,2703.0,3600.0
Land,Fixed Assets,0.0,0.0,0.0,0.0,0.0,5.0,5.0
Building,Fixed Assets,13.0,14.0,15.0,15.0,16.0,20.0,22.0
Plant Machinery,Fixed Assets,5.0,6.0,10.0,10.0,11.0,16.0,57.0
Equipments,Fixed Assets,4.0,5.0,5.0,7.0,7.0,10.0,13.0
Computers,Fixed Assets,3.0,4.0,6.0,7.0,8.0,10.0,13.0
Furniture n fittings,Fixed Assets,20.0,22.0,26.0,29.0,30.0,35.0,46.0
Vehicles,Fixed Assets,2.0,2.0,2.0,3.0,4.0,7.0,11.0
Intangible Assets,Fixed Assets,89.0,89.0,150.0,167.0,193.0,424.0,749.0
Other fixed assets,Fixed Assets,65.0,77.0,97.0,102.0,115.0,159.0,214.0
Gross Block,Fixed Assets,200.0,218.0,311.0,339.0,383.0,686.0,1129.0
Accumulated Depreciation,Fixed Assets,14.0,30.0,49.0,71.0,94.0,127.0,171.0
Long term Borrowings,Borrowings,0.0,0.0,37.0,31.0,46.0,0.0,123.0
Short term Borrowings,Borrowings,106.0,142.0,248.0,342.0,230.0,299.0,444.0
Lease Liabilities,Borrowings,58.0,61.0,70.0,63.0,62.0,86.0,110.0
Preference Capital,Borrowings,439.0,517.0,619.0,664.0,0.0,0.0,0.0
Other Borrowings,Borrowings,0.0,0.0,-0.0,1.0,0.0,0.0,0.0
Non controlling int,Other Liabilities,2.0,2.0,2.0,3.0,3.0,46.0,64.0
Trade Payables,Other Liabilities,107.0,98.0,140.0,210.0,230.0,397.0,725.0
Advance from Customers,Other Liabilities,3.0,4.0,0.0,2.0,0.0,0.0,0.0
Other liability items,Other Liabilities,50.0,43.0,68.0,60.0,136.0,150.0,445.0
Inventories,Other Assets,195.0,244.0,310.0,342.0,421.0,660.0,842.0
Trade receivables,Other Assets,232.0,243.0,375.0,515.0,615.0,830.0,1212.0
Cash Equivalents,Other Assets,71.0,83.0,105.0,107.0,893.0,260.0,162.0
Loans n Advances,Other Assets,17.0,14.0,18.0,15.0,12.0,21.0,13.0
Other asset items,Other Assets,46.0,62.0,54.0,62.0,113.0,314.0,281.0
