,parent_line_item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,26.0,35.0,35.0,35.0,35.0,36.0,36.0
Reserves,,1056.0,1592.0,1896.0,2219.0,2859.0,3454.0,4085.0
Borrowings,,1287.0,1428.0,3549.0,5413.0,6746.0,7839.0,11544.0
Other Liabilities,,2841.0,4397.0,5119.0,5048.0,10747.0,17059.0,18827.0
Total Liabilities,,5211.0,7451.0,10598.0,12716.0,20387.0,28388.0,34491.0
Fixed Assets,,108.0,162.0,219.0,284.0,290.0,312.0,289.0
CWIP,,4.0,22.0,18.0,25.0,8.0,5.0,0.0
Investments,,665.0,25.0,70.0,170.0,170.0,221.0,358.0
Other Assets,,4434.0,7242.0,10292.0,12237.0,19920.0,27850.0,33844.0
Total Assets,,5211.0,7451.0,10598.0,12716.0,20387.0,28388.0,34491.0
Building,Fixed Assets,70.08,72.93,77.07,100.07,85.15,32.51,
Equipments,Fixed Assets,1.04,5.52,5.26,7.5,11.18,13.39,
Computers,Fixed Assets,24.11,52.2,57.8,65.24,109.45,102.48,
Furniture n fittings,Fixed Assets,0.9,2.93,2.8,3.0,5.67,7.56,
Vehicles,Fixed Assets,1.82,2.47,0.86,0.29,0.27,0.27,
Intangible Assets,Fixed Assets,0.0,0.0,0.0,9.96,14.4,9.96,40.22
Other fixed assets,Fixed Assets,35.89,156.79,244.84,331.6,411.12,525.34,
Gross Block,Fixed Assets,133.84,292.84,388.63,517.66,637.24,691.51,
Accumulated Depreciation,Fixed Assets,26.31,130.82,169.87,233.69,347.41,379.77,
Long term Borrowings,Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,11544.0
Other Borrowings,Borrowings,1287.0,1428.0,3549.0,5413.0,6746.0,7839.0,
Non controlling int,Other Liabilities,171.0,0.0,0.0,5.0,4.0,3.0,2.0
Trade Payables,Other Liabilities,116.0,1170.0,1638.0,1757.0,3670.0,6044.0,2331.0
Advance from Customers,Other Liabilities,65.0,0.0,0.0,0.0,0.0,0.0,
Other liability items,Other Liabilities,2488.0,3226.0,3481.0,3287.0,7073.0,11012.0,16494.0
Inventories,Other Assets,213.0,207.0,890.0,1310.0,738.0,1434.0,0.0
Trade receivables,Other Assets,349.0,272.0,892.0,890.0,639.0,750.0,997.0
Cash Equivalents,Other Assets,2980.0,4554.0,4649.0,5328.0,12613.0,20235.0,21971.0
Loans n Advances,Other Assets,44.0,58.0,99.0,99.0,117.0,104.0,7660.0
Other asset items,Other Assets,847.0,2151.0,3761.0,4611.0,5813.0,5326.0,3216.0
