,parent_line_item,Sep 2014,Sep 2015,Sep 2016,Sep 2017,Sep 2018,Sep 2019,Sep 2020,Sep 2021,Sep 2022,Sep 2023,Sep 2024,Mar 2026
Equity Capital,,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0
Reserves,,4304.0,5046.0,6732.0,7619.0,8228.0,8978.0,9421.0,10276.0,11539.0,13016.0,15286.0,13769.0
Borrowings,,0.0,25.0,25.0,0.0,0.0,0.0,0.0,4.0,182.0,175.0,279.0,307.0
Other Liabilities,,5915.0,5433.0,5157.0,5448.0,6037.0,6309.0,6368.0,7664.0,8317.0,8384.0,9534.0,7066.0
Total Liabilities,,10290.0,10576.0,11986.0,13138.0,14336.0,15358.0,15860.0,18015.0,20109.0,21646.0,25170.0,21213.0
Fixed Assets,,1356.0,1394.0,1227.0,1365.0,1381.0,1219.0,1196.0,3264.0,3107.0,3038.0,3112.0,2785.0
CWIP,,41.0,32.0,79.0,143.0,62.0,58.0,88.0,35.0,52.0,50.0,103.0,250.0
Investments,,8.0,114.0,110.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0
Other Assets,,8886.0,9037.0,10570.0,11630.0,12893.0,14081.0,14576.0,14713.0,16949.0,18556.0,21953.0,18176.0
Total Assets,,10290.0,10576.0,11986.0,13138.0,14336.0,15358.0,15860.0,18015.0,20109.0,21646.0,25170.0,21213.0
Land,Fixed Assets,,,88.0,88.0,88.0,69.0,47.0,37.0,37.0,240.0,344.0,342.0
Building,Fixed Assets,,,522.0,538.0,558.0,576.0,532.0,517.0,515.0,506.0,504.0,352.0
Plant Machinery,Fixed Assets,,,728.0,906.0,1079.0,1192.0,1124.0,1317.0,1402.0,1475.0,1631.0,1313.0
Equipments,Fixed Assets,,,57.0,67.0,80.0,95.0,121.0,132.0,137.0,133.0,143.0,131.0
Furniture n fittings,Fixed Assets,,,18.0,29.0,31.0,32.0,32.0,32.0,30.0,31.0,37.0,33.0
Vehicles,Fixed Assets,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,44.0,22.0
Intangible Assets,Fixed Assets,,,35.0,35.0,35.0,35.0,32.0,1411.0,1413.0,1447.0,1449.0,1448.0
Other fixed assets,Fixed Assets,,,3.0,120.0,120.0,4.0,192.0,909.0,849.0,594.0,605.0,605.0
Gross Block,Fixed Assets,,,1452.0,1783.0,1991.0,2003.0,2080.0,4356.0,4384.0,4458.0,4755.0,4245.0
Accumulated Depreciation,Fixed Assets,,,225.0,418.0,610.0,784.0,884.0,1092.0,1277.0,1420.0,1643.0,1460.0
Long term Borrowings,Borrowings,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Short term Borrowings,Borrowings,,,25.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Lease Liabilities,Borrowings,,,0.0,0.0,0.0,0.0,0.0,0.0,182.0,175.0,279.0,307.0
Other Borrowings,Borrowings,,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Non controlling int,Other Liabilities,,,0.0,0.0,0.0,0.0,0.0,8.0,8.0,9.0,9.0,11.0
Trade Payables,Other Liabilities,,,2201.0,2664.0,3058.0,3305.0,2787.0,3672.0,4040.0,4004.0,4700.0,4073.0
Advance from Customers,Other Liabilities,,,638.0,798.0,0.0,824.0,0.0,0.0,0.0,0.0,0.0,0.0
Other liability items,Other Liabilities,,,2318.0,1985.0,2979.0,2180.0,3581.0,3985.0,4269.0,4371.0,4825.0,2982.0
Inventories,Other Assets,,,1011.0,1021.0,1150.0,1120.0,1115.0,1787.0,2165.0,2505.0,2630.0,2589.0
Trade receivables,Other Assets,,,3028.0,3430.0,3671.0,3816.0,3140.0,3683.0,3786.0,3789.0,4410.0,3902.0
Cash Equivalents,Other Assets,,,3510.0,4075.0,3692.0,5002.0,5710.0,5159.0,6584.0,7651.0,9568.0,5612.0
Loans n Advances,Other Assets,,,76.0,89.0,93.0,78.0,62.0,105.0,170.0,683.0,608.0,820.0
Other asset items,Other Assets,,,2945.0,3014.0,4286.0,4065.0,4549.0,3979.0,4244.0,3929.0,4737.0,5254.0
