,parent_line_item,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,20.0,50.0,50.0,50.0,50.0,58.0,63.0,62.0,63.0,63.0,63.0
Reserves,,50.0,77.0,121.0,173.0,219.0,594.0,1610.0,1758.0,2087.0,2369.0,2707.0
Borrowings,,0.0,18.0,84.0,79.0,53.0,20.0,16.0,140.0,378.0,468.0,42.0
Other Liabilities,,158.0,55.0,168.0,185.0,302.0,350.0,964.0,916.0,934.0,912.0,745.0
Total Liabilities,,228.0,200.0,423.0,487.0,625.0,1022.0,2653.0,2877.0,3462.0,3812.0,3556.0
Fixed Assets,,9.0,33.0,182.0,170.0,176.0,193.0,952.0,953.0,898.0,818.0,896.0
CWIP,,1.0,0.0,0.0,2.0,0.0,1.0,0.0,15.0,26.0,32.0,2.0
Investments,,0.0,0.0,0.0,11.0,12.0,13.0,13.0,20.0,15.0,16.0,17.0
Other Assets,,218.0,167.0,241.0,304.0,438.0,815.0,1688.0,1889.0,2523.0,2946.0,2642.0
Total Assets,,228.0,200.0,423.0,487.0,625.0,1022.0,2653.0,2877.0,3462.0,3812.0,3556.0
Building,Fixed Assets,6.0,6.0,13.0,13.0,27.0,38.0,44.0,67.0,70.0,79.0,
Equipments,Fixed Assets,1.0,0.0,1.0,2.0,3.0,3.0,8.0,10.0,9.0,10.0,
Computers,Fixed Assets,12.0,20.0,21.0,37.0,40.0,50.0,58.0,74.0,89.0,97.0,
Furniture n fittings,Fixed Assets,1.0,3.0,5.0,6.0,6.0,6.0,11.0,16.0,17.0,19.0,
Vehicles,Fixed Assets,2.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,0.0,
Intangible Assets,Fixed Assets,0.0,14.0,83.0,82.0,88.0,100.0,627.0,653.0,655.0,639.0,824.0
Other fixed assets,Fixed Assets,0.0,0.0,83.0,70.0,72.0,85.0,333.0,347.0,361.0,374.0,
Gross Block,Fixed Assets,21.0,47.0,209.0,214.0,241.0,287.0,1085.0,1170.0,1206.0,1219.0,
Accumulated Depreciation,Fixed Assets,12.0,14.0,27.0,44.0,66.0,94.0,133.0,218.0,308.0,401.0,
Long term Borrowings,Borrowings,,2.58,5.24,4.57,3.71,3.41,0.0,43.68,135.03,0.0,0.0
Short term Borrowings,Borrowings,,15.0,77.77,73.16,37.36,0.56,0.0,62.47,214.61,440.96,0.0
Lease Liabilities,Borrowings,,0.0,0.0,0.0,11.5,15.99,16.22,33.96,28.85,27.21,41.98
Other Borrowings,Borrowings,0.23,0.91,1.16,1.32,0.6,0.0,0.0,0.0,0.0,0.0,
Non controlling int,Other Liabilities,0.0,1.0,-1.0,-2.0,-2.0,-3.0,2.0,8.0,21.0,32.0,52.0
Trade Payables,Other Liabilities,49.0,36.0,56.0,60.0,181.0,238.0,477.0,467.0,673.0,684.0,497.0
Advance from Customers,Other Liabilities,104.0,10.0,3.0,4.0,5.0,4.0,10.0,13.0,7.0,10.0,
Other liability items,Other Liabilities,5.0,8.0,110.0,124.0,118.0,110.0,475.0,429.0,232.0,186.0,196.0
Trade receivables,Other Assets,22.0,32.0,97.0,145.0,204.0,217.0,517.0,702.0,1072.0,933.0,909.0
Cash Equivalents,Other Assets,162.0,111.0,103.0,96.0,103.0,468.0,1026.0,880.0,757.0,1333.0,1389.0
Loans n Advances,Other Assets,1.0,3.0,11.0,6.0,26.0,22.0,41.0,80.0,212.0,280.0,17.0
Other asset items,Other Assets,32.0,21.0,30.0,58.0,105.0,108.0,104.0,228.0,483.0,401.0,326.0
