,parent_line_item,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,383.0,493.0,495.0,496.0,582.0,583.0
Reserves,,-298.0,548.0,331.0,130.0,326.0,138.0
Borrowings,,901.0,887.0,1168.0,1430.0,1832.0,1967.0
Other Liabilities,,977.0,455.0,500.0,652.0,722.0,694.0
Total Liabilities,,1963.0,2382.0,2493.0,2709.0,3463.0,3382.0
Fixed Assets,,1391.0,1514.0,1953.0,2320.0,2603.0,2801.0
CWIP,,47.0,18.0,35.0,49.0,34.0,41.0
Investments,,124.0,402.0,147.0,83.0,24.0,138.0
Other Assets,,401.0,448.0,358.0,256.0,802.0,402.0
Total Assets,,1963.0,2382.0,2493.0,2709.0,3463.0,3382.0
Building,Fixed Assets,544.0,625.0,765.0,2608.0,3045.0,3404.0
Equipments,Fixed Assets,1.0,1.0,1.0,822.0,867.0,1023.0
Computers,Fixed Assets,48.0,46.0,60.0,70.0,54.0,60.0
Furniture n fittings,Fixed Assets,71.0,82.0,101.0,115.0,154.0,178.0
Vehicles,Fixed Assets,2.0,2.0,1.0,1.0,1.0,0.0
Intangible Assets,Fixed Assets,0.0,0.0,0.0,2.0,2.0,3.0
Other fixed assets,Fixed Assets,1498.0,1751.0,2260.0,165.0,215.0,204.0
Gross Block,Fixed Assets,2163.0,2507.0,3188.0,3783.0,4337.0,4871.0
Accumulated Depreciation,Fixed Assets,773.0,994.0,1235.0,1463.0,1733.0,2070.0
Long term Borrowings,Borrowings,189.0,88.0,73.0,140.0,181.0,159.0
Short term Borrowings,Borrowings,56.0,54.0,92.0,30.0,114.0,111.0
Lease Liabilities,Borrowings,657.0,745.0,1003.0,1260.0,1536.0,1697.0
Other Borrowings,Borrowings,0.0,0.0,-0.0,0.0,0.0,0.0
Non controlling int,Other Liabilities,25.0,28.0,21.0,2.0,-14.0,-33.0
Trade Payables,Other Liabilities,246.0,259.0,268.0,285.0,379.0,340.0
Advance from Customers,Other Liabilities,0.0,0.0,0.0,3.0,2.0,13.0
Other liability items,Other Liabilities,706.0,168.0,212.0,362.0,356.0,373.0
Inventories,Other Assets,20.0,23.0,32.0,35.0,44.0,39.0
Trade receivables,Other Assets,9.0,13.0,17.0,25.0,34.0,46.0
Cash Equivalents,Other Assets,278.0,277.0,155.0,34.0,536.0,59.0
Loans n Advances,Other Assets,20.0,18.0,26.0,31.0,39.0,73.0
Other asset items,Other Assets,75.0,117.0,129.0,132.0,149.0,185.0
