,parent_line_item,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,0.01,0.01,136.0,324.0,325.0,325.0
Reserves,,-1765.0,-1087.0,-1323.0,771.0,855.0,1086.0
Borrowings,,1954.0,1853.0,1885.0,131.0,136.0,135.0
Other Liabilities,,114.0,271.0,288.0,413.0,492.0,545.0
Total Liabilities,,303.0,1036.0,986.0,1640.0,1808.0,2092.0
Fixed Assets,,21.0,342.0,252.0,299.0,302.0,489.0
CWIP,,0.0,2.0,0.0,0.0,0.0,0.0
Investments,,164.0,339.0,260.0,292.0,305.0,272.0
Other Assets,,117.0,354.0,474.0,1049.0,1201.0,1331.0
Total Assets,,303.0,1036.0,986.0,1640.0,1808.0,2092.0
Land,Fixed Assets,20.0,0.0,0.0,0.0,0.0,
Building,Fixed Assets,0.0,57.0,101.0,161.0,191.0,
Plant Machinery,Fixed Assets,1.0,1.0,1.0,1.0,3.0,
Equipments,Fixed Assets,0.0,1.0,3.0,4.0,5.0,
Computers,Fixed Assets,0.0,3.0,8.0,9.0,11.0,
Furniture n fittings,Fixed Assets,0.0,3.0,8.0,13.0,18.0,
Intangible Assets,Fixed Assets,0.0,276.0,172.0,172.0,172.0,353.0
Other fixed assets,Fixed Assets,1.0,9.0,11.0,11.0,14.0,
Gross Block,Fixed Assets,23.0,350.0,305.0,371.0,415.0,
Accumulated Depreciation,Fixed Assets,2.0,9.0,52.0,72.0,113.0,
Long term Borrowings,Borrowings,1954.0,0.0,0.0,0.0,0.0,0.0
Short term Borrowings,Borrowings,0.0,4.0,4.0,0.0,0.0,0.0
Lease Liabilities,Borrowings,0.0,56.0,89.0,131.0,136.0,135.0
Preference Capital,Borrowings,0.0,1793.0,1793.0,0.0,0.0,0.0
Other Borrowings,Borrowings,0.0,-0.0,0.0,0.0,0.0,
Trade Payables,Other Liabilities,80.0,170.0,197.0,294.0,357.0,378.0
Advance from Customers,Other Liabilities,2.0,4.0,4.0,7.0,3.0,
Other liability items,Other Liabilities,32.0,97.0,87.0,112.0,133.0,168.0
Inventories,Other Assets,41.0,67.0,121.0,132.0,176.0,165.0
Trade receivables,Other Assets,34.0,73.0,131.0,159.0,132.0,198.0
Cash Equivalents,Other Assets,21.0,88.0,68.0,486.0,331.0,214.0
Loans n Advances,Other Assets,9.0,8.0,13.0,8.0,9.0,609.0
Other asset items,Other Assets,12.0,118.0,141.0,264.0,552.0,146.0
