,parent_line_item,Mar 2025,Mar 2026
Equity Capital,,0.05,1221.0
Reserves,,1276.0,192.0
Borrowings,,2932.0,3018.0
Other Liabilities,,4070.0,4290.0
Total Liabilities,,8279.0,8720.0
Fixed Assets,,3280.0,3609.0
CWIP,,13.0,46.0
Investments,,117.0,16.0
Other Assets,,4869.0,5049.0
Total Assets,,8279.0,8720.0
Land,Fixed Assets,18.0,18.0
Building,Fixed Assets,3085.0,3604.0
Plant Machinery,Fixed Assets,399.0,461.0
Equipments,Fixed Assets,40.0,57.0
Computers,Fixed Assets,58.0,57.0
Furniture n fittings,Fixed Assets,411.0,520.0
Vehicles,Fixed Assets,41.0,47.0
Intangible Assets,Fixed Assets,1241.0,1241.0
Other fixed assets,Fixed Assets,108.0,111.0
Gross Block,Fixed Assets,5402.0,6116.0
Accumulated Depreciation,Fixed Assets,2121.0,2507.0
Long term Borrowings,Borrowings,77.0,581.0
Short term Borrowings,Borrowings,875.0,253.0
Lease Liabilities,Borrowings,1980.0,2184.0
Preference Capital,Borrowings,1.0,1.0
Other Borrowings,Borrowings,-1.0,-1.0
Trade Payables,Other Liabilities,2121.0,2288.0
Advance from Customers,Other Liabilities,26.0,28.0
Other liability items,Other Liabilities,1923.0,1974.0
Inventories,Other Assets,2109.0,2349.0
Trade receivables,Other Assets,1322.0,1198.0
Cash Equivalents,Other Assets,54.0,92.0
Loans n Advances,Other Assets,129.0,99.0
Other asset items,Other Assets,1255.0,1311.0
