,parent_line_item,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,14.0,14.0,14.0
Reserves,,988.0,1169.0,1354.0
Borrowings,,75.0,69.0,148.0
Other Liabilities,,702.0,770.0,911.0
Total Liabilities,,1779.0,2022.0,2428.0
Fixed Assets,,543.0,641.0,781.0
CWIP,,56.0,76.0,100.0
Investments,,103.0,39.0,121.0
Other Assets,,1078.0,1267.0,1427.0
Total Assets,,1779.0,2022.0,2428.0
Land,Fixed Assets,56.0,89.0,102.0
Building,Fixed Assets,125.0,138.0,168.0
Plant Machinery,Fixed Assets,556.0,662.0,762.0
Equipments,Fixed Assets,3.0,4.0,4.0
Computers,Fixed Assets,18.0,19.0,22.0
Furniture n fittings,Fixed Assets,9.0,11.0,12.0
Vehicles,Fixed Assets,11.0,13.0,17.0
Intangible Assets,Fixed Assets,16.0,28.0,28.0
Other fixed assets,Fixed Assets,78.0,80.0,156.0
Gross Block,Fixed Assets,871.0,1045.0,1273.0
Accumulated Depreciation,Fixed Assets,329.0,404.0,492.0
Long term Borrowings,Borrowings,0.0,0.0,44.0
Short term Borrowings,Borrowings,25.0,24.0,37.0
Lease Liabilities,Borrowings,50.0,45.0,67.0
Other Borrowings,Borrowings,0.0,-0.0,-0.0
Non controlling int,Other Liabilities,0.0,0.0,23.0
Trade Payables,Other Liabilities,588.0,626.0,736.0
Other liability items,Other Liabilities,115.0,144.0,152.0
Inventories,Other Assets,302.0,364.0,409.0
Trade receivables,Other Assets,491.0,600.0,677.0
Cash Equivalents,Other Assets,76.0,39.0,203.0
Loans n Advances,Other Assets,14.0,29.0,30.0
Other asset items,Other Assets,194.0,234.0,108.0
