,parent_line_item,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0
Reserves,,1415.0,1588.0,1547.0,1670.0,1716.0,1893.0,2053.0,2275.0,2647.0,3057.0,3591.0
Borrowings,,7.0,12.0,142.0,90.0,189.0,849.0,1965.0,3244.0,4142.0,5819.0,5374.0
Other Liabilities,,519.0,541.0,783.0,807.0,825.0,1026.0,975.0,1169.0,1450.0,1571.0,1858.0
Total Liabilities,,1970.0,2170.0,2500.0,2595.0,2759.0,3797.0,5021.0,6717.0,8268.0,10476.0,10852.0
Fixed Assets,,475.0,440.0,702.0,663.0,623.0,698.0,721.0,689.0,769.0,1183.0,1415.0
CWIP,,29.0,15.0,30.0,41.0,78.0,55.0,43.0,69.0,293.0,98.0,61.0
Investments,,791.0,988.0,675.0,711.0,433.0,834.0,738.0,658.0,489.0,601.0,440.0
Other Assets,,674.0,727.0,1093.0,1180.0,1626.0,2210.0,3519.0,5302.0,6718.0,8595.0,8937.0
Total Assets,,1970.0,2170.0,2500.0,2595.0,2759.0,3797.0,5021.0,6717.0,8268.0,10476.0,10852.0
Land,Fixed Assets,12.0,12.0,13.0,18.0,18.0,11.0,42.0,42.0,44.0,44.0,
Building,Fixed Assets,155.0,159.0,179.0,197.0,211.0,218.0,218.0,223.0,241.0,538.0,
Plant Machinery,Fixed Assets,895.0,898.0,1005.0,1020.0,1026.0,1106.0,1153.0,1194.0,1269.0,1344.0,
Equipments,Fixed Assets,5.0,5.0,11.0,8.0,7.0,7.0,7.0,6.0,8.0,16.0,
Computers,Fixed Assets,59.0,62.0,69.0,66.0,68.0,69.0,72.0,75.0,82.0,86.0,
Furniture n fittings,Fixed Assets,64.0,65.0,73.0,72.0,72.0,73.0,73.0,71.0,73.0,94.0,
Vehicles,Fixed Assets,48.0,53.0,57.0,40.0,41.0,41.0,36.0,37.0,43.0,16.0,
Intangible Assets,Fixed Assets,22.0,53.0,263.0,263.0,264.0,315.0,342.0,342.0,392.0,462.0,399.0
Other fixed assets,Fixed Assets,47.0,53.0,98.0,100.0,106.0,121.0,123.0,122.0,147.0,155.0,
Gross Block,Fixed Assets,1306.0,1361.0,1767.0,1784.0,1813.0,1960.0,2066.0,2114.0,2298.0,2755.0,
Accumulated Depreciation,Fixed Assets,831.0,921.0,1065.0,1121.0,1190.0,1262.0,1345.0,1425.0,1530.0,1572.0,
Long term Borrowings,Borrowings,0.0,0.0,5.0,17.0,64.0,417.0,1066.0,1802.0,1970.0,3761.0,3124.0
Short term Borrowings,Borrowings,7.0,12.0,134.0,65.0,85.0,421.0,890.0,1428.0,2154.0,2000.0,2190.0
Lease Liabilities,Borrowings,0.0,0.0,0.0,0.0,10.0,11.0,9.0,14.0,17.0,58.0,61.0
Other Borrowings,Borrowings,0.0,0.0,2.0,8.0,29.0,0.0,0.0,0.0,0.0,0.0,
Non controlling int,Other Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.0,-30.0,-45.0
Trade Payables,Other Liabilities,346.0,355.0,489.0,439.0,414.0,594.0,576.0,678.0,794.0,708.0,947.0
Advance from Customers,Other Liabilities,6.0,4.0,9.0,48.0,59.0,23.0,29.0,59.0,47.0,65.0,
Other liability items,Other Liabilities,167.0,182.0,285.0,319.0,352.0,409.0,370.0,432.0,625.0,828.0,956.0
Inventories,Other Assets,206.0,226.0,345.0,310.0,406.0,379.0,388.0,545.0,644.0,591.0,744.0
Trade receivables,Other Assets,158.0,201.0,402.0,408.0,412.0,439.0,469.0,528.0,607.0,696.0,953.0
Cash Equivalents,Other Assets,42.0,20.0,70.0,198.0,143.0,258.0,174.0,290.0,505.0,997.0,1250.0
Loans n Advances,Other Assets,11.0,12.0,32.0,27.0,27.0,25.0,28.0,30.0,33.0,90.0,5750.0
Other asset items,Other Assets,257.0,268.0,244.0,238.0,638.0,1109.0,2460.0,3909.0,4930.0,6220.0,240.0
