,parent_line_item,Mar 2016,Mar 2017,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,3.0,3.0,3.0,3.0,4.0,47.0,47.0,47.0,47.0,48.0
Reserves,,948.0,1185.0,1193.0,1224.0,1638.0,1933.0,1997.0,2023.0,2173.0,2436.0
Borrowings,,31.0,35.0,68.0,77.0,93.0,77.0,86.0,112.0,131.0,140.0
Other Liabilities,,39.0,28.0,159.0,163.0,189.0,220.0,210.0,326.0,353.0,385.0
Total Liabilities,,1021.0,1252.0,1424.0,1467.0,1924.0,2276.0,2340.0,2508.0,2705.0,3009.0
Fixed Assets,,792.0,789.0,1010.0,1016.0,1022.0,1041.0,1042.0,1489.0,1497.0,1522.0
CWIP,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Investments,,165.0,405.0,287.0,295.0,645.0,884.0,985.0,510.0,614.0,910.0
Other Assets,,65.0,58.0,127.0,157.0,255.0,351.0,312.0,509.0,594.0,576.0
Total Assets,,1021.0,1252.0,1424.0,1467.0,1924.0,2276.0,2340.0,2508.0,2705.0,3009.0
Land,Fixed Assets,0.0,0.0,40.0,39.0,39.0,39.0,39.0,39.0,39.0,
Building,Fixed Assets,0.0,0.0,11.0,12.0,78.0,111.0,133.0,181.0,212.0,
Plant Machinery,Fixed Assets,5.0,4.0,5.0,7.0,7.0,9.0,10.0,10.0,10.0,
Equipments,Fixed Assets,2.0,3.0,4.0,5.0,5.0,6.0,7.0,8.0,8.0,
Computers,Fixed Assets,8.0,7.0,7.0,7.0,9.0,10.0,11.0,17.0,18.0,
Furniture n fittings,Fixed Assets,2.0,2.0,3.0,3.0,3.0,4.0,4.0,5.0,4.0,
Vehicles,Fixed Assets,0.0,0.0,0.0,1.0,2.0,4.0,5.0,7.0,8.0,
Intangible Assets,Fixed Assets,784.0,784.0,898.0,898.0,898.0,898.0,898.0,1324.0,1324.0,1325.0
Other fixed assets,Fixed Assets,5.0,5.0,89.0,103.0,53.0,54.0,54.0,54.0,54.0,
Gross Block,Fixed Assets,806.0,805.0,1058.0,1074.0,1095.0,1133.0,1161.0,1647.0,1679.0,
Accumulated Depreciation,Fixed Assets,14.0,16.0,47.0,59.0,73.0,92.0,119.0,158.0,181.0,
Lease Liabilities,Borrowings,0.0,0.0,34.0,42.0,55.0,77.0,86.0,112.0,131.0,140.0
Preference Capital,Borrowings,31.0,35.0,35.0,35.0,39.0,0.0,0.0,0.0,0.0,0.0
Other Borrowings,Borrowings,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,
Non controlling int,Other Liabilities,0.0,-0.0,56.0,70.0,82.0,95.0,79.0,87.0,106.0,135.0
Trade Payables,Other Liabilities,15.0,11.0,18.0,20.0,22.0,21.0,22.0,35.0,32.0,32.0
Advance from Customers,Other Liabilities,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,
Other liability items,Other Liabilities,24.0,18.0,85.0,73.0,84.0,103.0,109.0,204.0,216.0,218.0
Inventories,Other Assets,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
Trade receivables,Other Assets,18.0,21.0,36.0,47.0,47.0,41.0,52.0,73.0,87.0,93.0
Cash Equivalents,Other Assets,7.0,4.0,22.0,22.0,24.0,63.0,28.0,99.0,77.0,41.0
Loans n Advances,Other Assets,1.0,1.0,42.0,53.0,54.0,36.0,18.0,11.0,12.0,199.0
Other asset items,Other Assets,39.0,32.0,26.0,36.0,128.0,210.0,215.0,325.0,418.0,243.0
