,parent_line_item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,38.0,38.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0
Reserves,,406.0,451.0,537.0,702.0,683.0,773.0,790.0,885.0,1064.0,1373.0
Borrowings,,321.0,330.0,491.0,569.0,537.0,933.0,1079.0,1008.0,1143.0,1021.0
Other Liabilities,,174.0,235.0,359.0,294.0,281.0,431.0,483.0,410.0,544.0,736.0
Total Liabilities,,939.0,1053.0,1426.0,1604.0,1540.0,2176.0,2391.0,2343.0,2791.0,3170.0
Fixed Assets,,388.0,437.0,498.0,725.0,598.0,704.0,1017.0,1034.0,1156.0,1169.0
CWIP,,24.0,49.0,95.0,40.0,175.0,373.0,100.0,99.0,141.0,314.0
Investments,,1.0,3.0,0.0,1.0,0.0,12.0,7.0,40.0,8.0,54.0
Other Assets,,527.0,564.0,833.0,839.0,768.0,1087.0,1268.0,1169.0,1485.0,1633.0
Total Assets,,939.0,1053.0,1426.0,1604.0,1540.0,2176.0,2391.0,2343.0,2791.0,3170.0
Land,Fixed Assets,19.0,24.0,25.0,61.0,35.0,55.0,63.0,76.0,76.0,86.0
Building,Fixed Assets,94.0,109.0,111.0,164.0,167.0,198.0,272.0,301.0,380.0,389.0
Plant Machinery,Fixed Assets,410.0,479.0,540.0,749.0,666.0,779.0,1073.0,1166.0,1313.0,1444.0
Equipments,Fixed Assets,35.0,32.0,38.0,12.0,16.0,22.0,24.0,24.0,31.0,33.0
Computers,Fixed Assets,0.0,0.0,0.0,0.0,10.0,12.0,12.0,12.0,13.0,14.0
Furniture n fittings,Fixed Assets,3.0,3.0,4.0,43.0,39.0,45.0,81.0,90.0,108.0,110.0
Vehicles,Fixed Assets,2.0,2.0,5.0,5.0,6.0,6.0,5.0,4.0,4.0,6.0
Intangible Assets,Fixed Assets,2.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,6.0,6.0
Other fixed assets,Fixed Assets,12.0,19.0,21.0,22.0,17.0,18.0,26.0,29.0,32.0,32.0
Gross Block,Fixed Assets,578.0,671.0,747.0,1059.0,959.0,1138.0,1559.0,1707.0,1963.0,2119.0
Accumulated Depreciation,Fixed Assets,190.0,234.0,249.0,334.0,361.0,435.0,543.0,672.0,807.0,950.0
Long term Borrowings,Borrowings,66.0,77.0,181.0,226.0,332.0,381.0,404.0,444.0,511.0,578.0
Short term Borrowings,Borrowings,216.0,215.0,280.0,255.0,164.0,529.0,657.0,536.0,612.0,432.0
Lease Liabilities,Borrowings,0.0,0.0,0.0,7.0,6.0,23.0,19.0,27.0,20.0,11.0
Other Borrowings,Borrowings,39.0,38.0,29.0,81.0,34.0,0.0,0.0,0.0,0.0,-0.0
Non controlling int,Other Liabilities,0.0,0.0,0.0,0.0,0.0,7.0,6.0,17.0,14.0,28.0
Trade Payables,Other Liabilities,120.0,150.0,215.0,150.0,167.0,306.0,294.0,283.0,402.0,527.0
Advance from Customers,Other Liabilities,1.0,1.0,3.0,2.0,2.0,3.0,56.0,3.0,1.0,11.0
Other liability items,Other Liabilities,52.0,84.0,142.0,143.0,112.0,115.0,126.0,108.0,126.0,169.0
Inventories,Other Assets,246.0,234.0,364.0,366.0,343.0,616.0,799.0,659.0,788.0,826.0
Trade receivables,Other Assets,174.0,230.0,331.0,267.0,239.0,265.0,296.0,348.0,394.0,526.0
Cash Equivalents,Other Assets,31.0,24.0,23.0,89.0,20.0,37.0,25.0,29.0,50.0,70.0
Loans n Advances,Other Assets,8.0,10.0,48.0,43.0,36.0,35.0,23.0,31.0,43.0,66.0
Other asset items,Other Assets,68.0,66.0,67.0,74.0,130.0,133.0,125.0,102.0,209.0,145.0
