,parent_line_item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,15.0,15.0,15.0,15.0,15.0,16.0,16.0,16.0,16.0,16.0
Reserves,,31.0,40.0,79.0,134.0,254.0,600.0,683.0,799.0,981.0,1182.0
Borrowings,,140.0,130.0,90.0,82.0,72.0,27.0,22.0,5.0,5.0,5.0
Other Liabilities,,55.0,60.0,69.0,105.0,105.0,92.0,98.0,101.0,110.0,154.0
Total Liabilities,,241.0,245.0,253.0,336.0,445.0,735.0,820.0,921.0,1112.0,1357.0
Fixed Assets,,89.0,91.0,85.0,99.0,100.0,190.0,262.0,310.0,453.0,689.0
CWIP,,36.0,34.0,35.0,40.0,79.0,43.0,68.0,149.0,148.0,36.0
Investments,,0.0,0.0,0.0,0.0,0.0,0.0,25.0,64.0,63.0,99.0
Other Assets,,117.0,120.0,133.0,197.0,267.0,502.0,466.0,399.0,448.0,534.0
Total Assets,,241.0,245.0,253.0,336.0,445.0,735.0,820.0,921.0,1112.0,1357.0
Land,Fixed Assets,1.93,1.82,2.1,2.86,7.79,9.16,9.16,10.42,10.92,
Building,Fixed Assets,29.58,24.59,25.45,28.3,28.3,54.68,72.42,85.62,128.94,
Plant Machinery,Fixed Assets,49.87,47.01,49.2,60.52,60.65,120.09,162.21,204.52,304.35,
Equipments,Fixed Assets,4.98,13.95,5.65,0.72,7.24,10.06,25.61,26.31,29.82,
Computers,Fixed Assets,0.95,0.24,0.53,0.78,1.47,1.8,2.65,3.23,4.71,
Furniture n fittings,Fixed Assets,6.68,5.89,6.48,1.95,9.31,13.75,21.05,25.83,38.41,
Vehicles,Fixed Assets,2.34,1.58,1.58,1.58,3.46,3.46,3.46,4.03,5.5,
Intangible Assets,Fixed Assets,0.0,0.0,0.0,0.0,0.09,0.09,0.09,0.6,0.6,1.31
Other fixed assets,Fixed Assets,1.2,0.5,3.55,18.13,4.75,9.83,9.84,10.11,10.6,
Gross Block,Fixed Assets,97.53,95.58,94.54,114.84,123.06,222.92,306.49,370.67,533.85,
Accumulated Depreciation,Fixed Assets,8.75,4.57,9.86,16.26,23.02,33.14,44.95,60.54,80.98,
Long term Borrowings,Borrowings,45.41,35.33,8.14,2.39,0.0,0.0,0.0,0.0,0.0,0.0
Short term Borrowings,Borrowings,94.67,85.74,77.21,76.68,70.13,21.3,16.63,0.0,0.0,0.0
Lease Liabilities,Borrowings,0.0,0.0,0.0,0.0,2.07,6.13,5.84,5.49,5.38,5.44
Other Borrowings,Borrowings,0.01,9.3,4.49,3.14,-0.01,-0.01,0.0,0.0,0.0,
Trade Payables,Other Liabilities,41.0,42.0,44.0,49.0,51.0,49.0,64.0,60.0,75.0,111.0
Advance from Customers,Other Liabilities,1.0,1.0,1.0,19.0,1.0,18.0,6.0,15.0,4.0,
Other liability items,Other Liabilities,14.0,17.0,24.0,36.0,53.0,25.0,29.0,26.0,31.0,43.0
Inventories,Other Assets,38.0,32.0,31.0,49.0,72.0,92.0,116.0,85.0,118.0,160.0
Trade receivables,Other Assets,50.0,53.0,60.0,52.0,74.0,115.0,85.0,112.0,134.0,219.0
Cash Equivalents,Other Assets,6.0,3.0,2.0,75.0,89.0,228.0,158.0,75.0,79.0,79.0
Loans n Advances,Other Assets,1.0,1.0,12.0,1.0,2.0,25.0,23.0,46.0,21.0,1.0
Other asset items,Other Assets,22.0,31.0,29.0,20.0,30.0,41.0,85.0,81.0,96.0,75.0
