,parent_line_item,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,995.0,1186.0,1193.0,1323.0,1324.0,1327.0
Reserves,,4610.0,5511.0,5580.0,6588.0,6801.0,6835.0
Borrowings,,3025.0,4128.0,5637.0,4710.0,4856.0,5675.0
Other Liabilities,,2047.0,1781.0,1893.0,2461.0,2447.0,3770.0
Total Liabilities,,10677.0,12605.0,14303.0,15083.0,15429.0,17607.0
Fixed Assets,,6105.0,6879.0,7469.0,7990.0,8133.0,8684.0
CWIP,,627.0,1172.0,1419.0,1116.0,977.0,1100.0
Investments,,123.0,267.0,639.0,385.0,291.0,437.0
Other Assets,,3822.0,4286.0,4777.0,5592.0,6028.0,7386.0
Total Assets,,10677.0,12605.0,14303.0,15083.0,15429.0,17607.0
Land,Fixed Assets,134.0,212.0,257.0,431.0,434.0,450.0
Building,Fixed Assets,1149.0,1299.0,1629.0,2007.0,2128.0,2392.0
Plant Machinery,Fixed Assets,2598.0,2966.0,3532.0,4024.0,4579.0,5313.0
Equipments,Fixed Assets,27.0,33.0,43.0,61.0,90.0,79.0
Furniture n fittings,Fixed Assets,58.0,67.0,75.0,90.0,109.0,126.0
Vehicles,Fixed Assets,1.0,1.0,2.0,2.0,3.0,3.0
Intangible Assets,Fixed Assets,3914.0,4110.0,1108.0,1123.0,1397.0,1557.0
Other fixed assets,Fixed Assets,271.0,822.0,4197.0,4363.0,4336.0,4910.0
Gross Block,Fixed Assets,8153.0,9510.0,10842.0,12099.0,13077.0,14829.0
Accumulated Depreciation,Fixed Assets,2047.0,2631.0,3374.0,4110.0,4943.0,6145.0
Long term Borrowings,Borrowings,2339.0,2622.0,3384.0,2484.0,3214.0,4300.0
Short term Borrowings,Borrowings,571.0,1401.0,2121.0,2075.0,1506.0,1196.0
Lease Liabilities,Borrowings,115.0,105.0,132.0,151.0,136.0,179.0
Trade Payables,Other Liabilities,918.0,1026.0,1193.0,1538.0,1534.0,2479.0
Advance from Customers,Other Liabilities,72.0,140.0,117.0,344.0,0.0,0.0
Other liability items,Other Liabilities,1057.0,614.0,582.0,579.0,914.0,1291.0
Inventories,Other Assets,1232.0,1389.0,1681.0,2176.0,2313.0,3064.0
Trade receivables,Other Assets,1575.0,1785.0,1799.0,2134.0,2350.0,2158.0
Cash Equivalents,Other Assets,406.0,329.0,308.0,483.0,501.0,1224.0
Loans n Advances,Other Assets,63.0,70.0,208.0,186.0,226.0,285.0
Other asset items,Other Assets,547.0,714.0,781.0,613.0,638.0,656.0
