,parent_line_item,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,61.0,61.0,61.0,61.0
Reserves,,347.0,419.0,545.0,686.0
Borrowings,,28.0,159.0,86.0,165.0
Other Liabilities,,159.0,191.0,237.0,293.0
Total Liabilities,,595.0,831.0,930.0,1205.0
Fixed Assets,,185.0,384.0,370.0,580.0
CWIP,,65.0,121.0,186.0,143.0
Investments,,32.0,26.0,26.0,0.0
Other Assets,,314.0,301.0,348.0,482.0
Total Assets,,595.0,831.0,930.0,1205.0
Land,Fixed Assets,8.0,8.0,9.0,
Building,Fixed Assets,80.0,81.0,82.0,
Plant Machinery,Fixed Assets,86.0,97.0,111.0,
Equipments,Fixed Assets,2.0,3.0,4.0,
Computers,Fixed Assets,4.0,5.0,5.0,
Furniture n fittings,Fixed Assets,25.0,28.0,30.0,
Vehicles,Fixed Assets,9.0,10.0,11.0,
Intangible Assets,Fixed Assets,42.0,249.0,249.0,263.0
Other fixed assets,Fixed Assets,1.0,2.0,2.0,
Gross Block,Fixed Assets,256.0,483.0,503.0,
Accumulated Depreciation,Fixed Assets,72.0,99.0,133.0,
Long term Borrowings,Borrowings,-0.0,67.0,16.0,-0.0
Short term Borrowings,Borrowings,2.0,67.0,47.0,143.0
Lease Liabilities,Borrowings,26.0,25.0,24.0,22.0
Other Borrowings,Borrowings,-0.0,-0.0,-0.0,
Trade Payables,Other Liabilities,94.0,114.0,144.0,147.0
Advance from Customers,Other Liabilities,1.0,1.0,1.0,
Other liability items,Other Liabilities,63.0,76.0,93.0,146.0
Inventories,Other Assets,105.0,98.0,129.0,125.0
Trade receivables,Other Assets,87.0,100.0,118.0,146.0
Cash Equivalents,Other Assets,77.0,70.0,69.0,44.0
Loans n Advances,Other Assets,11.0,11.0,12.0,130.0
Other asset items,Other Assets,35.0,22.0,19.0,37.0
