,parent_line_item,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,3.0,3.0,22.0,25.0
Reserves,,17.0,117.0,315.0,1336.0
Borrowings,,153.0,280.0,503.0,939.0
Other Liabilities,,90.0,288.0,795.0,814.0
Total Liabilities,,263.0,688.0,1636.0,3115.0
Fixed Assets,,50.0,117.0,320.0,451.0
CWIP,,0.0,33.0,2.0,384.0
Investments,,0.0,10.0,0.0,0.0
Other Assets,,213.0,528.0,1314.0,2280.0
Total Assets,,263.0,688.0,1636.0,3115.0
Land,Fixed Assets,0.6,4.83,25.34,
Building,Fixed Assets,4.02,20.94,62.6,
Plant Machinery,Fixed Assets,50.79,99.76,257.09,
Equipments,Fixed Assets,0.79,1.69,2.46,
Computers,Fixed Assets,0.93,1.63,3.82,
Furniture n fittings,Fixed Assets,1.88,7.06,17.17,
Vehicles,Fixed Assets,0.0,0.5,0.73,
Intangible Assets,Fixed Assets,0.0,0.0,0.0,0.06
Other fixed assets,Fixed Assets,0.0,0.0,0.17,
Gross Block,Fixed Assets,59.01,136.41,369.38,
Accumulated Depreciation,Fixed Assets,8.98,19.53,49.64,
Long term Borrowings,Borrowings,32.0,67.0,125.0,211.0
Short term Borrowings,Borrowings,113.0,196.0,333.0,670.0
Lease Liabilities,Borrowings,9.0,16.0,45.0,58.0
Other Borrowings,Borrowings,-0.0,0.0,0.0,
Non controlling int,Other Liabilities,0.0,0.0,0.0,-0.0
Trade Payables,Other Liabilities,67.0,184.0,559.0,580.0
Other liability items,Other Liabilities,22.0,103.0,236.0,234.0
Inventories,Other Assets,132.0,221.0,650.0,702.0
Trade receivables,Other Assets,21.0,177.0,400.0,699.0
Cash Equivalents,Other Assets,13.0,17.0,8.0,82.0
Loans n Advances,Other Assets,36.0,37.0,38.0,10.0
Other asset items,Other Assets,10.0,77.0,218.0,787.0
