,parent_line_item,Mar 2020,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,19.0,25.0,25.0,25.0,25.0,
Reserves,,243.0,1406.0,1677.0,1839.0,1910.0,
Borrowings,,897.0,69.0,98.0,235.0,466.0,
Other Liabilities,,372.0,255.0,255.0,290.0,264.0,
Total Liabilities,,1531.0,1755.0,2055.0,2389.0,2665.0,
Fixed Assets,,1086.0,1110.0,1160.0,1378.0,1383.0,
CWIP,,17.0,36.0,48.0,69.0,182.0,
Investments,,11.0,210.0,350.0,339.0,257.0,
Other Assets,,417.0,399.0,497.0,603.0,843.0,
Total Assets,,1531.0,1755.0,2055.0,2389.0,2665.0,
Land,Fixed Assets,,15.0,28.0,31.0,56.0,56.0
Building,Fixed Assets,,294.0,303.0,354.0,432.0,445.0
Plant Machinery,Fixed Assets,,671.0,731.0,796.0,879.0,909.0
Equipments,Fixed Assets,,1.0,1.0,2.0,9.0,10.0
Computers,Fixed Assets,,3.0,3.0,4.0,4.0,5.0
Furniture n fittings,Fixed Assets,,2.0,4.0,4.0,6.0,6.0
Vehicles,Fixed Assets,,20.0,27.0,27.0,25.0,51.0
Other fixed assets,Fixed Assets,,370.0,371.0,359.0,428.0,444.0
Gross Block,Fixed Assets,,1377.0,1469.0,1575.0,1839.0,1926.0
Accumulated Depreciation,Fixed Assets,,291.0,359.0,415.0,461.0,543.0
Long term Borrowings,Borrowings,,843.0,1.0,59.0,152.0,127.0
Short term Borrowings,Borrowings,,2.0,21.0,0.0,26.0,278.0
Lease Liabilities,Borrowings,,52.0,48.0,38.0,57.0,61.0
Other Borrowings,Borrowings,,0.0,0.0,-0.0,-0.0,0.0
Non controlling int,Other Liabilities,,0.0,0.0,0.0,0.0,-1.0
Trade Payables,Other Liabilities,,112.0,96.0,100.0,105.0,105.0
Advance from Customers,Other Liabilities,,47.0,17.0,1.0,0.0,1.0
Other liability items,Other Liabilities,,213.0,142.0,155.0,185.0,159.0
Inventories,Other Assets,,121.0,168.0,127.0,168.0,215.0
Trade receivables,Other Assets,,153.0,118.0,156.0,165.0,127.0
Cash Equivalents,Other Assets,,59.0,33.0,45.0,53.0,55.0
Loans n Advances,Other Assets,,35.0,15.0,11.0,21.0,22.0
Other asset items,Other Assets,,49.0,66.0,157.0,196.0,424.0
