,parent_line_item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,144.0,144.0,156.0,156.0,159.0,159.0,160.0,160.0
Reserves,,2222.0,2590.0,3536.0,4011.0,4948.0,6411.0,6796.0,7682.0
Borrowing,,4867.0,9540.0,10941.0,12921.0,16312.0,21841.0,20446.0,23641.0
Other Liabilities,,126.0,316.0,427.0,394.0,439.0,460.0,401.0,447.0
Total Liabilities,,7357.0,12590.0,15060.0,17482.0,21858.0,28871.0,27802.0,31930.0
Fixed Assets,,25.0,576.0,573.0,629.0,599.0,609.0,604.0,588.0
CWIP,,2.0,3.0,1.0,3.0,4.0,5.0,4.0,0.0
Investments,,0.0,46.0,1.0,1.0,455.0,1439.0,893.0,1075.0
Other Assets,,7330.0,11965.0,14486.0,16849.0,20801.0,26818.0,26302.0,30267.0
Total Assets,,7357.0,12590.0,15060.0,17482.0,21858.0,28871.0,27802.0,31930.0
Land,Fixed Assets,0.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0
Building,Fixed Assets,7.0,34.0,34.0,34.0,40.0,41.0,46.0,63.0
Equipments,Fixed Assets,12.0,17.0,18.0,23.0,27.0,31.0,40.0,43.0
Computers,Fixed Assets,8.0,54.0,80.0,103.0,107.0,140.0,157.0,163.0
Furniture n fittings,Fixed Assets,6.0,12.0,11.0,15.0,18.0,21.0,24.0,25.0
Vehicles,Fixed Assets,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Intangible Assets,Fixed Assets,0.0,318.0,318.0,376.0,376.0,376.0,376.0,376.0
Other fixed assets,Fixed Assets,14.0,185.0,197.0,202.0,204.0,211.0,219.0,225.0
Gross Block,Fixed Assets,48.0,620.0,658.0,760.0,778.0,826.0,868.0,902.0
Accumulated Depreciation,Fixed Assets,23.0,43.0,86.0,131.0,178.0,217.0,264.0,314.0
Non controlling int,Other Liabilities,0.0,109.0,105.0,0.0,0.0,0.0,0.0,0.0
Trade Payables,Other Liabilities,8.0,36.0,43.0,35.0,44.0,37.0,32.0,40.0
Other liability items,Other Liabilities,117.0,171.0,280.0,360.0,395.0,423.0,369.0,407.0
Cash Equivalents,Other Assets,616.0,718.0,2484.0,1761.0,1436.0,1314.0,1443.0,1327.0
Loans n Advances,Other Assets,22.0,33.0,44.0,59.0,64.0,85.0,66.0,35.0
Other asset items,Other Assets,6692.0,11214.0,11958.0,15030.0,19300.0,25419.0,24794.0,28905.0
