rank,symbol,trailing_month
1,SBIN,2020-02
2,RELIANCE,2020-02
3,IBULHSGFIN,2020-02
4,IRCTC,2020-02
5,INDUSINDBK,2020-02
6,TATAMOTORS,2020-02
7,BHARTIARTL,2020-02
8,ICICIBANK,2020-02
9,HDFCBANK,2020-02
10,HDFC,2020-02
11,TATASTEEL,2020-02
12,BAJFINANCE,2020-02
13,MARUTI,2020-02
14,AXISBANK,2020-02
15,YESBANK,2020-02
16,TCS,2020-02
17,HINDUNILVR,2020-02
18,ITC,2020-02
19,INFY,2020-02
20,AUROPHARMA,2020-02
21,LT,2020-02
22,DMART,2020-02
23,ZEEL,2020-02
24,KOTAKBANK,2020-02
25,PEL,2020-02
26,EICHERMOT,2020-02
27,SRTRANSFIN,2020-02
28,MUTHOOTFIN,2020-02
29,JINDALSTEL,2020-02
30,TITAN,2020-02
31,BPCL,2020-02
32,LICHSGFIN,2020-02
33,ESCORTS,2020-02
34,HEROMOTOCO,2020-02
35,RBLBANK,2020-02
36,SUNPHARMA,2020-02
37,COALINDIA,2020-02
38,DRREDDY,2020-02
39,MFSL,2020-02
40,ASIANPAINT,2020-02
41,HCLTECH,2020-02
42,BAJAJFINSV,2020-02
43,DLF,2020-02
44,ONGC,2020-02
45,POWERGRID,2020-02
46,UPL,2020-02
47,TATAGLOBAL,2020-02
48,NTPC,2020-02
49,ASHOKLEY,2020-02
50,INFRATEL,2020-02
51,JSWSTEEL,2020-02
52,M&M,2020-02
53,VEDL,2020-02
54,MCDOWELL-N,2020-02
55,ULTRACEMCO,2020-02
56,INDIGO,2020-02
57,GAIL,2020-02
58,JUBLFOOD,2020-02
59,IDEA,2020-02
60,BANDHANBNK,2020-02
61,IGL,2020-02
62,GRASIM,2020-02
63,NESTLEIND,2020-02
64,BANKBARODA,2020-02
65,BIOCON,2020-02
66,MANAPPURAM,2020-02
67,TECHM,2020-02
68,BAJAJ-AUTO,2020-02
69,LUPIN,2020-02
70,HDFCLIFE,2020-02
71,APOLLOHOSP,2020-02
72,CANBK,2020-02
73,HINDALCO,2020-02
74,CIPLA,2020-02
75,IOC,2020-02
76,DIVISLAB,2020-02
77,MOTHERSUMI,2020-02
78,BRITANNIA,2020-02
79,SRF,2020-02
80,BALKRISIND,2020-02
81,JUSTDIAL,2020-02
82,SUNTV,2020-02
83,HDFCAMC,2020-02
84,DABUR,2020-02
85,VOLTAS,2020-02
86,BATAINDIA,2020-02
87,ACC,2020-02
88,HAVELLS,2020-02
89,NAM-INDIA,2020-02
90,PFC,2020-02
91,ICICIPRULI,2020-02
92,MINDTREE,2020-02
93,PNB,2020-02
94,L&TFH,2020-02
95,MGL,2020-02
96,SHREECEM,2020-02
97,GODREJCP,2020-02
98,SAIL,2020-02
99,PAGEIND,2020-02
100,BEL,2020-02
101,SBILIFE,2020-02
102,MARICO,2020-02
103,ADANIENT,2020-02
104,NCC,2020-02
105,TVSMOTOR,2020-02
106,RECLTD,2020-02
107,ADANIPORTS,2020-02
108,HINDPETRO,2020-02
109,TATACHEM,2020-02
110,CENTURYTEX,2020-02
111,NMDC,2020-02
112,NAUKRI,2020-02
113,NIITTECH,2020-02
114,AMBUJACEM,2020-02
115,TORNTPHARM,2020-02
116,FEDERALBNK,2020-02
117,BHARATFORG,2020-02
118,WOCKPHARMA,2020-02
119,SIEMENS,2020-02
120,AUBANK,2020-02
121,UJJIVAN,2020-02
122,LIQUIDBEES,2020-02
123,PIDILITIND,2020-02
124,BHEL,2020-02
125,M&MFIN,2020-02
126,INDIACEM,2020-02
127,BERGEPAINT,2020-02
128,GLENMARK,2020-02
129,WIPRO,2020-02
130,COLPAL,2020-02
131,AVANTIFEED,2020-02
132,PETRONET,2020-02
133,TATAELXSI,2020-02
134,PVR,2020-02
135,APOLLOTYRE,2020-02
136,IOLCP,2020-02
137,MRF,2020-02
138,AMARAJABAT,2020-02
139,TORNTPOWER,2020-02
140,CONCOR,2020-02
141,CHOLAFIN,2020-02
142,UBL,2020-02
143,MIDHANI,2020-02
144,GMRINFRA,2020-02
145,ADANIGAS,2020-02
146,TRENT,2020-02
147,EXIDEIND,2020-02
148,IRCON,2020-02
149,AFFLE,2020-02
150,IDFCFIRSTB,2020-02
151,CADILAHC,2020-02
152,ICICIGI,2020-02
153,HEG,2020-02
154,OIL,2020-02
155,TATAPOWER,2020-02
156,AJANTPHARM,2020-02
157,NAVINFLUOR,2020-02
158,DEEPAKNTR,2020-02
159,IPCALAB,2020-02
160,EQUITAS,2020-02
