symbol,status,days,note
20MICRONS,ok,1685,
360ONE,ok,895,
3IINFOLTD,ok,1175,
3IINFOTECH,ok,556,
3MINDIA,ok,1855,
5PAISA,ok,1796,
63MOONS,ok,1560,
AADHARHFC,ok,576,
AARTIDRUGS,ok,1855,
AARTIIND,ok,1845,
AARTIPHARM,ok,881,
AARTISURF,ok,1283,
AASTHA,ok,40,
AAVAS,ok,1855,
ABAN,ok,1110,
ABB,ok,1845,
ABBOTINDIA,ok,1855,
ABCAPITAL,ok,1853,
ABDL,ok,544,
ABFRL,ok,1855,
ABLBL,ok,294,
ABREL,ok,475,
ABSLAMC,ok,1214,
ABSLBANETF,ok,1682,
ACC,ok,1855,
ACCELYA,ok,1855,
ACE,ok,1855,
ACI,ok,939,
ACLGATI,ok,479,
ACMESOLAR,ok,451,
ACRYSIL,ok,456,
ACUTAAS,ok,319,
ADANIENSOL,ok,751,
ADANIENT,ok,1855,
ADANIGAS,ok,458,
ADANIGREEN,ok,1790,
ADANIPORTS,ok,1855,
ADANIPOWER,ok,1652,
ADANITRANS,ok,936,
ADFFOODS,ok,1855,
ADORWELD,ok,1503,
ADSL,ok,1796,
ADVANCE,ok,219,
ADVANIHOTR,ok,1815,
ADVENTHTL,ok,196,
ADVENZYMES,ok,1855,
AEGISCHEM,ok,1295,
AEGISLOG,ok,560,
AEGISVOPAK,ok,319,
AEQUS,ok,187,
AEROENTER,ok,302,
AEROFLEX,ok,746,
AETHER,ok,1054,
AFCONS,ok,458,
AFFLE,ok,1630,
AGARIND,ok,1800,
AGARWALEYE,ok,395,
AGCNET,ok,390,
AGI,ok,1071,
AGIIL,ok,535,
AGSTRA,ok,686,
AHL,ok,518,
AHLUCONT,ok,1855,
AIAENG,ok,1855,
AIIL,ok,591,
AJANTPHARM,ok,1855,
AJAXENGG,ok,386,
AJMERA,ok,1764,
AKSHARCHEM,ok,1775,
AKUMS,ok,520,
AKZOINDIA,ok,1750,
ALANKIT,ok,1741,
ALBERTDAVD,ok,1791,
ALBK,ok,256,
ALEMBICLTD,ok,1845,
ALICON,ok,1855,
ALIVUS,ok,406,
ALKEM,ok,1855,
ALKYLAMINE,ok,1855,
ALLCARGO,ok,1835,
ALLSEC,ok,1317,
ALLTIME,ok,266,
ALOKINDS,ok,1363,
ALPA,ok,1676,
ALPHAGEO,ok,1671,
AMAGI,ok,159,
AMARAJABAT,ok,1147,
AMBER,ok,1855,
AMBIKCO,ok,1855,
AMBUJACEM,ok,1855,
AMDIND,ok,1642,
AMIORG,ok,914,
AMIRCHAND,ok,72,
AMRUTANJAN,ok,1855,
ANANDRATHI,ok,1171,
ANANTRAJ,ok,1749,
ANDHRABANK,ok,256,
ANDHRAPAP,ok,1609,
ANDHRSUGAR,ok,1855,
ANDREWYU,ok,570,
ANGELBRKG,ok,273,
ANGELONE,ok,1193,
ANTELOPUS,ok,241,
ANTHEM,ok,284,
ANUP,ok,1845,
ANURAS,ok,1349,
APARINDS,ok,1855,
APCL,ok,1789,
APCOTEXIND,ok,1855,
APEX,ok,1855,
APLAPOLLO,ok,1855,
APLLTD,ok,1855,
