signal,horizon,n,hits,hit_rate_pct,avg_cagr_pct,median_cagr_pct,min_cagr_pct,max_cagr_pct
FA > 20% YoY for 3 yrs,7y,17,15,88.2,19.7,17.4,-33.9,48.7
Reserves CAGR > 25% AND FA CAGR > 15% AND Debt/Equity < 0.5,7y,29,25,86.2,23.8,17.8,7.3,53.9
Reserves > 20% YoY for 3 yrs AND Debt/Equity < 0.5,7y,26,21,80.8,18.6,14.4,0.8,53.9
Reserves CAGR > 25% AND Borrowings CAGR < 0%,7y,31,25,80.6,16.6,15.2,-22.3,53.4
Reserves CAGR > 20% AND FA CAGR > 10% AND Debt/Equity < 0.3,7y,40,32,80.0,18.0,16.2,0.4,53.4
FA > 20% YoY for 3 yrs,5y,39,31,79.5,28.0,25.1,-45.2,122.7
Reserves CAGR > 20% AND FA CAGR > 10% AND Debt/Equity < 0.5,7y,51,40,78.4,19.5,16.8,0.4,53.9
Reserves CAGR > 25% AND Debt/Equity < 0.1,7y,27,21,77.8,16.1,14.9,0.8,36.0
Reserves > 20% YoY for 3 yrs,7y,40,31,77.5,17.7,15.1,-17.0,53.9
Reserves > 20% YoY for 3 yrs AND Debt/Equity < 0.3,7y,22,17,77.3,15.8,13.5,0.8,53.4
FA CAGR > 20% AND Reserves CAGR > 25%,7y,48,37,77.1,18.7,17.5,-33.9,53.9
Reserves CAGR > 20% AND Borrowings CAGR < 0%,7y,50,38,76.0,16.5,15.6,-22.8,53.4
Reserves CAGR > 25% AND Debt/Equity < 0.5,7y,52,39,75.0,19.1,16.0,-22.3,53.9
Reserves CAGR > 25% AND Debt/Equity < 0.3,7y,44,33,75.0,17.3,15.6,-22.3,53.4
Reserves CAGR > 30% AND Debt/Equity < 0.3,7y,36,27,75.0,18.5,16.0,0.4,53.4
Reserves > 25% YoY for 3 yrs,7y,23,17,73.9,18.9,17.4,-15.3,53.4
Reserves CAGR > 25% AND FA CAGR > 10% AND Cash > 10% of TA,5y,23,17,73.9,26.1,17.4,-14.9,88.4
FA > 20% YoY for 3 yrs,3y,49,36,73.5,27.8,29.2,-62.9,143.8
FA > 15% YoY for 3 yrs (sustained capex),5y,59,43,72.9,24.8,21.1,-45.2,122.7
TA CAGR > 20% AND Debt/Equity < 0.5,7y,55,40,72.7,18.8,16.3,-0.8,53.9
Reserves CAGR (5y) > 25% AND Debt/Equity < 0.5,5y,55,40,72.7,29.6,20.4,-4.9,122.6
Reserves CAGR > 20% AND Borrowings CAGR < 0%,5y,95,69,72.6,22.8,21.6,-22.0,122.6
FA CAGR > 15% AND Reserves CAGR > 20%,7y,87,63,72.4,18.1,17.1,-33.9,53.9
Reserves CAGR > 25% AND Debt/Equity < 0.1,5y,47,34,72.3,24.5,20.8,-5.7,122.6
Reserves > 25% YoY for 3 yrs AND Debt/Equity < 0.5,7y,18,13,72.2,18.1,13.5,0.8,53.4
FA CAGR > 15% AND Debt/Equity < 0.3,7y,78,56,71.8,17.9,16.5,-11.3,53.4
Reserves CAGR > 20% AND Debt/Equity < 0.5,7y,88,63,71.6,16.9,15.1,-22.8,53.9
FA CAGR > 25% AND Debt/Equity < 0.3,7y,35,25,71.4,16.1,15.2,1.2,37.4
Reserves CAGR (5y) > 15%,5y,251,179,71.3,25.5,20.3,-18.7,122.7
FA CAGR > 15% AND Debt/Equity < 0.5,7y,101,72,71.3,19.0,16.9,-11.3,53.9
Reserves > 15% YoY for 3 yrs AND Debt/Equity < 0.5,7y,59,42,71.2,16.3,13.6,-0.9,53.9
Reserves CAGR > 25% AND Borrowings CAGR < 0%,5y,59,42,71.2,24.7,23.7,-18.1,122.6
FA CAGR > 20% AND Debt/Equity < 0.3,7y,52,37,71.2,17.6,15.8,-11.3,53.4
Reserves CAGR (5y) > 25%,5y,90,64,71.1,27.5,21.7,-16.0,122.6
