horizon,signal,hit_rate_pct,nse_symbol,industry,base_year_T,fy_label,stock_price_at_T,pe_at_T,forward_cagr_pct,met_target
3y,FA > 20% YoY 3yrs AND Sales CAGR > 20% AND ROCE > 20%,84.6,GRAVITA,,2020,Mar 2020,33.45,6.95,143.8,Y
3y,FA > 20% YoY 3yrs AND Sales CAGR > 20% AND ROCE > 20%,84.6,UNOMINDA,,2020,Mar 2020,119.6,41.96,59.0,Y
3y,FA > 20% YoY 3yrs AND Sales CAGR > 20% AND ROCE > 20%,84.6,DIXON,CONSUMER GOODS,2020,Mar 2020,715.97,34.41,58.7,Y
3y,FA > 20% YoY 3yrs AND Sales CAGR > 20% AND ROCE > 20%,84.6,LAURUSLABS,PHARMA,2023,Mar 2023,292.95,19.97,50.2,Y
3y,FA > 20% YoY 3yrs AND Sales CAGR > 20% AND ROCE > 20%,84.6,DIXON,CONSUMER GOODS,2023,Mar 2023,2861.3,66.7,50.1,Y
3y,FA > 20% YoY 3yrs AND Sales CAGR > 20% AND ROCE > 20%,84.6,DIXON,CONSUMER GOODS,2022,Mar 2022,4308.8,134.44,45.2,Y
3y,FA > 20% YoY 3yrs AND Sales CAGR > 20% AND ROCE > 20%,84.6,UNOMINDA,,2019,Mar 2019,167.11,31.83,40.8,Y
3y,FA > 20% YoY 3yrs AND Sales CAGR > 20% AND ROCE > 20%,84.6,DMART,CONSUMER GOODS,2019,Mar 2019,1472.5,101.83,39.6,Y
3y,FA > 20% YoY 3yrs AND Sales CAGR > 20% AND ROCE > 20%,84.6,DMART,CONSUMER GOODS,2018,Mar 2018,1324.8,102.54,29.2,Y
3y,FA > 20% YoY 3yrs AND Sales CAGR > 20% AND ROCE > 20%,84.6,DIXON,CONSUMER GOODS,2021,Mar 2021,3672.15,134.61,26.8,Y
3y,FA > 20% YoY 3yrs AND Sales CAGR > 20% AND ROCE > 20%,84.6,COHANCE,,2022,Mar 2022,618.45,38.27,23.0,Y
3y,FA > 20% YoY 3yrs AND Sales CAGR > 20% AND ROCE > 20%,84.6,UNOMINDA,,2018,Mar 2018,176.88,30.87,15.3,N
3y,FA > 20% YoY 3yrs AND Sales CAGR > 20% AND ROCE > 20%,84.6,AFFLE,,2021,Mar 2021,1091.56,103.27,-1.5,N
5y,FA > 20% YoY 3yrs AND Sales CAGR > 20% AND ROCE > 20%,88.9,GRAVITA,,2020,Mar 2020,33.45,6.95,122.7,Y
5y,FA > 20% YoY 3yrs AND Sales CAGR > 20% AND ROCE > 20%,88.9,DIXON,CONSUMER GOODS,2020,Mar 2020,715.97,34.41,79.1,Y
5y,FA > 20% YoY 3yrs AND Sales CAGR > 20% AND ROCE > 20%,88.9,UNOMINDA,,2020,Mar 2020,119.6,41.96,48.9,Y
5y,FA > 20% YoY 3yrs AND Sales CAGR > 20% AND ROCE > 20%,88.9,UNOMINDA,,2019,Mar 2019,167.11,31.83,32.6,Y
5y,FA > 20% YoY 3yrs AND Sales CAGR > 20% AND ROCE > 20%,88.9,DMART,CONSUMER GOODS,2019,Mar 2019,1472.5,101.83,25.2,Y
5y,FA > 20% YoY 3yrs AND Sales CAGR > 20% AND ROCE > 20%,88.9,UNOMINDA,,2018,Mar 2018,176.88,30.87,22.1,Y
5y,FA > 20% YoY 3yrs AND Sales CAGR > 20% AND ROCE > 20%,88.9,DIXON,CONSUMER GOODS,2021,Mar 2021,3672.15,134.61,21.4,Y
5y,FA > 20% YoY 3yrs AND Sales CAGR > 20% AND ROCE > 20%,88.9,DMART,CONSUMER GOODS,2018,Mar 2018,1324.8,102.54,20.8,Y
5y,FA > 20% YoY 3yrs AND Sales CAGR > 20% AND ROCE > 20%,88.9,AFFLE,,2021,Mar 2021,1091.56,103.27,5.8,N
5y,FA > 20% YoY 3yrs AND Sales CAGR > 20% AND ROCE > 25%,85.7,DIXON,CONSUMER GOODS,2020,Mar 2020,715.97,34.41,79.1,Y
5y,FA > 20% YoY 3yrs AND Sales CAGR > 20% AND ROCE > 25%,85.7,UNOMINDA,,2019,Mar 2019,167.11,31.83,32.6,Y
5y,FA > 20% YoY 3yrs AND Sales CAGR > 20% AND ROCE > 25%,85.7,DMART,CONSUMER GOODS,2019,Mar 2019,1472.5,101.83,25.2,Y
5y,FA > 20% YoY 3yrs AND Sales CAGR > 20% AND ROCE > 25%,85.7,UNOMINDA,,2018,Mar 2018,176.88,30.87,22.1,Y
5y,FA > 20% YoY 3yrs AND Sales CAGR > 20% AND ROCE > 25%,85.7,DIXON,CONSUMER GOODS,2021,Mar 2021,3672.15,134.61,21.4,Y
5y,FA > 20% YoY 3yrs AND Sales CAGR > 20% AND ROCE > 25%,85.7,DMART,CONSUMER GOODS,2018,Mar 2018,1324.8,102.54,20.8,Y
5y,FA > 20% YoY 3yrs AND Sales CAGR > 20% AND ROCE > 25%,85.7,AFFLE,,2021,Mar 2021,1091.56,103.27,5.8,N
5y,FA > 30% YoY for 3 yrs AND Sales CAGR > 15%,85.7,DIXON,CONSUMER GOODS,2020,Mar 2020,715.97,34.41,79.1,Y
5y,FA > 30% YoY for 3 yrs AND Sales CAGR > 15%,85.7,UNOMINDA,,2020,Mar 2020,119.6,41.96,48.9,Y
5y,FA > 30% YoY for 3 yrs AND Sales CAGR > 15%,85.7,PRESTIGE,CONSTRUCTION,2020,Mar 2020,168.2,16.72,47.8,Y
5y,FA > 30% YoY for 3 yrs AND Sales CAGR > 15%,85.7,UNOMINDA,,2019,Mar 2019,167.11,31.83,32.6,Y
5y,FA > 30% YoY for 3 yrs AND Sales CAGR > 15%,85.7,UNOMINDA,,2018,Mar 2018,176.88,30.87,22.1,Y
5y,FA > 30% YoY for 3 yrs AND Sales CAGR > 15%,85.7,DIXON,CONSUMER GOODS,2021,Mar 2021,3672.15,134.61,21.4,Y
5y,FA > 30% YoY for 3 yrs AND Sales CAGR > 15%,85.7,AFFLE,,2021,Mar 2021,1091.56,103.27,5.8,N
5y,FA > 30% YoY for 3 yrs (the v6 winner; pure BS),81.8,DIXON,CONSUMER GOODS,2020,Mar 2020,715.97,34.41,79.1,Y
5y,FA > 30% YoY for 3 yrs (the v6 winner; pure BS),81.8,ZENSARTECH,IT,2020,Mar 2020,88.0,7.53,51.4,Y
5y,FA > 30% YoY for 3 yrs (the v6 winner; pure BS),81.8,UNOMINDA,,2020,Mar 2020,119.6,41.96,48.9,Y
5y,FA > 30% YoY for 3 yrs (the v6 winner; pure BS),81.8,PRESTIGE,CONSTRUCTION,2020,Mar 2020,168.2,16.72,47.8,Y
5y,FA > 30% YoY for 3 yrs (the v6 winner; pure BS),81.8,PRESTIGE,CONSTRUCTION,2019,Mar 2019,250.7,22.63,36.1,Y
5y,FA > 30% YoY for 3 yrs (the v6 winner; pure BS),81.8,UNOMINDA,,2019,Mar 2019,167.11,31.83,32.6,Y
5y,FA > 30% YoY for 3 yrs (the v6 winner; pure BS),81.8,360ONE,,2021,Mar 2021,309.85,16.77,25.1,Y
5y,FA > 30% YoY for 3 yrs (the v6 winner; pure BS),81.8,UNOMINDA,,2018,Mar 2018,176.88,30.87,22.1,Y
5y,FA > 30% YoY for 3 yrs (the v6 winner; pure BS),81.8,DIXON,CONSUMER GOODS,2021,Mar 2021,3672.15,134.61,21.4,Y
5y,FA > 30% YoY for 3 yrs (the v6 winner; pure BS),81.8,AFFLE,,2021,Mar 2021,1091.56,103.27,5.8,N
5y,FA > 30% YoY for 3 yrs (the v6 winner; pure BS),81.8,AJANTPHARM,PHARMA,2018,Mar 2018,926.9,26.11,5.5,N
5y,P/E < 15 AND Sales CAGR > 15%,81.1,ZENTEC,,2020,Mar 2020,22.75,2.99,130.4,Y
5y,P/E < 15 AND Sales CAGR > 15%,81.1,GRAVITA,,2020,Mar 2020,33.45,6.95,122.7,Y
5y,P/E < 15 AND Sales CAGR > 15%,81.1,ACE,,2020,Mar 2020,34.25,7.4,105.6,Y
5y,P/E < 15 AND Sales CAGR > 15%,81.1,RVNL,,2020,Mar 2020,12.8,3.53,94.0,Y
