signal,horizon,n,hits_cagr_geq_20pct,hit_rate_pct,avg_cagr_pct,median_cagr_pct
Debt/Equity < 0.3 (low leverage),5y,866,340,39.3,19.1,15.7
CWIP > 25% of Fixed Assets,5y,304,119,39.1,17.2,12.1
FA CAGR (3y) between 10-25%,7y,188,73,38.8,16.9,15.9
Reserves CAGR > 25% AND Debt/Equity < 0.5,7y,52,20,38.5,19.1,16.0
Reserves > 50x Equity Capital,5y,874,336,38.4,16.7,15.3
Fixed Assets CAGR (3y) > 15%,7y,209,80,38.3,17.4,16.4
Total Assets CAGR (3y) > 20%,7y,120,46,38.3,16.5,16.0
CWIP > 15% of Fixed Assets (heavy pipeline),5y,527,201,38.1,17.0,12.8
Investments > 20% of Total Assets (holding co. style),3y,699,263,37.6,15.0,13.2
FA CAGR > 15% AND Debt/Equity < 0.5 (low-debt capex),7y,101,38,37.6,19.0,16.9
Debt/Equity < 0.1 (near zero debt),5y,567,212,37.4,18.1,15.1
Cash Equivalents CAGR (3y) > 20%,7y,191,71,37.2,16.8,15.6
Borrowings < 10% of Total Assets (low debt),5y,656,243,37.0,18.1,15.0
Cash > 10% of TA AND Debt/Equity < 0.3,5y,346,126,36.4,17.7,14.2
Reserves CAGR (3y) > 25%,7y,113,41,36.3,15.8,15.3
Borrowings < 5% of Total Assets (very low debt),5y,499,180,36.1,17.3,14.8
Reserves CAGR > 30% AND Debt/Equity < 0.3,7y,36,13,36.1,18.5,16.0
Reserves CAGR > 20% AND Cash CAGR > 15%,7y,108,38,35.2,15.6,15.1
Reserves CAGR (3y) > 20% (strong retained earnings),7y,183,64,35.0,15.5,14.9
Reserves > 10x Equity Capital (mature compounder),7y,1252,435,34.7,16.4,15.0
Reserves CAGR > 25% AND FA CAGR < 25% (capital-efficient compounding),7y,78,27,34.6,14.6,13.5
Reserves CAGR > 15% AND Borrowings CAGR < 0% (deleveraging compounder),7y,78,27,34.6,16.4,14.2
Cash > 10% of Total Assets,5y,470,162,34.5,15.9,13.0
Fixed Assets CAGR (3y) > 20%,7y,135,46,34.1,16.9,15.5
Reserves > 20x Equity Capital,7y,1042,351,33.7,16.2,14.7
Debt/Equity < 0.5,7y,700,236,33.7,16.5,14.8
Fixed Assets CAGR (3y) > 25%,7y,98,33,33.7,17.1,15.8
CWIP > 40% of Fixed Assets (very heavy pipeline),7y,137,46,33.6,16.7,15.3
CWIP/FA > 25% AND Debt/Equity < 0.5 (low-debt heavy capex),5y,114,38,33.3,17.4,11.2
Cash > 20% of Total Assets,5y,220,73,33.2,15.7,11.9
Total Assets CAGR (3y) > 15%,7y,215,70,32.6,15.1,14.9
Reserves CAGR > 20% AND Debt/Equity < 0.3 AND FA CAGR > 10%,7y,40,13,32.5,18.0,16.2
Investments CAGR (3y) > 20%,7y,241,78,32.4,16.1,15.1
Investments > 20% of Total Assets (holding co. style),5y,514,165,32.1,13.7,12.1
Reserves CAGR > 20% AND Debt/Equity < 0.5,7y,88,28,31.8,16.9,15.1
Debt/Equity < 0.3 (low leverage),7y,550,172,31.3,15.8,14.0
Debt/Equity < 0.1 (near zero debt),7y,375,115,30.7,15.5,13.8
Reserves CAGR > 20% AND Debt/Equity < 0.3,7y,72,22,30.6,15.8,14.5
Borrowings < 10% of Total Assets (low debt),7y,424,129,30.4,15.6,13.7
CWIP > 25% of Fixed Assets,7y,214,65,30.4,15.6,13.9
Borrowings < 5% of Total Assets (very low debt),7y,334,98,29.3,15.1,13.2
CWIP > 15% of Fixed Assets (heavy pipeline),7y,366,107,29.2,15.3,13.0
Total Assets CAGR > 20% AND Debt/Equity < 0.3,7y,45,13,28.9,17.0,16.0
Reserves > 50x Equity Capital,7y,561,154,27.5,14.4,13.8
Total Assets CAGR > 15% AND Debt/Equity < 0.5,7y,105,28,26.7,15.7,13.6
Cash > 20% of Total Assets,7y,137,35,25.5,13.8,12.9
Cash > 10% of TA AND Debt/Equity < 0.3,7y,202,48,23.8,13.3,12.7
CWIP/FA > 25% AND Debt/Equity < 0.5 (low-debt heavy capex),7y,74,17,23.0,12.6,9.8
Cash > 10% of Total Assets,7y,277,62,22.4,11.9,11.4
Investments > 20% of Total Assets (holding co. style),7y,346,75,21.7,12.0,11.0
