horizon,signal,hit_rate_pct,nse_symbol,industry,base_year_T,fy_label,stock_price_at_T,forward_cagr_pct,met_target
3y,FA > 25% YoY for 3 yrs,60.7,DMART,CONSUMER GOODS,2020,Mar 2020,2187.5,15.8,N
3y,FA > 25% YoY for 3 yrs,60.7,UNOMINDA,,2018,Mar 2018,176.88,15.3,N
3y,FA > 25% YoY for 3 yrs,60.7,LICHSGFIN,FINANCIAL SERVICES,2020,Mar 2020,235.3,11.8,N
3y,FA > 25% YoY for 3 yrs,60.7,GLAXO,PHARMA,2018,Mar 2018,1043.88,11.3,N
3y,FA > 25% YoY for 3 yrs,60.7,AJANTPHARM,PHARMA,2018,Mar 2018,926.9,8.8,N
3y,FA > 25% YoY for 3 yrs,60.7,GLAXO,PHARMA,2019,Mar 2019,1296.55,8.7,N
3y,FA > 25% YoY for 3 yrs,60.7,AFFLE,,2022,Mar 2022,1260.05,8.5,N
3y,FA > 25% YoY for 3 yrs,60.7,GLAXO,PHARMA,2020,Mar 2020,1257.4,1.8,N
3y,FA > 25% YoY for 3 yrs,60.7,AFFLE,,2021,Mar 2021,1091.56,-1.5,N
3y,FA > 25% YoY for 3 yrs,60.7,ADANIGREEN,ENERGY,2023,Mar 2023,881.15,-2.9,N
3y,FA > 25% YoY for 3 yrs,60.7,INOXWIND,INDUSTRIAL MANUFACTURING,2018,Mar 2018,27.12,-13.7,N
3y,FA > 30% YoY for 3 yrs,64.3,UNOMINDA,,2020,Mar 2020,119.6,59.0,Y
3y,FA > 30% YoY for 3 yrs,64.3,DIXON,CONSUMER GOODS,2020,Mar 2020,715.97,58.7,Y
3y,FA > 30% YoY for 3 yrs,64.3,ZENSARTECH,IT,2020,Mar 2020,88.0,46.1,Y
3y,FA > 30% YoY for 3 yrs,64.3,DIXON,CONSUMER GOODS,2022,Mar 2022,4308.8,45.2,Y
3y,FA > 30% YoY for 3 yrs,64.3,UNOMINDA,,2019,Mar 2019,167.11,40.8,Y
3y,FA > 30% YoY for 3 yrs,64.3,PRESTIGE,CONSTRUCTION,2020,Mar 2020,168.2,33.8,Y
3y,FA > 30% YoY for 3 yrs,64.3,360ONE,,2021,Mar 2021,309.85,29.7,Y
3y,FA > 30% YoY for 3 yrs,64.3,DIXON,CONSUMER GOODS,2021,Mar 2021,3672.15,26.8,Y
3y,FA > 30% YoY for 3 yrs,64.3,PRESTIGE,CONSTRUCTION,2019,Mar 2019,250.7,25.4,Y
3y,FA > 30% YoY for 3 yrs,64.3,UNOMINDA,,2018,Mar 2018,176.88,15.3,N
3y,FA > 30% YoY for 3 yrs,64.3,AJANTPHARM,PHARMA,2018,Mar 2018,926.9,8.8,N
